"tweet","text","location"
1,"“President Donald Trump lost more than an election last week. When he leaves the White House in January, he will also lose the constitutional protection from prosecution afforded to a sitting president.” About time!
https://t.co/wsWO4AQ6hk","California"
2,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","California"
3,"Boun Keola and Kao Saelee defended California from the worst wildfires in state history. Now, we need to #DefendBoun and #FreeSaelee from ICE. 

Demand that Gov @GavinNewsom grant them a pardon and #StopICETransfers

https://t.co/qy6gEFMIys","California"
4,"2
This election has shown huge support for transformative socialist politics amongst the members, I’m proud to represent that vibrant tendency on the NEC.

On a personal level Im so honoured to be the first elected person of Bangladeshi heritage and Muslim man on the NEC","California"
5,"Thread: Is Election fraud a GOP conspiracy theory? 
1. We are being told we have to accept @JoeBiden as president because the MSM declared him the winner. Most MSM outlets are declaring there is no evidence. I'll start here. https://t.co/jyM3jKZIjL","California"
6,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","California"
7,"This highly questionable election demands a FULL AUDIT (not just a recount) and a forensic examination of the software used. It is absolutely essential that the American people are assured there is integrity in our electorate process or our democratic system is in high jeopardy. https://t.co/SNK12qF36g","California"
8,"How many TOLD YOU SOs are needed for those GOPhreaks to get the message?","California"
9,"@nowthisnews So he’s accepting HIS election but not Biden’s? Same fuckin ballot! Jeez.","California"
10,"Trump/RNC and allies are currently 1-14 in post-election litigation.

They won a case in PA that shortened the cure deadline by 3 days for a handful of ballots. But that is it.
https://t.co/n2r3cnZ3ma","California"
11,"I hear that around 80% of Trump voters accept that Joe Biden won the election &amp; think Trump should stand down. It's that extremist 20% that keep raising their ugly heads that are the problem. Fringe groups think they're a majority because they network &amp; validate each other.","California"
12,"Crooked @KathyBoockvar ""Carl Boockvar"" SOS of PA. He does not have authority to override Election Law

PA Judge Orders Segregated Ballots Should be Tossed -- Crooked PA Secretary of State ""Lacked Statutory Authority"" to Override Election Law https://t.co/xOndkAVwOj @gatewaypundit","California"
13,"What part of free speech don’t people understand?  Who said it is #MSM or #SocialMedia job decide what to think?  So tired of #FactCheckers. We need to check them!  #DemocratCorruption #DemocratsAreEvil #BidenCrimeFamily #HunterBidensLaptop #FreeSpeech  https://t.co/2tZNG2KPXB","California"
14,"This is Arizona SOS Katie Hobbs who has a bias @SecretaryHobbs @katiehobbs Anyone with a bias CAN NOT be in charge of our vote! period!

Arizona Secretary of State in Charge of Certifying Election Results Called Trump Supporters ""Neo-Nazis"" https://t.co/Rm0wHI3mVc @gatewaypundit","California"
15,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election via @gatewaypundit https://t.co/eNecOPhStk","California"
16,"🚨BREAKING🚨: Delaware County PA urgently contacts poll workers to inform them that election results from their precinct cannot be confirmed and approved due to missing data.

EMAIL BELOW! Stay tuned! https://t.co/EJosVy98kA","California"
17,"Restoring confidence in our laws necessitates prosecuting ALL OFFENDERS.  Our people are tired of one set of laws for the people and another set for the rich and well-connected.
#TrumpCrimesCommission 
@glennkirschner2","California"
18,"Peter Navarro was my economics professor and I can attest to claims that he is a kook. https://t.co/XxY1jSZ3qh","California"
19,"Trump campaign concedes on Arizona election results: ‘This is not a fraud case’ https://t.co/SlOmI04HWq","California"
20,"@SAshworthHayes Crap analysis too and the same wishful thinking which has informed Dem politics for decades. First of all reading too much into any election featuring Trump is a fool's errand. And he ignores the swing to Reps by many minority groups including Latinos in TX border counties","California"
21,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","California"
22,"I wish the Democrats had made noise about these losses. I wish they had tried to look under the hood. I don’t know why they thought everything would work out ok if they ignored it. I wish I still believed there were wise people manning the ship.","California"
23,"Excellent!!","California"
24,"@GovMikeHuckabee @SenSchumer Meanwhile, it was DEMOCRATS which tried to pass legislation (the #SAFEAct) banning most touchscreens supplied by Dominion (eg, in Georgia) &amp; ES&amp;S &amp; requiring robust post election manual audits to confirm electronic outcomes. The GOP killed it. 6/ https://t.co/5sZ8lvz3i0","California"
25,"It’s not “honorable” to Concede a stolen election !","California"
26,"We ask the people of the #UK to make a choice YES/NO in leaving the #EU 
ALMOST 4+ years later, a GENERAL ELECTION where the ONLY party willing to take us out was given a majority of 80+ seats AND WE ARE STILL NOT OUT. Extending??? NO!! WAY!! my patience will be done.","California"
27,"Election corruption now includes sucessful threats against @realDonaldTrump lawyers--depriving him and his campaign of their constitutional and legal rights to counsel.","California"
28,"PROOF! Someone tested the signature verification system in Clark County and it had a 89% failure rate for catching poor signature matches. We have raised concerns about the signature verification system for months. 100s of thousands of mail ballots here. 

https://t.co/zF0prCP8lk","California"
29,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","California"
30,"Love this man!! #Trump2020","California"
31,"Dozens of rallies are being organized in the U.S. for Saturday as part of a movement which falsely asserts that the election was manipulated against President Trump. Here are some of the unsubstantiated claims you might encounter, and why they are wrong: https://t.co/gRTMqpo0PA https://t.co/mCLFEmdgjE","California"
32,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election via @gatewaypundit https://t.co/Sjy7d5iIg4","California"
33,"Watch: Are Phone Networks Now Censoring Links About Election Fraud? https://t.co/nNkmG3NOVV","California"
34,"Washington airport FULL of deplorables right now pouring in for the Saturday rally. #MAGA https://t.co/sZ6tPHwqml","California"
35,"I think @RudyGiuliani ought to stick to the press conferences in between dildo shops and crematoriums since he has no idea if he's coming or going.","California"
36,"JUST IN: Lawyers for the Trump campaign have dropped a lawsuit seeking a review of all ballots cast in Arizona on Election Day after realizing the result in the state couldn't be overcome https://t.co/wgA7IImpzF","California"
37,"@realDonaldTrump Dear Twitter, your claim about election fraud being disputed is being disputed - by over 71 million Americans!","California"
38,"@realDonaldTrump FOLKS IN DC- come out and SUPPORT on Sunday morning!!!","California"
39,"They will boycott you. They will try to get you fired from your job. They will harass your family and threaten your safety. 

This is the angry, intolerant Left. They demand complete obedience. Or else. 

#Robespierre","California"
40,"GEORGIA.🗳️

One week before the election.

PBS (Public Broadcasting Systems) does a deep dive on Georgia's use of Dominion Voting Systems machines.

What they found was troubling.🔽 https://t.co/RzwI3spw4Z","California"
41,"@JordanShhh NEW: President Trump spent his week mostly out of the public eye focused on challenging his election loss

His silence on coronavirus has created a leadership vacuum as the U.S. sets records for cases and deaths https://t.co/dKpwfRwqT8

Reply #stop to opt out https://t.co/O7N7I9QNum","California"
42,"1: yes the nose ring is drawn on i just really want one
2: the second one was a live photo taken from a ft call i was on with my friend whilst watching the election... #innitselfieday https://t.co/9AxKVrnTpo","California"
43,"Washington airport FULL of deplorables right now pouring in for the Saturday rally. #MAGA","California"
44,"https://t.co/zncmKRHpUP","California"
45,"🚨🚨🚨 https://t.co/vVP9e41zRs","California"
46,"This is not the official position of DHS. It’s obvious just from reading the statement that it was generated by some obscure committee that includes a coalition of outside left-wing groups. This story is a mirage! https://t.co/wHk8G8V3Bf","California"
47,"@Rintitty the election has been over, it's just that administration that's still being embarrassing.","California"
48,"Lori Lightfoot has banned mass gatherings but was caught red-handed in the streets with thousands of people celebrating the election. She has even called to ""cancel Thanksgiving"" over COVID-19 concerns.

Watch how she responds when confronted on TV: https://t.co/fLQG0ZTPw5","California"
49,"Lori Lightfoot has banned mass gatherings but was caught red-handed in the streets with thousands of people celebrating the election. She has even called to ""cancel Thanksgiving"" over COVID-19 concerns.

Watch how she responds when confronted on TV: https://t.co/fLQG0ZTPw5","California"
50,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","California"
51,"Hoes got mad","California"
52,"Here comes another excellent dig by Cas 👀","California"
53,"Alex is getting

busy","California"
54,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","California"
55,"Barack Obama was the MOST CORRUPT president in US history. I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","California"
56,"One of the biggest stories to come out of this election is how unified Republicans now are. We refuse to yield and we simply don’t believe their b*llsh*t any more","California"
57,".@KimStrassel The fix is in. 

We need to talk about about actually voting on election day.

.@HvonSpakovsky 
Strassel: Pelosi to blame for voting irregularities  |  https://t.co/cD8011QNc4","California"
58,"If CA is the nation’s progressive bellwether, why do we allow companies to keep essential workers in the dark about the safety of their workplace?

CA must start posting workplace outbreaks. Public health &amp; workers’ rights are more important than a business’s fear of public shame","California"
59,"Election integrity 7-day forecast: Cloudy with a good chance of raining lawsuits.","California"
60,"Our campaign has gained nearly 90k followers since Election Day.

Georgians are rising up to REJECT socialism &amp; save our country.

Here’s my promise to the great people of Georgia:

I WILL NEVER LET AMERICA BECOME A SOCIALIST NATION.

RT &amp; follow me. 

God bless you all 🇺🇸","California"
61,"@realDonaldTrump @twitter. This election is not rigged. Even Trump's lawyers agree it's not rigged. Please take this Trump tweet down.","California"
62,"And a 45 minute sincere from-his-heart apology.  Yup.  Thats for sure what he will do...","California"
63,".@BrianKempGA is running a fake “audit” in Georgia right now. He’s trying to pretend it’s some serious effort to count legal votes, but it’s not. He’s rushing through this fraud to certify a fake and stolen election.","California"
64,"SOCIAL MEDIA BLACKOUT ON THE HORIZON?
We are winning the War for the Truth
Their Lies and Censorship is not working

FORCE LOCKDOWN
SILENCE TRUTH
FAKE NEWS TAKEOVER
2327b - Rig For Red, Patriots Begin Operation, Attempted To Alter Our Election &amp; Got Caught https://t.co/hLp9j8JdJf","California"
65,"@Studio59Designs Every Deep State asset has been deployed

They have pulled out all the stops

Every lying, cheating Democrat has been marshalled

Every puppet coerced to steal tgis election","California"
66,"Hahaha....love the thought. Have any Dem Congressmen acquired covid?  White House and Sec Svc sure have! https://t.co/gXA5WXqxTT","California"
67,"🚨BREAKING🚨: Delaware County PA urgently contacts poll workers to inform them that election results from their precinct cannot be confirmed and approved due to missing data.

EMAIL BELOW! Stay tuned! https://t.co/EJosVy98kA","California"
68,"🚨BREAKING🚨: Delaware County PA urgently contacts poll workers to inform them that election results from their precinct cannot be confirmed and approved due to missing data.

EMAIL BELOW! Stay tuned! https://t.co/EJosVy98kA","California"
69,"#TheEsperpentoGoesOn Giuliani cuelga un vídeo en youtube explicando los méritos de su demanda por fraude electoral en nombre de Trump y, entre medias, mete publicidad. Pero no automática de youtube, de él mismo, anunciando puros y complementos vitamínicos (min 22:49 y 11:06) https://t.co/1BV48Lc3O6 https://t.co/YD4Dzq4m1s","California"
70,"Let’s do it.","California"
71,"Our Senate Majority is on the line. We CANNOT let the Dems take control. Donate NOW to SAVE THE SENATE!
https://t.co/iSsTOYT9W2","California"
72,"US Lawmakers Call on Bill Barr to Investigate Election Hardware and Software Following Reports of Unexplainable Anomalies and ""Glitches"" that Ripped Votes from President Trump via @gatewaypundit https://t.co/nZykJcsfCY","California"
73,"Will you let them steal the election? 

Do you have President @realDonaldTrump’s back? 

Then come to DC tomorrow: https://t.co/gzu5xL9oih","California"
74,"Election corruption now includes sucessful threats against @realDonaldTrump lawyers--depriving him and his campaign of their constitutional and legal rights to counsel.","California"
75,"Really interesting to listen to @NicolaSturgeon at IBA 2020 (@IBAevents) speaking about independence, Brexit, the US election and more. A highlight was seeing a photo of the late uncle Bashir Ahmed behind her. The kindest man I have ever known. (1/2) #IBAVT https://t.co/fm6V7J0BCl","California"
76,"The United States conducted a safe and secure election in the middle of a global pandemic. That’s something to celebrate, not question.","California"
77,"Election integrity 7-day forecast: Cloudy with a good chance of raining lawsuits.","California"
78,"BREAKING:

The media had already called the 2024 election for kamala😂","California"
79,"I am 100% convinced Democrats cheated in the 2020 election like they've never cheated before.","California"
80,"I rate this claim about Democrat hypocrisy and 2020 targeted fraud is 100 percent TRUE.","California"
81,"Barack Obama was the MOST CORRUPT president in US history. I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","California"
82,"@JordanUhl @hasanthehun It was one of so many streams I had on. My personal fave was @kthalps', although @hasanthehun was really good too. Election day was like the Super Bowl for streamers. HT to @richimedhurst @theconvocouch @grahamelwood @RonPlacone @jimmy_dore @BeauTFC @nikoCSFB ss from my Discord https://t.co/obKV8vhdRg","California"
83,"No, Secretary Pompeo. There won't be a transition to a second Trump term. The race has been called. Joe Biden will be our next president. How can you lecture other governments to respect democracy and the will of their people when you don’t have the decency to do so yourself?","California"
84,"Found a vendor user guide with images showing how the Dominion 5.5 central tabulating software works and transmits results from your ballot to the county. 
Do you trust your election workers to copy and paste files and folders to USB without tampering?
https://t.co/YeJBrdo6no","California"
85,"Biden is a security risk, compromised by his family's China and other dealings. Also has record of abusing access to classified info to target his political opponents (@GenFlynn and @RealDonaldTrump) He should be denied access for as long as law allows. https://t.co/iZ0IBbq6Pr","California"
86,"Are your election workers being monitored during this process? 
If so, who is watching them take data from the tabulator machine, copying it to a flash drive, and delivering it to the county office? 
Is a proper chain of custody maintained?","California"
87,"The Trump Campaign needs to fight election fraud even in UNCONTESTED states. 

North Carolina and Virginia are two perfect examples. 

One major upside is it gives SCOTUS cover. 

Legislatures should set elex law EVERYWHERE.

NOT unelected Elex Boards.

https://t.co/6j2hbrHXEv","California"
88,"米国連邦選挙委員会の最高選挙人者

『この選挙は違憲である』と言って爆弾声明を出した。
https://t.co/VqyUbXEbSV","California"
89,"Obama says Trump's baseless election fraud claims put democracy on a ""dangerous path"" https://t.co/H3EL5HB58p","California"
90,"So let me get this straight: McConnell refuses to accept the presidential election results, but has no problem accepting the results of his own reelection in Kentucky?","California"
91,"If a Democrat was refusing to accept election results and rolled out a convicted sex offender to make absurd claims of fraud, the press would probably be tip-toeing around it like they are with Trump, right?","California"
92,"why hasn't @realDonaldTrump called him","California"
93,"blistering takedown of speculation, sinister allegations and no facts! https://t.co/zSPSrjT9VK","California"
94,"I can't imagine what could go wrong with this?

Dominion Voting Systems Officer of Strategy and SECURITY Eric Coomer Admitted in 2016 Vendors and Election Officials Have Access to Manipulate the Vote https://t.co/nq7HGMOU2g via @gatewaypundit","California"
95,"AMERICA MORE WITCH HUNTS ! THE RADICAL DEMOCRATS THREATEN TRUMP OFFICIALS WITH 3 YEARS IN JAIL IF DOCUMENTS DESTROYED NO MATTER WHAT THE OUT COME OF ELECTION, HOUSE DEMOCRATS ARE PLANNING WITCH HUNTS INTO PRESIDENT TRUMP 
THIS IS A MUST READ
DEMOCRATS ☠☠ https://t.co/s5oNjZUFQA","California"
96,"So a major law firm just dropped a client, likely due to the fact that the Left crowdsourced outrage at the legal firm for taking the client. Things are not going back to normal. https://t.co/LrkgbJcfr5","California"
97,"Kemp should think twice b4 he slinks away as to what his tourist attraction State will become while he is playing coward. The future looks bleak. Black slavery legalized in 1749 in Georgia.","California"
98,"Freedom Loving Americans in Georgia MUST increase pressure on Governor @BrianKempGA to call a special session of GA legislature to deal with fraudulent &amp; unlawful 11/3 election.

Why is Kemp just giving us lip service? Why is Kemp not fighting for the People &amp; @realDonaldTrump?","California"
99,"https://t.co/ssKbiOmn0w","California"
100,"Did you know Google, Inc. was a contributor to the latest US Government Election Results Common Data Format Specification?
https://t.co/eQGez8tG28","California"
101,"I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right?","California"
102,"For just the second time in more than seven decades, a Democrat (Joe Biden) will carry Arizona in a presidential election. The American people have spoken. #ItsTimeToConcede","California"
103,"Is anyone even a little shocked? Imagine how much worse it gets.  https://t.co/h5S3nd6YN1","California"
104,"VICTORY ‼️

Pennsylvania court rules in favor of @TeamTrump, noting that the anti-Trump Secretary of State Kathy Boockvar exceeded her authority in trying to count ballots arriving AFTER Election Day.

Article 1, Section 4 of the U.S. Constitution MATTERS!
https://t.co/ZZS1c3EUwQ","California"
105,"Muh DOMINION","California"
