"tweet","text","location"
1,"Do not certify any election results in Michigan, Arizona, Wisconsin, Pennsylvania, Georgia until there is an audit performed in each precinct for those states. If no audit is performed than Republican state legislatures should only send Trump electors to United States Congress!","Colorado"
2,"“This case is about far more than the ultimate winner of the Presidential election.”

@tracybeanz 
@reeveslawstl 
@SidneyPowell1 
@molmccann 
@jbinnall 
@VicToensing 

Must read legal analysis of the situation in PA, the “Keystone State”","Colorado"
3,"Kayleigh McEnany Announces There Are 234 Pages Of Sworn Affidavits Alleging Election Fraud In Wayne County, Michigan🗽 https://t.co/kAL4H5P3gy","Colorado"
4,"So it is rigged or is it the most secure election ever? Make up your mind.","Colorado"
5,"Barack Obama was the MOST CORRUPT president in US history. I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","Colorado"
6,"PROOF! Someone tested the signature verification system in Clark County and it had a 89% failure rate for catching poor signature matches. We have raised concerns about the signature verification system for months. 100s of thousands of mail ballots here. 

https://t.co/zF0prCP8lk","Colorado"
7,"This is why I'm not feeling very confident right now

Republicans are weak.","Colorado"
8,"Georgia turned blue and Trump lost the election in a landslide I call that poetic justice. https://t.co/yUY1ydedsT","Colorado"
9,"@realDonaldTrump Give up man, your so stressed you don't see you contradict your own words... The election was the most secured election ever to be held. Just because they knew you would try something like this.. And it was not rigged at all, we just don't want you.. https://t.co/T4FtZRRrQC","Colorado"
10,"So let me get this straight: McConnell refuses to accept the presidential election results, but has no problem accepting the results of his own reelection in Kentucky?","Colorado"
11,"Winning","Colorado"
12,"@waltshaub @GSAEmily I would have bet money that Mitch McConnell would have been first to throw tRump under the bus. Just as he did by encouraging Trump to nominate &amp; confirmed Amy before the election. https://t.co/csINrb1puS","Colorado"
13,"first POTUS in 240 yrs to refuse to accept election results, and GOP supports it. Instead of vivid portraits of a party abandoning any principles as GOP lawmakers obediently fall in line behind Trump's nasty behavior, we get coverage about how savvy Republicans are being","Colorado"
14,"I am gratified that the court’s ruling today validates what those directly involved in administering the 2020 election already know to be true: this election was secure, transparent, &amp; the results are an accurate reflection of the will of Michigan voters.

https://t.co/JaVburqs2E","Colorado"
15,"@Right_NotLeft Biden did not win Georgia! 
Trump is simply rounding up the rest of the demon-fools who just got #trapped. 
#Jailtime is coming for fuqqing the people out of a free and fair election. #ThesePeopleAreStupid https://t.co/ykCBxhOSVQ","Colorado"
16,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Colorado"
17,"2020 US PRESIDENTIAL ELECTION (270 electoral votes to win):

Joe Biden: 306
President Trump: 232

Total vote (97% in):

Biden: 77,965,666 (50.8%)
Trump: 72,648,762 (47.4%) https://t.co/eeJUlXemms","Colorado"
18,"Dozens of rallies are being organized in the U.S. for Saturday as part of a movement which falsely asserts that the election was manipulated against President Trump. Here are some of the unsubstantiated claims you might encounter, and why they are wrong: https://t.co/gRTMqpo0PA https://t.co/mCLFEmdgjE","Colorado"
19,"I truly believe you’re a sexist racist","Colorado"
20,"Wow. We finally agree on something","Colorado"
21,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Colorado"
22,"The Effects of the 2020 Election on Antitrust Merger Clearance https://t.co/5z3Fzbdz7s | by @tlslegal","Colorado"
23,"🚨🚨🚨 IT'S OFFICIAL 🚨🚨🚨

PRESIDENT DONALD J TRUMP WILL MAKE A SPECIAL APPEARANCE AT THE MILLION MAGA MARCH — WASHINGTON D.C. SATURDAY (TOMORROW)

STAND UP FOR PRESIDENT DONALD J TRUMP AND HOLD LAWMAKERS ACCOUNTABLE FOR A FRAUDULENT ELECTION #MILLIONMAGAMARCH #STOPTHESTEAL https://t.co/PgyizSeFoq","Colorado"
24,"Twitter Has Labeled 34% of Trump‘s Tweets Since Election Day https://t.co/KV2v8Egfzp via @BreitbartNews","Colorado"
25,"SEXMEX","Colorado"
26,"GEORGIA.🗳️

One week before the election.

PBS (Public Broadcasting Systems) does a deep dive on Georgia's use of Dominion Voting Systems machines.

What they found was troubling.🔽 https://t.co/RzwI3spw4Z","Colorado"
27,"With US election security officials rejecting Donald Trump's fraud claims, @BBCRosAtkins examines what this means for democracy in the country

https://t.co/C23jvANF2Z https://t.co/j1z6e9KdxV","Colorado"
28,"Trump knew. His whole team knew. If this thread is even half-way true, some major doo-doo is about to hit the fan. He's been aware since long before 11/3 that the Dems would try to steal this election. Hence the confidence he will prevail. This is getting REAL interesting! https://t.co/nDxSxQwpqr","Colorado"
29,"Explain to me why it is NOT OKAY for President Trump &amp; all Americans who voted for him..

to “peacefully” challenge the handling of this election? 

Because I GUARANTEE if it were the other way around..

the Left would be rioting, looting &amp; destroying everything in this country.","Colorado"
30,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Colorado"
31,"Freedom Loving Americans in Georgia MUST increase pressure on Governor @BrianKempGA to call a special session of GA legislature to deal with fraudulent &amp; unlawful 11/3 election.

Why is Kemp just giving us lip service? Why is Kemp not fighting for the People &amp; @realDonaldTrump?","Colorado"
32,"It matters
FB went into his profile and changed it

What if they knew a person was getting divorced,went and changed status to Divorce","Colorado"
33,"@seanhannity Yes and cry over election results. https://t.co/YRqxDCtsem","Colorado"
34,"Barack Obama was the MOST CORRUPT president in US history. I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","Colorado"
35,"There have been more Trump aides who’ve tested positive for coronavirus since the election than documented cases of voter fraud","Colorado"
36,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Colorado"
37,"Twitter Has Labeled 34% of Trump‘s Tweets Since Election Day https://t.co/KV2v8Egfzp via @BreitbartNews","Colorado"
38,"Not only is Joe Biden a criminal, he is a traitor (as are his backers) He was (and still is) selling out his Country to China .... Does anyone wonder why the Biden/China connection continued for the last 4 years ? .. b/c they planned to rig this election","Colorado"
39,"Republicans control the legislatures in Arizona, Georgia, Wisconsin, Michigan, and Pennsylvania.

This election is far from settled.","Colorado"
40,"Twitter = fascism.  Twitter supports election fraud.  Demand Justice","Colorado"
41,"@TylerGNixon If it had been a free, fair and transparent election you are absolutely correct!","Colorado"
42,"Wow.  When Iran’s Ayatollah says the Holocaust didn’t happen, Twitter doesn’t say “this claim is disputed.”  When I say ballot harvesting makes election fraud easier Twitter says that’s disputed.  Wonder why conservatives don’t trust big tech? https://t.co/5SGkqyOhUe","Colorado"
43,"There were no observers present because they were not allowed in by the democratic election officials in violation of Pennsylvania law.  Hundreds of thousands of ballots were cast without any observation.","Colorado"
44,"🚨 ATTENTION @realDonaldTrump !!!

THIS 👇POS IS NOT YOUR FRIEND.🤬","Colorado"
45,"HAS IT OCCURRED TO ANYONE that the conversation BY MSM has been switched from ELECTION FRAUD TO COVID LOCKDOWNS?  Wonder why???","Colorado"
46,"One of the excuses for preventing and even removing poll-watchers from observing the ballot counting in certain Democrat cities was the COVID-19 pandemic.

Poll watchers are essential to a free and fair election.

If we must use social distancing as an excuse, then use cameras🤷‍♂️","Colorado"
47,"@SamanthaJPower @SamanthaJPower 
Started in 2016 when lunatic lefties refused to accept the election of President Trump.. https://t.co/qOxJwYZ36j","Colorado"
48,"I'm kinda thinking that happened on Monday 11/2.💯👍

Didn't it?🤔

#StopTheSteal
#ChinaJoe","Colorado"
49,"From the results of the election, and the massive voter fraud that the democrats can’t even hide, I would say there’s nothing legitimate about our electoral process anymore!! So delegitimizing isn’t the proper word! How about EXPOSING!!!","Colorado"
50,"Chris Cuomo breaking quarantine while infected, Pelosi breaking lockdown to go to the hair salon, and now this...","Colorado"
51,"@ulysseswolfgar @IvankaTrump @realDonaldTrump He ""lost"" the election sir. Please get on with your life. I give you permission.","Colorado"
52,"Its both.  LOL.  It is an ""audit"" in that the purpose is to determine the accuracy of the electonic tablulation by doing a statistical analysis of a meaningful sample size.  But a statistically significant sample would be over 1.5 million ballots.","Colorado"
53,"This is not how you conduct free and fair election. I don’t care what side you’re on, you know this is embarrassing and frankly disgusting. We need faith in our election process in order to trust the outcome. This is not restoring faith @GaSecofState @GovKemp. https://t.co/FmljB2pFwt","Colorado"
