"tweet","text","location"
1,"“It’s unclear how much voter fraud took place in NV. But it’s clear signature verification isn’t the fail-safe security check elections officials made it out to be.”

VICTOR JOECKS: Clark Co. election officials accepted my signature — on 8 ballot envelopes https://t.co/6ommTj7fIJ","District of Columbia"
2,"With losses in both PA and MI today, Trump campaign isn't winning much of anything.

They don't have facts of voter fraud or other problems.
They don't have the law to show a legal violation.
They don't have a remedy given wide margins in these states.

They don't have a case.","District of Columbia"
3,"Just as Bannon used his “Build A Wall” organization to steal from Trump supports (for which he’s being prosecuted) Trump’s using his “Election Battle” fundraising nonsense to fleece his supporters. He knows he lost, he knows he’s done. But hey, one last grift of his supporters...","District of Columbia"
4,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","District of Columbia"
5,"No doubt at all,......the left tried to steal this election.","District of Columbia"
6,"@realDonaldTrump FOLKS IN DC- come out and SUPPORT on Sunday morning!!!","District of Columbia"
7,".","District of Columbia"
8,"“We see some folks that are communicating on social media suggesting they are going to bring firearms into our city. You can NOT open/carry in the District of Columbia.”
-Peter Newsham, DC Police Chief comments on #MillionMAGAMarch &amp; #StopTheSteaI protesters coming to DC Saturday","District of Columbia"
9,"“President Donald Trump lost more than an election last week. When he leaves the White House in January, he will also lose the constitutional protection from prosecution afforded to a sitting president.” About time!
https://t.co/wsWO4AQ6hk","District of Columbia"
10,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election https://t.co/KlaU0cREl7 via @gatewaypundit","District of Columbia"
11,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election via @gatewaypundit https://t.co/hVfYpxT4LS","District of Columbia"
12,"This election is not over until every legal vote is counted &amp; audited.

#StopTheSteal https://t.co/rcYajUKnM4","District of Columbia"
