"tweet","text","location"
1,"@FrankLuntz This election is a war between #DrainTheSwamp and STOP #CabalTakeDown to see #HunterBiden royal waving from the BH victory stage was the ultimate spit on America.  #DarkWinter too kind for the BH nightmare and pillage of WTP that is coming.","Iowa"
2,"#WorldOnFireUSA For President Trump to Win : @SpeakerPelosi unfortunately couldn't be heard through her face mask. Accepting reality means accepting we will NOT allow @realDonaldTrump @POTUS to concede this election..
@WhiteHouse @FCDOGovUK 
#TheWholeWorld
https://t.co/oTSSX1CeYD","Iowa"
3,"@MortonCandy @RudyGiuliani @realDonaldTrump More #FAKENEWS from the #NYTimes 
Pathetic.This is from the data they used election night but then took site down. Get me real time data time-stamped. The fraud is massive. 
It should result many criminal prosecutions.
@TheJusticeDept 
@JudgeJeanine 
@KerriKupecDOJ 
@TomFitton https://t.co/rpAuBAxAXK","Iowa"
4,"See you tomorrow Mr. President!!! We Love You!!","Iowa"
5,"Major law firm withdrew overnight from a Trump campaign case in Pennsylvania seeking to have mail-in ballots thrown out. #TrumpOut
https://t.co/ufEyHMhI0q","Iowa"
6,"@philipsknowlton New York Times says-500,000 votes-were switched from Trump
2-Joe-Additionally-5-hundred
thousand-Trump votes/deleted
IN-election
HOW COULD-Joe-B-AHEAD-OF
Trump-&amp;-same time the-DEMS
lost seats in the US House
governor-&amp;-state legislate
highly improbable
NYT info-will take Joe-DOWN https://t.co/s6r13vdqGV","Iowa"
7,"@philipsknowlton New York Times says-500,000 votes-were switched from Trump
2-Joe-Additionally-5-hundred
thousand-Trump votes/deleted
IN-election
HOW COULD-Joe-B-AHEAD-OF
Trump-&amp;-same time the-DEMS
lost seats in the US House
governor-&amp;-state legislate
highly improbable
NYT info-will take Joe-DOWN https://t.co/s6r13vdqGV","Iowa"
8,"@philipsknowlton New York Times says-500,000 votes-were switched from Trump
2-Joe-Additionally-5-hundred
thousand-Trump votes/deleted
IN-election
HOW COULD-Joe-B-AHEAD-OF
Trump-&amp;-same time the-DEMS
lost seats in the US House
governor-&amp;-state legislate
highly improbable
NYT info-will take Joe-DOWN https://t.co/s6r13vdqGV","Iowa"
9,"@philipsknowlton New York Times says-500,000 votes-were switched from Trump
2-Joe-Additionally-5-hundred
thousand-Trump votes/deleted
IN-election
HOW COULD-Joe-B-AHEAD-OF
Trump-&amp;-same time the-DEMS
lost seats in the US House
governor-&amp;-state legislate
highly improbable
NYT info-will take Joe-DOWN https://t.co/s6r13vdqGV","Iowa"
10,"@philipsknowlton New York Times says-500,000 votes-were switched from Trump
2-Joe-Additionally-5-hundred
thousand-Trump votes/deleted
IN-election
HOW COULD-Joe-B-AHEAD-OF
Trump-&amp;-same time the-DEMS
lost seats in the US House
governor-&amp;-state legislate
highly improbable
NYT info-will take Joe-DOWN https://t.co/s6r13vdqGV","Iowa"
