"tweet","text","location"
1,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Illonois"
2,"God is speaking through His people","Illonois"
3,"Before the election, a majority of voters said U.S.'s best days were ahead; now it's less than half | Just The News
https://t.co/4E7Cj6jIZy","Illonois"
4,"I think America should execute 25th Amendment. Trump has no mentality nor a brain to run the country.","Illonois"
5,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Illonois"
6,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election https://t.co/OOAk2DBajv","Illonois"
7,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Illonois"
8,"Republicans complain about the welfare state, but blue America is carrying red America on its back and all we are getting in return is a system more and more rigged against us.  https://t.co/mvcQbI5CPk","Illonois"
9,"Trump campaign releases initial list of dead Georgia residents that allegedly voted in 2020 election | Just The News https://t.co/oXIwetQnkS","Illonois"
10,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Illonois"
11,"@GeraldoRivera @realDonaldTrump Election is over...no more votes to fight for.","Illonois"
12,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Illonois"
13,"In 2020 if you say the election was hijacked you can get banned 

In 2017 if you said the election was hijacked you can be Speaker of the House","Illonois"
14,"@pastorlocke @SusanIverach The so called official sources that called the election for Basement Joe are the fake news, a dying breed.","Illonois"
15,"Bye bye","Illonois"
16,"Reporta @nytimes  sobre lo que está ocurriendo en Puerto Rico con el proceso electoral y la contienda por la Alcaldía de San Juan. 

¡El cambio va!

---
Thousands of Uncounted Votes Found a Week After Election in Puerto Rico https://t.co/n1dwJz2IwK https://t.co/ZlLJUJXEIU","Illonois"
