"tweet","text","location"
1,"REP. LOUIS GOHMERT: The US Military Has Raided And Seized Servers In Germany Tied To The #Dominion Election System  https://t.co/edQDMoOeLC","Kentucky"
2,"Breaking: More career prosecutors pushing back on Barr election memo.","Kentucky"
3,"Excellent! Proud of all of you.","Kentucky"
4,"Exactly","Kentucky"
5,"REFUSE TO CERTIFY https://t.co/eWNHZdDoOl","Kentucky"
6,"THIS ⬇️: 16 US Attorneys tell  Barr there is NO evidence of election fraud AND that he should STOP the political partisan charade. In substance, they tell Barr, ‘shut up &amp; sit down.’ Thank you to these courageous, honorable public servants! #BarrResign https://t.co/vtlpRWN4Rz","Kentucky"
7,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Kentucky"
8,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Kentucky"
9,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Kentucky"
10,"アメリカ全50州で大統領選の大勢が判明しました。

バイデン氏はジョージア州でも勝ち、計306人の選挙人を獲得する見通しです。

トランプ氏は232人。当選には270人以上が必要です。 https://t.co/P7ayaNklnq","Kentucky"
11,"Why would the other side steal the election?  Hey if people love Mr. Joe, no need to steal anything.  It’s easier for a Trumperteer like me to believe that President Trump won.  Anyone who has been to these Rally’s they know something is not right about this election.","Kentucky"
12,"@TuckerCarlson Don't give Trump family your money!!!!!  Trump owes millions to banks. He needs your money to pay it off when presidential immunity is gone. He tells you that it's to make election court claims. But it's not.  Look into it!!!!!","Kentucky"
13,"@TuckerCarlson Don't give Trump family your money!!!!!  Trump owes millions to banks. He needs your money to pay it off when presidential immunity is gone. He tells you that it's to make election court claims. But it's not.  Look into it!!!!!","Kentucky"
14,"@TuckerCarlson Don't give Trump family your money!!!!!  Trump owes millions to banks. He needs your money to pay it off when presidential immunity is gone. He tells you that it's to make election court claims. But it's not.  Look into it!!!!!","Kentucky"
