"tweet","text","location"
1,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Maryland"
2,"The hand count process in Georgia MUST include a review of signatures on absentee ballots and envelopes to verify whether the signature verification process was properly executed.

This is absolutely CRITICAL.

Without this, Georgia CANNOT properly certify the election results. https://t.co/XicEe53V1N","Maryland"
3,"Omg ... right after the”election” someone, I forget who, predicted that people who were supporting Trump would delete their Trump tweets. I thought “no way!”...I hate to say it but it’s true. What kind of cowardice is this? I’m kinda shocked","Maryland"
4,"#Breaking #BreakingNews 
🚨💥🚨💥
THE #USA ELECTION IS INVALID. The ENTIRE Thing has been SUBVERTED. This is a NATIONAL SECURITY EMERGENCY! It's been hacked AT EVERY LEVEL Incl' Source Code!! @TheJusticeDept MUST put a FULL STOP to&amp; conduct FULL FORENSIC Investigation IMMEDIATELY https://t.co/6bggx0VorW","Maryland"
5,"Georgia Governor @BrianKempGA talks golf instead of dealing with fraudulent GA election.

Why?

Because Kemp was. and still is, part of the fraud. He is China-corrupt.

#FightBack for Kemp Resignation","Maryland"
6,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE - Indicates Obvious Election Fraud @JoeHoft @RealDonaldTrump via @gatewaypundit https://t.co/tm4jj8Aiil","Maryland"
7,"It's possible that 2020's election fraud is way bigger than we thought - American Thinker https://t.co/Y7KXgbVH6f","Maryland"
8,"@KymSleezer @mislukt12345 @DanScavino Winning an election is clarity.","Maryland"
9,"An unverified ballot is an unverified vote. Unverified votes make for unverified election results. Unverified election results undermine faith in democracy itself #Election2020results","Maryland"
10,"If the Biden team were so sure they won this election, why are they trying to lock us down?","Maryland"
11,"So I have to carry around proof that I took the vaccine to go to a concert but I don’t need an ID to vote in an election?","Maryland"
12,"EXCLUSIVE: Based on Reports By Auditors, IT Specialists, Data Analysts, and Statisticians - The Number of Illegitimate Votes Identified In Four Swing States Are Enough to Overturn Election 

https://t.co/ilTNYq7mzF via @gatewaypundit","Maryland"
13,"Amen","Maryland"
14,"Just in the last 12 hours, the Trump campaign has lost 6 election-related lawsuits in Pennsylvania.","Maryland"
15,"@1776Stonewall @democrats 3 #DominionVotingSystems  #Whistleblowers confirms #voterfraud! https://t.co/khfCCXj8LK","Maryland"
16,"@1776Stonewall @democrats 3 #DominionVotingSystems  #Whistleblowers confirms #voterfraud! https://t.co/khfCCXj8LK","Maryland"
17,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Maryland"
18,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Maryland"
19,"Just think what all those brave men &amp; women who fought and lost their lives for the principles of this nation would think watching thousands of Americans marching to overturn an election merely because the President claims there was fraud

#MillionMoronMarch  #MarchForTrump","Maryland"
20,"@ypojoy @EnragedMango @marwilliamson @realDonaldTrump Let's pick 1 thing out of 100 things. How about... the refusal of election officials to allow observers to watch the vote counting. Locking them out of the buildings and such.

What innocuous explanation for that could there be?","Maryland"
21,"Dear @Twitter, stop interfering in the election.","Maryland"
22,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","Maryland"
23,"Sorry haters, this is AMERICA, and we  don’t negotiate with morons or terrorists and we will advocate for election integrity and to preserve our country.l!!

I’m PROUD to represent @realDonaldTrump and be on his legal team.","Maryland"
24,"@atrupar Stop the steal. Considering Trump lost the election, how could they not hear how that sounds. Trump is the one trying to steal the election.","Maryland"
25,"This is the story of the whole wretched affair","Maryland"
26,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Maryland"
27,"She’s so horrible.","Maryland"
28,"If MAGA Lunatics like Kayleigh McEnazi think the thousand proud boys terrorist MAGA March is 1M people, I can see why the election results confuse them.","Maryland"
29,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Maryland"
30,"ELECTION FRAUD IS A FORM OF ELECTION TERRORISM!

Election Fraud is an attempt to Subvert the State, the Nation and all of its Governing Apparatus, not to Exclude the Nations Military. 

Those involved, aiding or complicit are liable to state and federal crimes!","Maryland"
31,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","Maryland"
32,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Maryland"
33,"At the debate last month, President Trump said we would have a vaccine at some point around the election. 

CNN and others fact checked that as a “lie.”

We must hold the so-called fact checkers accountable!","Maryland"
34,"Remember when Trump said his campaign was spied on and Fake News said it was debunked?

Remember when Trump said Biden engaged in a Ukrainian quid pro quo and Fake News said it was debunked?

Now Trump is saying there was election fraud and Fake News is saying it’s debunked...","Maryland"
35,"Dear @Twitter, stop interfering in the election.","Maryland"
36,"Dems freak out out when you meekly submit that the election is not over, so imagine how they'll react when Trump is declared the winner and the media characterizes it as a coup against Biden?
MSM is deliberately setting fire to America.","Maryland"
37,"@realDonaldTrump 
@GOPChairwoman 
Is this part of the ""plan""?
Who is in control?
Why are all these seditious, treasonous, insubrodinate pricks allowed to stay in office and never be punished for there refusal to do what @POTUS  says?
https://t.co/Ie0Ln3iKft","Maryland"
38,"@jmbenson1491 Who do you think the government that count the votes will choose
And I can see now in goergia the the Republican establishment is showing us what side they are on
I do still have hope but we must destroy the establishment or next election we might as well be voting in N. korea","Maryland"
39,"🤣😂🤣😂🤣😂🤣😂🤣😂","Maryland"
40,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Maryland"
41,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Maryland"
42,"This is what Patriots look like when they take it to the streets when they smell a BIG dead rat in election results #Venezuela #DominionVotingSystems #USA @ElAmerican_ @SidneyPowell1 @RudyGiuliani @DineshDSouza @realDonaldTrump https://t.co/El2mo5jIcz","Maryland"
43,"⬇️⬇️⬇️⬇️⬇️⬇️⬇️⬇️","Maryland"
44,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE - Indicates Obvious Election Fraud @JoeHoft @RealDonaldTrump via @gatewaypundit https://t.co/tm4jj8Aiil","Maryland"
45,"Look at this tweet from Trump.","Maryland"
46,"Our boy Rich","Maryland"
47,"There have been more Trump aides who’ve tested positive for coronavirus since the election than documented cases of voter fraud","Maryland"
