"tweet","text","location"
1,"He's ACCUSED of being compromised, ACTS like he's compromised, avoids investigative oversight, and fights TO THE DEATH to protect financial secrets. He owes $1B, $400M due soon. He lost the election, cares only about himself, and needs $. 

This is ALL ON THE GOP. They knew.","Michigan"
2,"No one believes that a guy who couldn’t fill a a room won this election! #Trump2020 https://t.co/fBRc2fND6V","Michigan"
3,". 
🗳️ LEFTIST ELECTION CRIME - LATE-NIGHT BALLOTS in MI

Michigan Election Observer Shane Trejo Witnessed Drivers Bring in 50 Boxes of “Absentee Ballots” AFTER Midnight DEADLINE into Detroit TCF Center at 3:30am

.
https://t.co/j5VYBcb21O","Michigan"
4,"crazy how the leftist cultists resurrected all those dead people to vote in the last election","Michigan"
5,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Michigan"
6,"Mr. President @realDonaldTrump 
&amp; Mr. Biden @JoeBiden 

Our analysis in Michigan indicates a computer algorithm was likely used to transfer 69,000 votes. We are willing to subject our results to a critical &amp; transparent review with your representatives. Are you open?

-Dr. Shiva","Michigan"
7,"Georgia Governor @BrianKempGA talks golf instead of dealing with fraudulent GA election.

Why?

Because Kemp was. and still is, part of the fraud. He is China-corrupt.

#FightBack for Kemp Resignation","Michigan"
8,"CORRECTION:

This tweet was intended for @KLoeffler. I remain imperfect. But I would never knowingly take dime from China. Loeffler husband has extensive dealings with China with NYSE. 

GA election was totally rigged against @RepDougCollins.

Where is @BrianKempGA hiding?","Michigan"
9,"RIGGED!","Michigan"
10,"Again, if they’re so confident in Biden’s ballots, why would Dems be in such a hurry to thwart the audits, recounts and legal challenges?
https://t.co/EvDwt9r5ae","Michigan"
11,"DEMS ARE TRYING TO STEAL THIS ELECTION AND OUR FREEDOM","Michigan"
12,"DEMS ARE TRYING TO STEAL THIS ELECTION AND OUR FREEDOM","Michigan"
13,"DEMS ARE TRYING TO STEAL THIS ELECTION AND OUR FREEDOM","Michigan"
14,"@DavidYeshua4 DEMS ARE TRYING TO STEAL THIS ELECTION AND OUR FREEDOM","Michigan"
15,"Raphael Warnock video: “America needs to repent for its worship of whiteness” @freebeacon https://t.co/oD46KbVqPQ","Michigan"
16,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Michigan"
17,"For the American right, the most exciting and self-fulfilling narrative to emerge from this year's election is the notion that, even if Donald Trump lost, Trumpism—or, at least, nationalist populism—has won.

Read more from @NoahCRothman 👉 https://t.co/EPw5zCs0fv

 #Populism https://t.co/UAAYrszFha","Michigan"
18,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Michigan"
19,"Trump supporters are rallying in D.C. today to echo false claims of a stolen election. Attendees include members of the Proud Boys, right-wing activists and conspiracy theorists.

The crowd was greeted by the president, who rode by in his motorcade. 
https://t.co/mE6DS4VRi2","Michigan"
20,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election making Biden a FRAUDULENT PRESIDENTIAL WINNER","Michigan"
21,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Michigan"
22,"@PressSec @camanpour @CNN What is indefensible is a man who openly mocks the will of the American people, steals, lies and cheats people daily and refuses to accept a democratic election result and is responsible for the death of thousands of Americans.","Michigan"
23,"We are LIVE!
From Freedom Plaza with some of the millions of @realDonaldTrump voters who are working to #DrainTheSwamp!
But it keeps getting clogged! 
We’re not letting the elites steal this election, folks. These are Bad, bad people!
#StopTheSteal https://t.co/KJ8Mquqa8h","Michigan"
24,"Recurring kind of false equivalency

Take things the president and top Republicans say, and compare them to what some random columnist said once or twice

The relevant comparison to Trump’s behavior, and the Republicans who follow him is what Obama, Hillary,etc were doing in 2016","Michigan"
25,"With the safety and well-being of our volunteers and staff in mind, we will be switching to curbside pick-up for all of our Girl Scouts of Southeastern Michigan retail shops. https://t.co/V8YcyoBG3S","Michigan"
26,"Look at this tweet from Trump.","Michigan"
27,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Michigan"
28,"The most corrupt institutions and individuals in America have declared that the election was free of fraud, and that's good enough for me. What's wrong with the rest of you?","Michigan"
29,"Wow. This is exactly what happened to us. Great courage by judge!","Michigan"
30,"Democratic senators warned of potential 'vote switching' by Dominion voting machines prior to 2020 election 

Experts in Texas too

https://t.co/8QSvG5JNcP from @AndyMarkMiller for @dcexaminer","Michigan"
31,"After Donald Trump won the 2016 election, the spying on him did not stop. 
Under orders from the 7th Floor (Comey, McCabe) the FBI intensified their surveillance of Trump's team based on false pretences.
My book exposes it all. 
👇
https://t.co/CI8o3TqTpC","Michigan"
32,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Michigan"
33,"We’re fighting to protect the integrity of our elections — not only for this election, but for all of our elections to come. https://t.co/tiGDRm2Oik","Michigan"
34,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","Michigan"
35,"Chris Wallace during the first debate: “Will you pledge not to declare victory until the election is independently certified?”

Joe Biden: “Yes.”

Whoops. https://t.co/LNasGOyGx5","Michigan"
36,"Exactly. For more than 4 years, FBI, Dems, &amp; press have tried to disenfranchise Trump voters. The idea half the country should fold because media that targeted Trump since 2016 says so is a sinister joke. Head up, chin down, move forward Team America. The rest of you, suck eggs.","Michigan"
37,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Michigan"
38,"2020 Election Fraud on Steroids https://t.co/GlXZJTRYX9","Michigan"
39,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","Michigan"
40,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy. https://t.co/7Hlx0vvk0Q","Michigan"
