"tweet","text","location"
1,"@RudyGiuliani Venezuelans know about this from 20 years ago. With SMARMATIC handling votes from now on there will not be another free and democratic election in USA. AMERICAN PEOPLE OPEN YOUR EYES.","Minnesota"
2,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Minnesota"
3,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Minnesota"
4,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
5,"For every illegal ballot that is counted, the integrity of every legal vote is compromised.” -@GOPChairwoman
https://t.co/uesth8MRr2","Minnesota"
6,"Spread this far and wide. Thousands of Georgians can still register to vote in this runoff election! https://t.co/TSu6vivLny","Minnesota"
7,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Minnesota"
8,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","Minnesota"
9,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
10,"Would gladly give money. First tell me if you're doing recounts or audits. If you aren't fighting for audits, then get lost. Am tired of giving money, then having you guys put your tail between your legs and slink away. Time to fight. If you don't the party's done.@GOP","Minnesota"
11,"@realDonaldTrump The election wasn't stolen.. you fucking lost !! #Concede","Minnesota"
12,"https://t.co/h1cQAqaHZL","Minnesota"
13,"The Republican Party can have a bright future in Arizona if we accept that the election was not ""stolen."" The President lost. If we move beyond conspiracy theories and debate issues again, the country will benefit - and so will our party.","Minnesota"
14,"Oh, CNN also assured its 666 viewers that Dominion Voting System was not part of the fraud.

Proof beyond any doubt that Dominion is dirty &amp; was part of the effort to steal our election. https://t.co/1Wzo3Efk2x","Minnesota"
15,"Every lie will be revealed.

I suspect @GaSecofState &amp; @BrianKempGA will not be sleeping well for many nights. 

We The People will not be defrauded &amp; let corrupt politicians steal our money &amp; our votes.

We will #FightBack https://t.co/rhMQKmuM3V","Minnesota"
16,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
17,"THIS is how journalists should be holding people to account to prevent disinformation. @RichelleCarey is #KickingAssAndTakingNames

#Journalism 
#MasterClass 
#PursuitofTruth
#AnswerTheQuestion
#PreventDeflection 
#aljazeera","Minnesota"
18,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
19,"La gente no va a tolerar que una empresa privada de la izquierda radical, Dominion, y muchas otras razones, les roben esta elección.","Minnesota"
20,"Oh, CNN also assured its 666 viewers that Dominion Voting System was not part of the fraud.

Proof beyond any doubt that Dominion is dirty &amp; was part of the effort to steal our election. https://t.co/1Wzo3Efk2x","Minnesota"
21,"Update on key lawsuits
https://t.co/eR4le3NYiM","Minnesota"
22,"DEAD MAN VOTING: Deceased caught voting in NYC, election records show https://t.co/5xBrNGgqnK","Minnesota"
23,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Minnesota"
24,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Minnesota"
25,"CORRECTION:

This tweet was intended for @KLoeffler. I remain imperfect. But I would never knowingly take dime from China. Loeffler husband has extensive dealings with China with NYSE. 

GA election was totally rigged against @RepDougCollins.

Where is @BrianKempGA hiding? https://t.co/JIm1Ukv6QV","Minnesota"
26,"RIGGED! https://t.co/aoVd9HMh6v","Minnesota"
27,"@LLinWood @KLoeffler @RepDougCollins @BrianKempGA Then the runoff election is for the lesser of two evils?","Minnesota"
28,"@RepDougCollins Why are you not contesting your own race? It was likely fraught with election fraud too? Now we're stuck with a choice between a Chinese plant (Loeffler) &amp; some radical, race-baiting nutcase (Warnock). Contest your own race, @RepDougCollins. Who gets that Senate seat matters too.","Minnesota"
29,"Dear @Twitter, stop interfering in the election.","Minnesota"
30,"🔴 WOW‼ DOMINION VOTING SYSTEMS: Meet The Trump Hater, Man Behind The Curtain Of The Election Software, “IT’S SHOCKING” https://t.co/Bo3k1yUq04 via @POLITICALWAROOM #PrideFamily @PrideNews1 https://t.co/CqYy8iBBSj","Minnesota"
31,"Remember if Trump and the MIL had stopped all the election fraud and arrested everyone back in 2016, it would have all been blamed on Russia. 

By first debunking Russia and THEN allowing a second election trap, the only potential culprit will be the Democrats and RINO’s.","Minnesota"
32,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
33,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Minnesota"
34,"""The media is so corrupt, we can accept a stolen election from #Dominion""","Minnesota"
35,"Donald Trump Won The Election!

[/test]","Minnesota"
36,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Minnesota"
37,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Minnesota"
38,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Minnesota"
39,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Minnesota"
40,"In light of this, only one of two explanations make sense:

1. America wants Trumpism without Trump.

2. Election fraud stole the top of the ballot.
https://t.co/Nzo8hmkXVn","Minnesota"
41,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Minnesota"
42,"Oh, CNN also assured its 666 viewers that Dominion Voting System was not part of the fraud.

Proof beyond any doubt that Dominion is dirty &amp; was part of the effort to steal our election.","Minnesota"
43,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","Minnesota"
44,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Minnesota"
45,"@realDonaldTrump 
Hey BILL BARR @TheJusticeDept ,where are YOU? Where the hell is Durham? Exactly what in the DOJ have you cleaned up or restored? It’s obvious you were waiting on the election result &amp; now you’re off the hook due to a fraudulent election. No courage whatsoever!","Minnesota"
46,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Minnesota"
47,"Dear @Twitter, stop interfering in the election.","Minnesota"
48,"Now THIS is how you report the news! Thank you @Elex_Michaelson!","Minnesota"
