"tweet","text","location"
1,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Dakota"
2,"President Trump would not be tweeting this unless he was confident. Remember President Trump has access to top-secret intelligence. https://t.co/4CYGhN3yUs","North Dakota"
3,"The outcome of this election will be determined when every legal ballot that has been cast is counted and the legal process has concluded. #Election2020 https://t.co/cO4xaYpKPP","North Dakota"
4,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Dakota"
5,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","North Dakota"
6,"hoyyy bakit wala akong nakikitang news na gobyerno tumutulong???? pero kapag election tsktsk","North Dakota"
7,"Sorry haters, this is AMERICA, and we  don’t negotiate with morons or terrorists and we will advocate for election integrity and to preserve our country.l!!

I’m PROUD to represent @realDonaldTrump and be on his legal team.","North Dakota"
8,"Democrats oppose:

-Voter ID laws
-Auditing the vote 
-The Electoral College

Under their watch, election integrity will become a thing of the past.","North Dakota"
9,"The politically independent Election Commission of India deploys 700 special trains, as well as boats, planes, and teams of camels and elephants to ensure ballots reach citizens and are counted.","North Dakota"
10,"Democracy doesn’t get much simpler than one person, one vote. But what happens when that one person is a hermit living alone in a remote jungle temple surrounded by lions, leopards &amp; cobras? In India, the election comes to him. HT ⁦@Aparna_Pande⁩  https://t.co/QIEKkET8nc","North Dakota"
11,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","North Dakota"
12,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
13,"FACT: @SidneyPowell1 is the role model  for EVERY American who cherishes Freedom, Liberty, Election Integrity &amp; The Truth! Time for Every American to feed off her Courage &amp; Patriotism &amp; Take Our Country Back! @GenFlynn @JosephJFlynn1 @GoJackFlynn @BarbaraRedgate @RichardGrenell","North Dakota"
14,"EVERY accusation needs to be investigated and @SidneyPowell1 is just the person to make it happen. This election fraud cannot stand. the future of America depends on it.

https://t.co/AWYkkRe8ou","North Dakota"
15,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","North Dakota"
16,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Dakota"
17,"In 2012, Obama set an all-time record low for the number of counties won in a presidential election with 689.
Biden won only 477 counties, but supposedly had 9 million more votes.
Republicans didn't lose a House seat this year and picked up 12.
Blue mirage?","North Dakota"
18,"RIGGED!","North Dakota"
19,"Lin wood Files Lawsuit 

Georgia SOS,Brad Raffensperger,a Rino ,signed off on a secret legal deal with Hillary’s consigliere Marc Elias Perkins Coie, who has been busy managing other secretive Democratic election operations all across the country
 https://t.co/7fUmC1Mcci","North Dakota"
20,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Dakota"
21,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
22,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","North Dakota"
23,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
24,"DEMS ARE TRYING TO STEAL THIS ELECTION AND OUR FREEDOM","North Dakota"
25,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","North Dakota"
26,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/6RqIcoCJAR","North Dakota"
27,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","North Dakota"
28,"Rt","North Dakota"
29,"Every single one of them","North Dakota"
30,"Trump will win. It isn't done until the electoral college votes","North Dakota"
31,"Rt","North Dakota"
32,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
33,"If MAGA Lunatics like Kayleigh McEnazi think the thousand proud boys terrorist MAGA March is 1M people, I can see why the election results confuse them.","North Dakota"
34,"Dear @Twitter, stop interfering in the election.","North Dakota"
35,"Does anyone still think it possible that Trump didn't win? https://t.co/VZJbp8tJPV","North Dakota"
36,"PRECISELY. And it is true. This will be a second American Revolution, just as Sidney has said. In Lincoln's prophetic and as-yet unfulfilled words, ""a new birth of freedom."" https://t.co/4VQjxcbaHg","North Dakota"
37,"🇺🇸💥","North Dakota"
38,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","North Dakota"
39,"Barack Obama was the MOST CORRUPT president in US history. 
I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","North Dakota"
40,"Clever strategy, taking the ""have you stopped beating your wife?"" angle, where Twitter's disclaimer seems to say, ""People might in fact stand for having the election stolen""","North Dakota"
41,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
42,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","North Dakota"
43,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
44,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
45,"So I have to carry around proof that I took the vaccine to go to a concert but I don’t need an ID to vote in an election?","North Dakota"
46,"The people’s President is Donald J Trump. The media has done everything they can to lie, suppress, censor and now rig this truth and election from the world.

What is happening in Washington D.C today is unlike anything I’ve ever seen. 

#StopTheSteaI #MillionMAGAMarch2020 https://t.co/VuzJ3E1PI8","North Dakota"
47,"@Nancy13404758 @SajidAnjumOakv1 @JoeBiden @DrBiden @patrickbrownont #ArnabGoswamiArrested 
Ahead of the announcement of the #USElectionResults 2020, the workers and supporters of Hindu Sena carried out 'Havan' for #Trump 's victory.
A 30-minute special prayer was performed with rituals by #HinduSena at a temple in #Delhi 
https://t.co/2rqagVTDhu","North Dakota"
48,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
49,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","North Dakota"
50,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","North Dakota"
51,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
52,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Dakota"
