"tweet","text","location"
1,"""No proof"" ""baseless"" etc etc","New Hampshire"
2,"Amazing what actual investigative journalism can do as opposed to blindly repeating claims invented on the internet.","New Hampshire"
3,"Not one vehicle, building, or historic monument was damaged in Washington, D.C. today while hundreds of thousands of Trump supporters on the ground protested the election results.. 

That’s how it’s done America!","New Hampshire"
4,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","New Hampshire"
5,"Wow great read! Explaining the E.O. issued from President Trump in 2018. States that ANYONE involved in election interference will be held accountable.

Dominion a Canadian company &amp; the Scytl voting machine company in Spain acted as a ""foreign interference in an election"". READ!","New Hampshire"
6,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
7,"Who is responsible for the widespread election fraud we are experiencing?","New Hampshire"
8,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
9,"Oh, CNN also assured its 666 viewers that Dominion Voting System was not part of the fraud.

Proof beyond any doubt that Dominion is dirty &amp; was part of the effort to steal our election.","New Hampshire"
10,"Those who censor us just don’t get it

Massive Crowds of People March in DC to Show Support for Trump, Demand Election Integrity

https://t.co/CGsvlZrhYL","New Hampshire"
11,"In one day, nine cases meant to attack President-elect Joe Biden's win in key states were denied or dropped, adding up to a brutal series of losses for the President, who's already lost and refuses to let go. @kpolantz https://t.co/KZ2iJ1Gxwx","New Hampshire"
12,"Dear @Twitter, stop interfering in the election.","New Hampshire"
13,"@seanhannity https://t.co/ouKBRpqwBk
Sean please watch this! Our President must not concede! He needs to fight for us!🇺🇸","New Hampshire"
14,"@LaraLeaTrump https://t.co/ouKBRpqwBk","New Hampshire"
15,"@DonaldJTrumpJr https://t.co/ouKBRpqwBk
PLEASE WATCH THIS! TELL YOUR DAD DO NOT CONCEDE! 🇺🇸","New Hampshire"
16,"@newtgingrich https://t.co/ouKBRpqwBk","New Hampshire"
17,"We’re going to need your support. Since the election, Parler has added millions of new users eager to speak freely about issues &amp; concerns with the process. 
The tech tyrants cannot tolerate free speech. They hate it. 
They will do their best to stop us. But we will NOT go away. https://t.co/h6QSOd5BHx","New Hampshire"
18,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
19,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
20,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
21,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","New Hampshire"
22,"Amazing https://t.co/U2PE2JWnEy","New Hampshire"
23,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","New Hampshire"
24,"@tedlieu @kayleighmcenany @realDonaldTrump Oh wait Kayleigh. That’s 1/78 of the people that voted for @JoeBiden.  That’s 1/5 of the number who voters for joe Biden over Donald. No wonder the election results confuse you.","New Hampshire"
25,"How long before we hear Rudy found all the missing Trump votes on Hunter Biden’s second laptop which he discovered in a dumpster behind Four Seasons Landscaping? You know it’s coming . . .","New Hampshire"
26,"If MAGA Lunatics like Kayleigh McEnazi think the thousand proud boys terrorist MAGA March is 1M people, I can see why the election results confuse them.","New Hampshire"
27,"@RealCandaceO Except that YOUR Republican Election Officials have agreed there was no fraud. But good try. Why not blame the judges Candace? You know the ones who are ALL throwing the cases OUT. Nothing to do with big tech or media. What we have are #SoreLosers Nothing else.","New Hampshire"
28,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
29,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE – Indicates Obvious Election Fraud - https://t.co/NZ7E6lMEKM","New Hampshire"
30,"@BrianKempGA are you listening??","New Hampshire"
31,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","New Hampshire"
32,"Georgia Legislature must step in and order a real canvass. Secretary of State’s continuing failure to protect citizens of Georgia’s right to honest election requires legislature intervening as U S Constitution provides","New Hampshire"
33,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
34,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
35,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
36,"@realDonaldTrump Once the expansive fraud perpetrated by the Dems in this election is exposed the result will be #Trump being sworn back in as President on Jan. 20th, 2021.","New Hampshire"
37,"Amazing","New Hampshire"
38,"MEMORIES✨

Four people were HUNG for TREASON in 1863 for trying to steal the election from Lincoln. 

#ElectionFraudIsACRIME","New Hampshire"
39,"Thread","New Hampshire"
40,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","New Hampshire"
41,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
42,"Agree with @AOC here.  Before some blame progressives for election disappointments, let's remember: 1) most of these scary tropes are just GOP inventions; 2) progressives values/priorities are popular; and 3) progressives bring a lot to the table &amp; should be respected/appreciated","New Hampshire"
43,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
44,"Another sign we won this presidential election: Republicans have picked up 12 House seats. Not a single GOP incumbent lost. Trump was quite obviously more popular than these candidates. Now we just have to prove our case! #Election2020results","New Hampshire"
45,"An Atomic Bomb was Just Dropped on This Election https://t.co/E2in2kVtov","New Hampshire"
46,"@realDonaldTrump If no audit is performed with signature verification in Georgia, Arizona, Pennsylvania, Nevada, Wisconsin or Michigan than we go to a
12th amendment contested election! 
We will win. We can stop the January 6th 2020 electoral college count in the joint session with one objection.","New Hampshire"
47,"This is the real damage Trump has done-creating a completely false narrative that the outcome of our elections can’t be trusted (in the absence of any evidence of fraud) But, he couldn’t be successful without the complicity of GOP officials who must share accountability &amp; blame.","New Hampshire"
48,"@realDonaldTrump Hi Trump supporters, Donald doesn’t actually believe this, but he’s using it as an excuse to pepper you with solicitation emails for his “Election Defense Fund.” Read the fine print— your money gets split between paying down his campaign debt and the RNC. He’s shaking you down.","New Hampshire"
49,"Can you say rac. Ist?","New Hampshire"
50,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New Hampshire"
51,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Hampshire"
52,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
53,"We win.  The West wins.  Liberty wins.  Tradition wins.  And I'm not just talking about an election.  We win.  We won.","New Hampshire"
54,"Should recount carefully to avoid Biden steeling tickets","New Hampshire"
55,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
56,"Nancy is so silly","New Hampshire"
57,"How about an election integrity audit?!","New Hampshire"
58,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Hampshire"
59,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
60,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
61,"Major kudos to @MeidasTouch and others for their effective attack on the law firms supporting Donald Trump’s war on democracy.  It was our efforts that caused @JonesDay and others to stand down in this election.  This is how we pressure companies to do the right thing.","New Hampshire"
62,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","New Hampshire"
63,"Ok it is hilarious that Fox News kissed Trump’s ass for years and now the MAGAs hate them because they committed the unforgivable crime of... announcing the election results","New Hampshire"
64,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Hampshire"
65,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Hampshire"
66,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","New Hampshire"
