"tweet","text","location"
1,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","New Jersey"
2,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New Jersey"
3,"🤔 He’s not wrong:","New Jersey"
4,"Dallas’s “Stop the Steal” man and Min, S Korean fighter against election frauds. We stand with President Trump! #TRUMP2020ToSaveAmerica https://t.co/tKmT5i9KkD","New Jersey"
5,"#TRUMP2020ToSaveAmerica 
""Never Bet Against Me"": President Trump on Election Battle https://t.co/6IEWtUhc4T via @gatewaypundit","New Jersey"
6,"If you thought they were going to stop calling you Nazis after the election, the party of unity has spoken:","New Jersey"
7,"This is just devastating for @TuckerCarlson and Fox, which smeared a widow and her late husband on national television and continues to show it has no journalistic standards for what airs to millions in primetime https://t.co/w5eVosESlr","New Jersey"
8,"@GovMurphy U suck as the Governor of New Jersey,sorry New Jersey he is a communist Governor","New Jersey"
9,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","New Jersey"
10,"Amazing","New Jersey"
11,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","New Jersey"
12,"BLM and Antifa are “un American” but the current President, who lost the election..refusing to concede is not🧐 https://t.co/TWo0ZIVgNM","New Jersey"
13,"Justin Trudeau blames provinces for Canada’s inaction on municipal handgun bans but didn't say Y his gov't has not yet given municipalities any of the $250 million to fight gun violence he promised during the 2019 election. https://t.co/0vvN2WX8ra #cdnpoli #topoli #onpoli #abpoli","New Jersey"
14,"HOT OFF THE PRESS from Pam Bondi:
“...This is going to the Supreme Court where they will rule that the election is invalid due to fraud or mistakes on a country wide scale. https://t.co/GPNNxfJ3AI","New Jersey"
15,"So there are at least three or four foreign countries involved in this election, and that doesn't even include China and Venezuela, who both had other roles in running influence operations to rig the election outcome in favor of Biden.","New Jersey"
16,"How far would Dominic Cummings have gone without Nigel Farage? Without Farage, there’d be no Brexit and no Landslide election win.","New Jersey"
17,"NOW:He left again. My question: “You lost the election. When will you admit you lost the election.” He took no questions ⁦@realDonaldTrump⁩ https://t.co/LbK3a3to10","New Jersey"
18,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New Jersey"
19,"It seems to me he has more support now than ever. I’m hearing from a lot of people that regret not being more vocal before the election.","New Jersey"
20,"What’s going on right now is a huge moment in American history.

I haven’t thrown in the towel on this election yet. I’ve been hearing LOTS of things here in DC.

But I do know that no matter what: WE remain.

And WE will win.","New Jersey"
21,"If even half of what @SidneyPowell1 is saying pans out, which it almost always does because she is incredible, then we have a serious case of election fraud in this country!","New Jersey"
22,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","New Jersey"
23,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","New Jersey"
24,"I have done more to teach people about the New Jersey Emergency Health Powers Act than any other Republican on twitter, and that is sad.

Also, Gov Flurphy is not allowed to issue EO's because the Act does not cover pandemics.  Thanks @NJGOP","New Jersey"
25,"“Prosecutors filed charges against a 71-year-old Republican who cast two ballots on Election Day...Donning sunglasses to hide his identity, Ralph Thurman returned to his polling place after voting once and tried to pass himself off as his son.” https://t.co/CSh1eTXyW2","New Jersey"
26,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","New Jersey"
27,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","New Jersey"
28,"Rudy Giuliani failed at disqualifying Joe Biden with Russian intel.

He failed at making Hunter Biden an election issue.

He failed at booking the Four Seasons. A simple task for an intern.

And he will fail to overturn the results of the election.","New Jersey"
29,"Wow. This is exactly what happened to us. Great courage by judge!","New Jersey"
30,"Trump and the GOP’s legal team showing up in court to challenge the election results with no evidence https://t.co/wNh0EbNN9G","New Jersey"
31,"I couldn't have said it better myself. He knows exactly what he is doing.","New Jersey"
32,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Jersey"
33,"""Scytl ha tutti gli strumenti necessari per la frode elettorale."" https://t.co/HDzgFr8ly5 https://t.co/UQ4o2YDr7U","New Jersey"
34,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","New Jersey"
35,"Is this true?? 🧐🤔👇 https://t.co/F1HNlmVJPD","New Jersey"
36,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","New Jersey"
37,"If an honest, independently observed signature-match check won't change the outcome of the election, then why are all the officials, the media and the Democrats demanding no such independently observed signature-match check occur for the mass of mail-in ballots in key states?","New Jersey"
38,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","New Jersey"
39,"Just overwhelmed with all these Democrat messages of “unity” and “healing” lately","New Jersey"
40,"Amazing","New Jersey"
41,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Jersey"
42,"I'm so delighted.  Just like Wisconsin he realizes he is about to lose Georgia for a second time. 

womp womp.","New Jersey"
43,"Congrats, Majority Leader @Nicole4Nevada. 

You overcame a lot of unfair attacks and outright lies to win this race. It’s time for us to turn our attention to some very important matters, and I look forward to working with you on some of those, including #CJR!","New Jersey"
44,"Worth Remembering: Podesta emails: Voting machine company Smartmatic's message to Soros before the 2016 election concerning the pre-programming (rigging) of voting machines.  Share with Pres Trump's legal tea.  Smartmatic is linked with Dominion. ""The dogs are loose"" https://t.co/0iM9LMotgl","New Jersey"
45,"Who is almost as dangerous to the republic as the fascists masquerading as ""anti"" fascists? Quislings pretending to be Republicans demanding the president concede with ""grace"" in the name of ""unity"" when it is obvious that 2/3 of the country don't trust the election results.","New Jersey"
46,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","New Jersey"
47,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","New Jersey"
48,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","New Jersey"
49,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","New Jersey"
50,"Commentary: 

There aren't 2 equal sides to the integrity of this election.

One side is fact &amp; one is fantasy.

Every major Dem &amp; GOP election official says there aren't any examples of major voter fraud.

Pres. Trump insists there are. He just can't name any. 

#TruthMatters https://t.co/36HMFwM4DD","New Jersey"
51,"An unverified ballot is an unverified vote. Unverified votes make for unverified election results. Unverified election results undermine faith in democracy itself #Election2020results","New Jersey"
52,"🚨 PA logged a consistent 29% spread in favor of Biden, out the gate. Not possible. Rigged.

PA Election Analysis: HUGE Anomalies &amp; Indisputable Data - https://t.co/Juwq1ypJu8 @SidneyPowell1 @RudyGiuliani @LLinWood @RonColeman @CLewandowski_ @PamBondi @realDonaldTrump","New Jersey"
53,"#pigtrump #rapisttrump #pedophiletrump","New Jersey"
54,"SSHHHHHhhhh....  Diamond and Silk are on Newsmax!","New Jersey"
55,"This is a FAILED ELECTION.

U.S. Supreme Court! State legislatures! Electoral College!","New Jersey"
56,"From the pictures and video I see of Antifa and Black Lives Matter right now, it appears they don't think Joe Biden won the election.","New Jersey"
57,"Because then the media are the only ones in their house but them - brainwash reboot","New Jersey"
58,"Agreed, @newtgingrich. The GA legislature does need to step in and order a real recanvas including checking signatures. 
We must be sure only legal votes were cast and every legal vote was counted.","New Jersey"
59,"ワシントンで何万もの国民が支持を表明してくれている
彼らがこの不正なる買収選挙を支持することはない https://t.co/YmDqYr5j5h","New Jersey"
60,"@realDonaldTrump The only people who “stole” the election are the people who legally voted you out.  Stop trying to kill our democracy you pathetic sore loser!","New Jersey"
61,"Just going to say it. Any violence that befalls Trump supporters during a march in one of the most democrat cities, if not the most democrat city, while their president simultaneously denies the results of the election (authoritarian)... is not uncalled for.

It’s American.","New Jersey"
62,"They’re clearly just discussing election size and, in Melania’s case, electile dysfunction. https://t.co/WayCZWwnYS","New Jersey"
63,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Jersey"
64,"The hand count process in Georgia MUST include a review of signatures on absentee ballots and envelopes to verify whether the signature verification process was properly executed.

This is absolutely CRITICAL.

Without this, Georgia CANNOT properly certify the election results. https://t.co/XicEe53V1N","New Jersey"
65,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Jersey"
66,"Signature-match checking is both customary &amp; required by state law in most states. Why would either political party object to it?","New Jersey"
