"tweet","text","location"
1,"@realDonaldTrump @ClintLHickman @Steve_Chucri @jacksellers @billgatesaz @dougducey  Do the right thing and call for an audit in @maricopacounty. Or was your plan to steal another election? Incompetent or complicit?","New York"
2,"For every illegal ballot that is counted, the integrity of every legal vote is compromised.” -@GOPChairwoman
https://t.co/uesth8MRr2","New York"
3,"@TamaraJ54122333 @600ninja2 @dark2LIGHTQ @MissesJ3 @boostmyfuel @HB04920973 @DebbieA43922131 @OrtaineDevian @CylantJustice @Brandi_Trumper @freezebrand44 @RaeAnon @damien_shark @SmartiPants83 @brupirl @heidi_weigand @Burnbomb1 @PhilZantos @bitchfa07408142 @Love_4_All_of_U @sjorolan @slavewar @dmills3710 @TerranceKozak @Bluepopcorn8 @Cordicon @MagaGlam @TWITMO_INMATE @TexasDeplorabl4 @nxumalo_terence @TerryMeggins @1776AmericaUSA @MAGA_Len @JustLis71565329 @HH_kathy @PhoenixxRizen @filnj @DudaPhillis @DontDregMeBro @PWeepingAngel @go4itbas @Patrici85940941 @TheyDontKnowWe1 @minister_ernie @lenlucas46 @terryca53306307 @NamvetSurvivor OVERNIGHT PAUPERS⚡
What people are missing in all this is that Trump’s 2018 executive order gives the DOJ the power to seize all assets of individuals and companies that were complicit in aiding or covering up this foreign interference in U.S. elections.
 https://t.co/PQrMTnHlMB","New York"
4,"@JoeBiden what say you? You’ll never be legitimate if we don’t get to the bottom of who stole this election! #CoupAttempt https://t.co/oTFBKl80Pu","New York"
5,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New York"
6,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New York"
7,"This is something folks might not have noticed unless you're deep in the Trump trenches, but FNC's Arizona call on election night sent them completely around the bend. 

They say that FNC has ""joined the left"" so it must be destroyed. https://t.co/7LFVvvO8gx","New York"
8,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","New York"
9,"Now wants to call off the recall he demanded because the Republican Secretary of State and Governor he endorsed are stealing the election from him because they have been recruited by the radical left.","New York"
10,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New York"
11,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","New York"
12,"From the pictures and video I see of Antifa and Black Lives Matter right now, it appears they don't think Joe Biden won the election.","New York"
13,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","New York"
14,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","New York"
15,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New York"
16,"@realDonaldTrump Here’s what will happen between Election Day and Inauguration Day

By MAGGIE ASTOR
THE NEW YORK TIMES","New York"
17,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New York"
18,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","New York"
19,"I hope when the election is finished, Trump puts the military in riot patrol. That will have it wrapped up lickedy split.","New York"
20,"....We cannot waste time and can only give to those states that will use the Vaccine immediately. Therefore the New York delay. Many lives to be saved, but we are ready when they are. Stop playing politics!","New York"
21,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New York"
22,"We’re going to need your support. Since the election, Parler has added millions of new users eager to speak freely about issues &amp; concerns with the process. 
The tech tyrants cannot tolerate free speech. They hate it. 
They will do their best to stop us. But we will NOT go away. https://t.co/h6QSOd5BHx","New York"
23,"Watching Hamilton on Disney+ after the election hit different.","New York"
24,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/gWRo70m5Dx","New York"
25,"@realDonaldTrump Eight years later and those SAME voting machines are trying to steal this election while MSM wants you to believe that President Trump wasn't paying ""close attention"".

The President KNOWS.

It's coming!","New York"
26,"@brianpmangan @NateSilver538 He’s talking about hot takes on the the post-election count data, not the accuracy of 538s forecast, dude. Settle down.","New York"
27,"The only saving grace is that “reforms” like this take time and a few election cycles. However, the damage that could be done if this govt were to win the next general election would be extensive. /END","New York"
28,"@newyorkupstate Texas has 254 counties. And though commercial gas lighting started in Fredonia, NY, THE GREAT STATE OF TEXAS HAS MADE THE U.S.A. ENERGY INDEPENDANT -- WHILE NEW YORK IN 2020 IS AN ENERGY DEPENDANT STATE.","New York"
29,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","New York"
30,"The Trump campaign’s election results lawsuits are falling apart - Vox https://t.co/ARU7bmt6yB","New York"
31,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","New York"
