"tweet","text","location"
1,"共和党と民主党の戦いが始まりました。いえ、マスコミとの全面戦争と言った方がいいかも知れません。","Rhode Island"
2,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","Rhode Island"
3,"i'm sorry the idea that Biden should preemptively compromise over his cabinet with the same Senate Rs who are right now asserting that the Dems fraudulently stole the election is INSANE. https://t.co/qtXY0s61ye","Rhode Island"
4,"@EpochTimes @CarterCenter Yes, The @CarterCenter =&gt; Just the right people to observe because they know a lot about Dominion ~ And boy, do they...They have been observing and approving every election in Venezuela since the programs/machines were invented. Where is my confidence pill...","Rhode Island"
5,"@jfkjrfan A friend of mine likened @realDonaldTrump &amp; @TeamTrump post-election strategy 2 that of an old, erectile dysfunctional male pornstar c*ck-blocking a virile young bull on set. @realDonaldTrump, no amount of #Viagra is gonna save you,#LimpBizkit, &amp; ya gonna have to eat the Cookie🍪","Rhode Island"
6,"@MrGhost87561358 @realDonaldTrump @DonaldJTrumpJr @IvankaTrump @EricTrump A friend of mine likened @realDonaldTrump &amp; @TeamTrump post-election strategy 2 that of an old, erectile dysfunctional male pornstar c*ck-blocking a virile young bull on set. @realDonaldTrump, no amount of #Viagra is gonna save you,#LimpBizkit, &amp; ya gonna have to eat the Cookie🍪","Rhode Island"
7,"@OldCodger15 A friend of mine likened @realDonaldTrump &amp; @TeamTrump post-election strategy 2 that of an old, erectile dysfunctional male pornstar c*ck-blocking a virile young bull on set. @realDonaldTrump, no amount of #Viagra is gonna save you,#LimpBizkit, &amp; ya gonna have to eat the Cookie🍪","Rhode Island"
8,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","Rhode Island"
9,"In 2019, Democrats warned that election companies like Dominion were ‘prone to security problems’ | Just The News https://t.co/YKoLzi204g","Rhode Island"
10,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","Rhode Island"
11,"🇺🇸🇺🇸🇺🇸","Rhode Island"
12,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","Rhode Island"
13,"https://t.co/9QootwJydy","Rhode Island"
14,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Rhode Island"
15,"@P8R1OT @GaSecofState https://t.co/qHe8j728Rf","Rhode Island"
16,"Top Democrats Raised Concerns About Dominion Voting Technology in 2019 // But not now, of course.  https://t.co/QiMRRJTMpX","Rhode Island"
17,"OMG ... Hundreds?

😂😂😂😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😭😭","Rhode Island"
18,"Dear @Twitter, stop interfering in the election.","Rhode Island"
19,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Rhode Island"
20,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Rhode Island"
21,"“...if we accept that the election was not ""stolen.""

In other words, you &amp; your cronies tell us who won &amp; we must “accept” whatever you say.

What are you afraid of? If you’re so confident that your buddy #Biden won, you should welcome an audit. Prove us wrong.","Rhode Island"
22,"Defeating Trump in the election was only the first step in a much, much larger battle that is going to play out over the next few years. The fascists are organized, emboldened, and this myth of a stolen election only makes them stronger. We can’t take our eye off the ball.","Rhode Island"
23,"BLM and Antifa are “un American” but the current President, who lost the election..refusing to concede is not🧐 https://t.co/TWo0ZIVgNM","Rhode Island"
24,"Georgia! Please listen to my dear friend @StaceyAbrams and request your mail ballot today at https://t.co/mRhJavlYjz.

This runoff election will determine control of the Senate. Every Georgian's voice needs to be heard. https://t.co/pY5uPmjgrL","Rhode Island"
25,"GEORGIA: Voting by mail is a great option to make your voice heard in the January 5 Senate runoff election. You can request your ballot TODAY. Go to https://t.co/2ON3Ox3lpc. Happy voting! 🍑🗳 https://t.co/p6dCWaY5zI","Rhode Island"
26,"Liberals March for women’s rights and gun control. Trump supporters march to delegitimize an election.

Let that sink in.","Rhode Island"
27,"Being that “Dominion” has headquarters in Toronto, Investigations are currently in play in US for election fraud. Once concluded there this should indefinitely initiate USMCA chapter 27 investigation to also start in Canada as well correct?","Rhode Island"
28,"@itstroberts I’m currently on a 3 day ban from FB bcs someone commented on an article that Trump won the election and I called him ignorant. But where’s the lie? 🤷🏻‍♂️ #FactsAreFacts","Rhode Island"
29,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","Rhode Island"
30,"Wow this testimony said you can rigged election and you will not know unless you have the source code must listen! Forget storm this will be hurricane cat 6 coming👇 #StopTheStael @realDonaldTrump @ErrolWebber Re-count CA now!","Rhode Island"
31,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","Rhode Island"
32,"President Trump just drove right by us outside - thumbs up all the way. It was INCREDIBLE. Already thousands of people gathering for the event! STAND UP FOR ELECTION INTEGRITY!","Rhode Island"
33,"The voice of reason.","Rhode Island"
34,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Rhode Island"
35,"Joe Biden claims he won fair and square, so why doesn't he want an honest, thorough recount &amp; audit of the election?","Rhode Island"
36,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","Rhode Island"
37,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Rhode Island"
38,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Rhode Island"
39,"RIGGED!","Rhode Island"
40,"**WATCH NOW** @TomFitton w/ @newsmax: ""Counting New Ballots Arriving AFTER Election Day Undermines Integrity of the Election Process!"" https://t.co/8Vhe7JDhll","Rhode Island"
41,"Our investigation of voter rolls nationwide turned up 2.5M extra names. Our analysis of data from the U.S Election Assistance Commission found 378 counties that had a combined 2.5 million more voter registrations than citizens old enough to vote. Read: https://t.co/r1MSteTDMm","Rhode Island"
42,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Rhode Island"
43,"@realDonaldTrump China launched the virus so they could meddle in the election.","Rhode Island"
44,"Barack Obama was the MOST CORRUPT president in US history. 
I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","Rhode Island"
45,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Rhode Island"
46,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Rhode Island"
47,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Rhode Island"
48,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Rhode Island"
49,"We need the Kracken @SidneyPowell1 🙏","Rhode Island"
50,"RIGGED!","Rhode Island"
51,"The story isn't that Biden counties produced more than 2X the GDP of Trump counties or that our system gives an unfair edge to red states over blue. It's that our system is both undemocratic &amp; pulling us away from progress toward division &amp; destruction.  https://t.co/pJqQl3cWkk","Rhode Island"
52,"Uh oh...
Investigative reporter Paul Sperry has announced that at least three Senate committees are formally investigating Obama-Biden-Ukrainian collusion to damage Donald Trump’s chances to win the 2016 presidential election.

https://t.co/F1Y1iVXNJ0","Rhode Island"
53,"Georgia Legislature must step in and order a real canvass. Secretary of State’s continuing failure to protect citizens of Georgia’s right to honest election requires legislature intervening as U S Constitution provides","Rhode Island"
54,"We need the Kracken @SidneyPowell1 🙏","Rhode Island"
55,"Since Twitter will not suspend his account (yet) they need to change that little message to ""This claim about election fraud is a lie"" in red letters. The word 'disputed' isn't cutting it at all.","Rhode Island"
56,"Joe Biden won the election with the most votes in American history! Pass it on.","Rhode Island"
57,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Rhode Island"
58,"Did Canada help rig the Election? If the reports about vote rigging through software turn out to be true, it’s now looking like Canada may have helped rig the US election to remove Trump from office! https://t.co/tlOzoIzHmh","Rhode Island"
59,"And for state and local elections going way back, would have ties to Johns Hopkins and Dr Molly McCauley who was killed for exposing voter/election fraud?
As you can imagine being based in Baltimore Maryland this corrupt system has manipulated Maryland elections for years and","Rhode Island"
60,"Right up to the present. Just one of the ways they cost Kimberly Klacik her rightful seat. This was how Elijah Cummings never lost an election. Same thing with Nancy, Maxine, Schumer, etc.","Rhode Island"
61,"It must be a very comfortable feeling to know that the ""fix is in"", 
Sitting back on Election night knowing that it's going to be a tight race but you will come out ahead because you're on the inside and you contracted with the right people.","Rhode Island"
62,"If you're a deep State Dem you don't even have to pay them. The payment comes after they ""subtly nuance"" your election, then they are awarded government contracts and grants 👍","Rhode Island"
63,"Obama actually changed the law in 2012 to enable Scytl to merge with another company and move into other areas of voting and election control.","Rhode Island"
64,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Rhode Island"
65,"🚨 PA logged a consistent 29% spread in favor of Biden, out the gate. Not possible. Rigged.

PA Election Analysis: HUGE Anomalies &amp; Indisputable Data - https://t.co/Juwq1ypJu8 @SidneyPowell1 @RudyGiuliani @LLinWood @RonColeman @CLewandowski_ @PamBondi @realDonaldTrump","Rhode Island"
66,"If MAGA Lunatics like Kayleigh McEnazi think the thousand proud boys terrorist MAGA March is 1M people, I can see why the election results confuse them.","Rhode Island"
67,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Rhode Island"
68,"We win.  The West wins.  Liberty wins.  Tradition wins.  And I'm not just talking about an election.  We win.  We won.","Rhode Island"
69,"You'll notice that Mr Campbell is affiliated with Johns Hopkins. Just like myself, and just like Dr Molly McCauley. 🙏🙏🙏
What are the odds out of the entire planet a company involved in the deepest and highest levels of voter fraud for this presidential election,","Rhode Island"
70,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Rhode Island"
71,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Rhode Island"
72,"@realDonaldTrump Sorry to be the bearer of bad news, but the only way you can become the president is by winning the election. 
Trying to seize power because you don’t like democratic elections is just a coup. Consult Virginia’s commonwealth seal if you’d like more information about that option.","Rhode Island"
73,"LEGAL VOTES ONLY, ILLEGAL VOTES DISCARD","Rhode Island"
74,"@McFaul The three questions that anyone alleging election fraud must answer:

1. What is your evidence?
2. What is the source for your evidence?
3. What is the reasoning you used to come to your conclusion?

Anyone making a claim who can't answer these three questions is full of shit","Rhode Island"
75,"@JaniceDean @NYGovCuomo Cuomo needs to be impeached immediately. He has destroyed NY. Let’s get him out way before re-election!  He’s the devil.","Rhode Island"
76,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","Rhode Island"
77,"Claiming a unique national destiny. Disputing legitimate election results. Claiming there are far larger numbers on the streets in your support than were actually there? Sturgeon and Trump. Nothing in common at all.","Rhode Island"
78,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Rhode Island"
79,"@GOP For the file labeled ""Can't Make This Stuff Up"":

""President turns to right-wing network Newsmax for support after FOX WARNED VIEWERS TRUMP'S ELECTION VICTORY CLAIMS WERE FALSE.""

https://t.co/Svjdxd8vzr","Rhode Island"
80,"This is one of the many reasons I was proud to cast my vote for @realDonaldTrump on Election Day.","Rhode Island"
81,"This is DISGUSTING. Where are all the media figures and Democrats who suggested it was conservatives who would get violent post-election?","Rhode Island"
82,"Self governing so called “social-media” giants twitter attach whenever #MAGA #KAG patriots and @realDonaldTrump tweet about #VoterFraud even with evidence: “This claim about election fraud is disputed”.

Yet #JoeBiden can illegally claim undisputed he won #Election2020

How so!? https://t.co/SbIZm1HEXY","Rhode Island"
83,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Rhode Island"
84,"#ProtectWhistleblowers
#StopTheSteal","Rhode Island"
85,"Hundreds? You were counting Trump supporters the same way you counted Trump votes. Assholes.","Rhode Island"
86,"Y’all hear something?","Rhode Island"
87,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Rhode Island"
88,"While the #LameStreamMedia and the tech gods are busy fact -checking &amp; shutting down news on election fraud, and polluting the air with #fakenews, we have seized servers for Dominion in Germany. I repeat, we have seized servers for Dominion in Germany.","Rhode Island"
89,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","Rhode Island"
90,"【主媒=猪媒】2020年11月14日，人山人海川普支持者汇集在华盛顿特区自由广场支持川普，自诩中立公正的主流媒体一家都没出现场报道。这些猪媒的确就是人民的敌人，中共走狗。","Rhode Island"
91,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Rhode Island"
92,"This sham of an election cannot stand.","Rhode Island"
93,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","Rhode Island"
94,"@JeffFlake You are irresponsible. Leaving 73,000,000 Americans wondering about the legitimacy of a Presidential election is unhealthy for our Constitutional Republic. Let's look into this. There is ample reason. All Americans should welcome investigation.","Rhode Island"
95,"The CIA... just raided and siezed a server that has data on it involving and software used in election. CIA Director Haspel is enemy of state like Brennan, Clapper, and Dir. Wray of FBI who hid the Hunter hard drive. Lord EXPOSE and OVERTHROW now. https://t.co/QTnuIyCC7O","Rhode Island"
