"tweet","text","location"
1,"They’re emboldened. And why wouldn’t they be? They spent months rioting in the streets with no consequence. They just stole an election. They’ve stumbled upon the newest way to control Americans through covid fiats. And now they are just beating us up in the streets. https://t.co/gYvS30NxVI","Tennessee"
2,"Quick Election Security Disinfo Debunker: election-related servers WERE NOT recently seized in Europe by the US Army contrary to #disinfo rapidly spreading across social media. Don’t buy it &amp; think 2x before you share. #Protect2020 https://t.co/qfwP6CypXX https://t.co/ikjU1Sls0t","Tennessee"
3,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Tennessee"
4,"Re count no, Audit all ballots in all districts of every State.","Tennessee"
5,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Tennessee"
6,"Re count no, Audit all ballots in all districts of every State.","Tennessee"
7,"Maybe if y'all focused on what *the majority of the country* wants instead of iteration #8,798,743 of How Can We Appease Bigots Who Want to Imprison or Kill Us All, you might be able to sustain high voter turnout every election, not just when the nation's on the brink of doom.","Tennessee"
8,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Tennessee"
9,"talkRADIO - US Election Coverage

Just wait for my next trick...

@talkRADIO @Iromg @darrylmorris https://t.co/m7XptXJ851","Tennessee"
10,"'Trump loyalists'","Tennessee"
11,"Just overwhelmed with all these Democrat messages of “unity” and “healing” lately","Tennessee"
12,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Tennessee"
13,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Tennessee"
14,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Tennessee"
15,"In Key states if massive fraud is proved from Dominion Voting Machines are you willing to vote again in person not using that rigged machine? I say give 3 days and REDO THIS DAMN ELECTION WHERE THEM MACHINES WERE USED! Jazzlaro is ready willing and able with his mask! https://t.co/zRTegTixSW","Tennessee"
16,"#GEORGIA turned Blue for Joe.  Now make the victory complete!
#OssoffForSenate
#WarnockForSenate
Key Dates—
• NOV 18: Absentee ballots go out—REQUEST ONE NOW!
• DEC 7: Deadline to register
• DEC 14: Early In-Person voting begins
• JAN 5: Election Day
https://t.co/2B9NBkUvI4 https://t.co/WPgV1mIyxV","Tennessee"
17,"You are FAKENEWS.....THOUSANDS not HUNDREDS...some estimates over 500,000....

BTW, do some REAL reporting...start with DOMINION voting machines....plenty of evidence of a RIGGED ELECTION..","Tennessee"
18,"“I do think that Trump will win the Pennsylvania lawsuit.”

President Trump will win a lawsuit in #Pennsylvania regarding #Ballots received after #ElectionDay, said constitutional law expert @AlanDersh. https://t.co/2TdSoonHN8","Tennessee"
19,"Dear @Twitter, stop interfering in the election.","Tennessee"
20,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Tennessee"
21,"...death, and this guy BLAMES Democrats for not voting more better?
Dude.
No.
https://t.co/0cMX9XJU8s","Tennessee"
22,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","Tennessee"
23,"@mmpadellan Exactly! The people that are claiming that the election was stolen, are the people trying to actually steal the election. Craziness!","Tennessee"
24,"Obvious and blatant Twitter bias against POTUS and his supporters runs amok https://t.co/IitUTR2gER","Tennessee"
25,"From the pictures and video I see of Antifa and Black Lives Matter right now, it appears they don't think Joe Biden won the election.","Tennessee"
26,"Our investigation of voter rolls nationwide turned up 2.5M extra names. Our analysis of data from the U.S Election Assistance Commission found 378 counties that had a combined 2.5 million more voter registrations than citizens old enough to vote. Read: https://t.co/r1MSteTDMm","Tennessee"
27,"there are dozens of these videos - each one sicker than the next.  and it makes you wonder: how would they have reacted if they had lost the election, if this is how they act when they won?","Tennessee"
28,"24. News: STUNNING TESTIMONY: Michigan Election Observer Shane Trejo Witnessed Drivers Bring in 50 Boxes of “Absentee Ballots” After Midnight Deadline into Detroit TCF Center at 3:30am  https://t.co/4g9nYqoCDu","Tennessee"
29,"21. News: BREAKING: Circuit Judge In Crooked Wayne County, Michigan Ignores Horror Stories From Bullied GOP Poll Challengers

…Refuses To Stop Certification of Election Results 

https://t.co/UJLUYX5F2X","Tennessee"
30,"@solomom1171 Not so fast. No votes have been validated yet. The Dems used Dominion Computers to steal the election the evidence is insurmountable Joe will never be the president of the United States of America","Tennessee"
31,"「約束しよう。全ての合法の票が数えられ、全ての違法な票が破棄されるまで闘い続けると」副大統領がこのように発言している間は選挙は終わらない。法的にも終わっていない。結果の予想は自由だが選挙自体は終わっていないという公然たる事実に敬意を払うべきだ。Save the world from totalitarianism.","Tennessee"
32,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Tennessee"
33,"In 2012, Obama set an all-time record low for the number of counties won in a presidential election with 689.
Biden won only 477 counties, but supposedly had 9 million more votes.
Republicans didn't lose a House seat this year and picked up 12.
Blue mirage?","Tennessee"
34,"@BreitbartNews She believed that before the election too. I don’t really care what she or John would have wanted. They’re wrong.","Tennessee"
35,"These videos of Trump supporters being beaten up are really sad! I hope to God he wins the election over Crooked Hillary and puts a stop to this. He is the LAW &amp; ORDER candidate!","Tennessee"
36,"These videos of Trump supporters being beaten up are really sad! I hope to God he wins the election over Crooked Hillary and puts a stop to this. He is the LAW &amp; ORDER candidate!","Tennessee"
37,"@TyCardon These videos of Trump supporters being beaten up are really sad! I hope to God he wins the election over Crooked Hillary and puts a stop to this. He is the LAW &amp; ORDER candidate!","Tennessee"
38,"@realDonaldTrump Looks almost as big as the celebrations that you lost the election 🤣🤣","Tennessee"
39,"Former President Obama says President Trump's baseless election fraud claims put democracy on a ""dangerous path""  https://t.co/es1qZFKCwv","Tennessee"
40,"@SierraStanton10 @PurpleArmyUk @voice4pastors @JoeBiden distraction because of their election fraud. So covid is ramping up. Bullshit!!!!!!!!! https://t.co/0svwo7g6Gi","Tennessee"
41,"I agree with Nancy.

Wait, did I just write that? 😆😆
@tedlieu","Tennessee"
42,"@DiamondandSilk This guy has knowledge that will help you in finding information about the election heist.","Tennessee"
43,"This claim about election fraud is true. https://t.co/MHHN9N6TIB","Tennessee"
44,"Massive Crowds March in DC to Show Support for Trump, Demand Election Integrity.Tens of Thousands show Support for Trump and Disparage Fox News with the slogan Fox News Sucks.....smaller groups marched in ALL 50 states.... Holding the line!

https://t.co/HTzX0kgZe3","Tennessee"
45,"DEAD MAN VOTING: Deceased caught voting in NYC, election records show https://t.co/5xBrNGgqnK","Tennessee"
46,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Tennessee"
47,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Tennessee"
48,"@realDonaldTrump @FoxNews The gathering of DC today is the signal to all Democrats that civil war is coming if they remove Trump with rigged election! The long ignored Patriots will not just sit down and look at US handed down to socialist government.","Tennessee"
49,"Well no other attorney will bother with trump and his baseless claims","Tennessee"
50,"@Smoothnihilist @therecount Funny, I don’t really mind joe it’s just more about policy and some election interference..anyway u sound angry , it’ll all pass soon for u .. good argument tho☝️","Tennessee"
51,"Every lie will be revealed.

I suspect @GaSecofState &amp; @BrianKempGA will not be sleeping well for many nights. 

We The People will not be defrauded &amp; let corrupt politicians steal our money &amp; our votes.

We will #FightBack","Tennessee"
52,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Tennessee"
53,"We need the Kracken @SidneyPowell1 🙏","Tennessee"
54,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Tennessee"
55,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Tennessee"
56,"Where are your overhead shots, Shawn?","Tennessee"
57,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Tennessee"
58,"I think that we should pray for Attorney Lin Wood. He is a firecracker trial lawyer who works for the Trump Team. He is convinced that many liberals are jail bound. He knows how to dig up election dirt on many people. Let's pray for his protection. https://t.co/VI0lmyJ84O","Tennessee"
59,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Tennessee"
60,"In Game Days defense I’ve been taking shots at Tennessee and we aren’t playing. Actually we haven’t played in about 5-6 weeks!","Tennessee"
61,"They are starting to worry. Good sign https://t.co/UCuO6uXwmc","Tennessee"
62,"""While we don’t yet know whether the extent of the fraud will be enough to make a difference in this election, *all* Americans should agree that *any* voter fraud is unacceptable."" #MAGA2020 

 https://t.co/YIczMfkSXt","Tennessee"
63,"PA Court Says Election Chief Had No Authority to Change Ballot Deadline https://t.co/3Ba944Y2fU","Tennessee"
64,"@KelemenCari INVESTIGATE DOMINION. And not just for the 2020 election!

https://t.co/BLbp35kEET","Tennessee"
65,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","Tennessee"
66,"“In a time of deceit, telling the truth is a revolutionary act.” - Orwell

@SidneyPowell1, we thank you  ✝️🇺🇸","Tennessee"
67,"Trump Has a ‘Narcissistic Injury’ From Losing the Election —  Mental Health Experts Warn What is Coming Next https://t.co/f8BCdsdlm7 via @NicoleJames","Tennessee"
68,"In today's least surprising news--Roger Stone and Steve Bannon are involved with Trump's massive disinformation campaign around the election. https://t.co/qlfJDYYqIh","Tennessee"
69,"Następny świadek tego samego zdarzenia.
Mowa o 50 pudłach wypchanych kartkami wyborczymi.
https://t.co/GqRkjwYZPR","Tennessee"
70,"@AdamMilstein Very misleading. As noted in the article, it doesn’t effect the election because according to the judge only the state legislature had the authority to amend the rules, which they did, formally, two days after Newsom’s order.","Tennessee"
71,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Tennessee"
72,"@greggutfeld Hey Greg! They did lose the election! @FoxNews is in on it!","Tennessee"
73,"If an honest, independently observed signature-match check won't change the outcome of the election, then why are all the officials, the media and the Democrats demanding no such independently observed signature-match check occur for the mass of mail-in ballots in key states?","Tennessee"
74,"What's really upsetting about this election isn't Trump's behavior but White allies who want to talk about how Dems failed. It's code for Black people and other POC failed when came out and set records for voting, that we listened to Black women, and put a Blasian woman on top..","Tennessee"
75,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Tennessee"
76,"@greggutfeld They DID lose the election.
They haven't realized it yet. #BuckleUp. https://t.co/OcujAxFpRG","Tennessee"
77,"there are dozens of these videos - each one sicker than the next.  and it makes you wonder: how would they have reacted if they had lost the election, if this is how they act when they won?","Tennessee"
78,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Tennessee"
79,"They think we forgot about this. We didn’t &amp; we won’t.","Tennessee"
80,"Poor @GeorgePapa19 will be heartbroken","Tennessee"
81,"Would it greatly concern you if all of the votes in the 2020 Presidential election were routed to Amazon servers in Barcelona &amp; Frankfurt before being reported or is it just me?

#FightBack for No Hacked Elections","Tennessee"
82,"@realDonaldTrump Nigel Farage - ""You lose an election... you accept it... that's how democracy works."" 
@realDonaldTrump

#MillionMoronMarch","Tennessee"
83,"@DanScavino @realDonaldTrump Nigel Farage - ""You lose an election... you accept it... that's how democracy works."" 
@realDonaldTrump

#MillionMoronMarch","Tennessee"
84,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Tennessee"
85,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Tennessee"
86,"@senatemajldr How dare you refuse to acknowledge that Joe Biden won the election by 5 million votes. Is this a coup? What is wrong with you? The country is a mess. COVID is raging. We need you to act like a grown-up and responsible leader.","Tennessee"
87,"@senatemajldr Seems to be some wonky numbers out of your state’s election. Sure would be a shame if Trump’s ground thumping led people to investigate that.","Tennessee"
88,"@senatemajldr If you truly respect our #Veterans &amp; #Military, you would also respect the election process and recognize #PresidentElectJoeBiden &amp; #VicePresidentElectHarris 

#TrumpConcede 
#CountryOverParty 
#GOPBetrayedAmerica","Tennessee"
89,"@senatemajldr Damn shame, many of them lost their lives due to the coronavirus. This was after serving overseas. This virus is  now at the worst it has ever been McConnell, yet, you pass judges, question our election, everything other than addressing this virus. A virus that’s now effecting","Tennessee"
90,"@senatemajldr Yes, I am sure you have done ""zero"" for them.

How did you cheat your election?

There is no way that you won that race. Look at how many registered Democrats vs Republicans in Kentucky. So tell me how did you Win by so much? https://t.co/xUpSef8TAy","Tennessee"
91,"@senatemajldr Nice sentiment but they serve to defend the very constitution and Democracy you are attempting to dismantle every day. Want to honor them? Speak out against this absurd and unfounded attack on the election results, help restore confidence in our system and heal the nation.","Tennessee"
92,"*THIS* explains observed vote-switches in the election reportage. Two servers, one unofficial, and one *official* one, then*UPDATES* (recall MI) that lead to vote mismatches &amp; even *flips* from Biden to Trump

That's the phenomenon being observed. No apologies to ""fact checkers.""","Tennessee"
93,"@realDonaldTrump It was a Banana Republic election. Disgraceful and un American","Tennessee"
94,"Don't worry, USA Today already wrote a story about the DC events today. Despite what you may have seen with your own very eyes, Antifa was peaceful and there was only a few ""fights"" between the groups. Also Trump guys no wear masks and won't accept the election. Orange group bad! https://t.co/JWp0zYBvJz","Tennessee"
95,"there are dozens of these videos - each one sicker than the next.  and it makes you wonder: how would they have reacted if they had lost the election, if this is how they act when they won?","Tennessee"
96,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Tennessee"
97,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Tennessee"
98,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","Tennessee"
99,"Hey, Leftist Media - here’s your damn evidence. Try doing your job for a change. https://t.co/fZnrvx9Lbq","Tennessee"
100,"It was the most secure election ever! Super safe. Zero fraud and zero possibility of fraud..🙄
#AuditTheVotes 
https://t.co/U68MaqYNMM","Tennessee"
101,"Look at this tweet from Trump.","Tennessee"
102,"There were FAR more Trump flags than American flags at the Trump's Overturn the election rally. Clearly these people are more loyal to Trump than the USA. Time for Deportations? #MarchForTrump #MillionMAGAMarch https://t.co/jPxtwOq8WU","Tennessee"
103,"The media is LYING to you about this election.

Joe Biden                                  Donald J Trump https://t.co/Svn8E4upzh","Tennessee"
104,"THE PRESIDENT HAS SPOKEN 🇺🇸","Tennessee"
105,"AFTER THE MILLION MAGA MARCH IN D.C. ...

WE ARE GOING HOME TO PROTEST AT ALL OF OUR STATE CAPITALS UNTIL THE OUR OFFICIALS CONDUCT AN OPEN &amp; HONEST AUDIT OF THIS CORRUPT ELECTION! 🇺🇸🇺🇸🇺🇸

RT AND TELL A FRIEND — THIS IS NOT OVER!!! https://t.co/c2ID2wJxCv","Tennessee"
106,"Donald Trump is being given time to ""get used to the idea that he lost the election."" Meanwhile more than 100,000 Americans a day are being infected with the coronavirus. People are dying on a breathtaking scale and hospitals around the country are running out of beds. WTAF.","Tennessee"
107,"If the Republican Party refuses to back the @realDonaldTrump and #wethepeople! The @GOP @senatemajldr and GOP leadership will have no party! Our leaders are @GenFlynn @SidneyPowell1 and other great patriots who will fight for what’s right! #BillofRights #Freedom","Tennessee"
108,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Tennessee"
109,"ELECTION UPDATE: @RealDonaldTrump legal battle in Pennsylvania -- under the Constitution, state legislature AND Congress can REJECT a corrupted election result!  Big show with @JesseBWatters on @WattersWorld at 8 pm! @JudicialWatch https://t.co/708aaaMjC3","Tennessee"
110,"It’s not disinformation. It’s LIES.","Tennessee"
111,"Bears noting: @RudyGiuliani is both

(1) leading President Trump's hopeless, doomed, ridiculous effort to ""contest"" the election, and 

(2) the subject of an ongoing criminal investigation by the SDNY.","Tennessee"
112,"With the Presidential election behind us, and the runoff races coming soon, we need to pay more attention to climate change and how we can start taking climate action right away.

#ClimateActionNow💚

https://t.co/xU67WMSH46","Tennessee"
113,"Where are your overhead shots, Shawn? https://t.co/XzSe2ENfm6","Tennessee"
114,"@realDonaldTrump From same PBS NewsHour episode: Fulton County Georgia Election Director: “we wanna just fly under the radar... and ya know, stay away from the news, ha ha” 

I bet they did want to fly under the radar! https://t.co/udINWMvQAd","Tennessee"
115,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Tennessee"
116,"@Janan_AFC Are you from Tennessee? Because you’re the only ten I see","Tennessee"
117,"This is a federal criminal offense and should be prosecuted immediately. 
@realDonaldTrump 
@TomFitton 
@marklevinshow 
@RudyGiuliani","Tennessee"
118,"Mayor @RudyGiuliani just said that he’s called Fox News to discuss the election lawsuits with the public and THEY REJECT HIS REQUESTS to appear. PLEASE make sure you STOP watching @FoxNews! 
#WarRoomPandemic @RealAmVoice","Tennessee"
119,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Tennessee"
120,"No one believes that a guy who couldn’t fill a a room won this election! #Trump2020 https://t.co/fBRc2fND6V","Tennessee"
121,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Tennessee"
122,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","Tennessee"
123,"Trump has access to the highest levels of top secret intelligence

If he says there was election fraud, there was election fraud","Tennessee"
124,"Yeah. That’s not fishy at all...","Tennessee"
125,"@BobobellaAmen @realDonaldTrump Beautiful person inside and out - Thank you for the kind words towards our wonderful President Trump - this election was rigged by Biden (Beijing Biden) as he is corrupt.

Thank you - and your writing is so beautiful and for bringing peace!","Tennessee"
