"tweet","text","location"
1,"The 'Leader of the Free World's' Lawyer Who was Branded NYC's Hero of 9/11.  His Defense of 'The President's claim that He WON The Election Is: WAX ON, WAX OFF. Not Even the Crane Stance can Help Him Now... just Sweep The Leg, Johnny! #RudyColludy #SurrenderDonald #DonTheCon","Utah"
2,"Jordan on Fox: The Electoral College doesn't meet until 4 wke from tomorrow. So let this play out. Remember, the Democrats spent 4 yrs on the Russian hoax..we can spend 4 wks on getting to the bottom of this election where so many Americans have concerns about what took place","Utah"
3,"So many reporters in DC and not one found this before the election?

I mean, @KFILE looks at every Republican’s high school yearbook but can’t look at Biden’s charities?!","Utah"
4,"Fox News is simply stating facts:

   • The election is over.
   • Trump lost.

If you want to stop watching, fine.  But don’t mock others for wanting a “safe space” ever again.

Too many people want media to affirm their views, not inform them.","Utah"
5,"@cmyawn59 @FiveThirtyEight There should be NO drop boxes. That's the fraud right there. Block which voters? Illegal aliens?? ABOLISH early voting.  Election Day only and with ID.","Utah"
6,"The President’s been flagged by Twitter at least FIVE TIMES in less then TWO HOURS for dangerously misleading the public. Prior to that at least FIFTY TIMES since Election Day.

RT if you think @realDonaldTrump Twitter account should be suspended ASAP.

#DeactivateTrump","Utah"
7,"Warnock MUST WIN the GA runoff election against #LooterLoeffler

Never elected &amp; it appears she was appointed due to her wealth

She committed insider trading BUT as a big donor, Barr dropped the charges

Vote for Warnock! He’ll work for GA!

#wtpBlue #wtpBiden #Fresh #DemVoice1 https://t.co/qKghifsqAW","Utah"
8,"Let's say this whole election was rigged and proven. What then? I know Trump would still be President but who would be held responsible? What would happen to them, whoever they are?","Utah"
9,"When President Trump’s attorney Lin Wood says people trying to steal this election will go to jail, Biden will be an inmate ...
I BELIEVE HIM !","Utah"
10,"Attorney Powell on election legal challenges that remain active in several states https://t.co/lbU110LW4m  @SundayFutures @FoxNews @SidneyPowell1","Utah"
11,"Americans fall; Trump putts","Utah"
12,"Who is this clown","Utah"
13,"BOMBSHELL: The 2020 election took place under a Trump-declared ""National Emergency"" that set an Election Day trap for the ""unauthorized accessing of election and campaign infrastructure"" https://t.co/JvKGkXlZHA","Utah"
