"tweet","text","location"
1,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Vermont"
2,"⚠️THIS CLAIM ABOUT ELECTION FRAUD IS TRUE⚠️","Vermont"
3,"When President Trump won the election they lost control over the satellites, for the most part. That's why they had to go with such a heavy internet/software theft and manipulation.
https://t.co/JjRp8YjiZK","Vermont"
4,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Vermont"
5,"Could someone verify this email. We don’t need these type of foolish mistakes.
@GenFlynn @stranahan @SidneyPowell1 @LouDobbs @LLinWood @wikileaks @Avery1776 @CodeMonkeyZ","Vermont"
6,"How do you 'safeguard' US elections post-POTUS?
How do you 'remove' foreign interference and corruption and install US-owned voter ID law(s) and other safeguards? 
It had to be this way.
Sometimes you must walk through the darkness before you see the light.","Vermont"
7,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Vermont"
8,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Vermont"
9,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Vermont"
10,"Oh look...the guy who knows better is making pretend like Dominion is the lone problem, the lone voting machine company that's private, and is ""the radical left"". I fucking told you he wasn't serious about challenging this election.","Vermont"
11,"@realDonaldTrump OMG! Isn't this the same machine used in Venezuela for the sole purpose of rigging their elections?!? Now look at Venezuela, it's a socialist country ‼️
This rigged election can not stand. 
We deserve the right to know! 
Sleepy Joe didn't get over 77 million votes. Impossible!","Vermont"
12,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Vermont"
13,"#WAKEUPAMERICANS!!","Vermont"
14,"ALL ACROSS THE COUNTRY PRESIDENT TRUMP !!JOE YOUR FINISHED ,CANT BELIEVE DEMOCRATS TRIED THIS !!","Vermont"
15,"#STANUPAMERICANS !!","Vermont"
16,"Actually Mr. President, it's not Voter fraud.......

It's Election Fraud!

The Later carries serious Prison time!","Vermont"
17,"#WAKEUPAMERICANS!!","Vermont"
18,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","Vermont"
19,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Vermont"
20,"@mehdirhasan Every damn election year, Democrats are always “let’s find compromise with Republicans” while Republicans are just “fuck the other side”. 

Democrats will never learn.","Vermont"
21,"I want to give a special thanks to all the voters in Georgia who came out in the recent election to vote for Democrats. You flipped the state, and we know it will fall to you again soon to flip the senate. We APPRECIATE you. You are VITAL.","Vermont"
22,"Chair of the Federal Election Commission Trey Trainor:

""Voter Fraud Is Taking Place""

Voter fraud is a reality!

I have no choice but to assume that everyone disputing voter fraud, is complicit in it.

https://t.co/LKNqjVVLCl","Vermont"
23,"The smart money is on Trump!

Gambling sites refuse to call election for Biden, leaving $600M in limbo https://t.co/9rvIdIjAVa","Vermont"
24,"👍 https://t.co/LT8ojtCTWK","Vermont"
25,"This headline from the @Washingtonpost says it all: “Thousands of maskless Trump supporters rally in D.C., falsely claiming president won election.”","Vermont"
26,"I want to give a special thanks to all the voters in Georgia who came out in the recent election to vote for Democrats. You flipped the state, and we know it will fall to you again soon to flip the senate. We APPRECIATE you. You are VITAL.","Vermont"
27,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Vermont"
28,"we know who's behind the election fraud.
He has undermined President Trump before he took the oath of office.
He never left office.
The Kenyan","Vermont"
29,"Many of you are weary of the lies, corruption &amp; uncertainty.

20/20 has been brutal so far. Covid, civil unrest &amp; a fraudulent Presidential election not yet finalized.

20/20 will end &amp; we will emerge a stronger &amp; better nation.

A nation which sees more clearly.

Stay strong. https://t.co/DOSWGWmyCx","Vermont"
30,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Vermont"
31,"Dear @Twitter, stop interfering in the election.","Vermont"
32,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Vermont"
33,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","Vermont"
34,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","Vermont"
35,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Vermont"
36,"I’m sure they stole the DNCs favorite pick too. That was most definitely Bernie. Makes sense. https://t.co/VZwQBSNxud","Vermont"
37,"People keep asking me WHY if I’m not a Trump supporter am I upset with the election results.
Cause we shouldn’t be picking teams when it comes to the integrity of our elections. Bernie was cheated twice. And since the Dems admitted it in 2016 things have gotten worse. Not better.","Vermont"
38,"If they think this is a million MAGAtards, it's no wonder they keep being wrong about election numbers. #MillionMoronMarch","Vermont"
39,"And for state and local elections going way back, would have ties to Johns Hopkins and Dr Molly McCauley who was killed for exposing voter/election fraud?
As you can imagine being based in Baltimore Maryland this corrupt system has manipulated Maryland elections for years and","Vermont"
40,"Right up to the present. Just one of the ways they cost Kimberly Klacik her rightful seat. This was how Elijah Cummings never lost an election. Same thing with Nancy, Maxine, Schumer, etc.","Vermont"
41,"When President Trump won the election they lost control over the satellites, for the most part. That's why they had to go with such a heavy internet/software theft and manipulation.
https://t.co/JjRp8YjiZK","Vermont"
42,"It must be a very comfortable feeling to know that the ""fix is in"", 
Sitting back on Election night knowing that it's going to be a tight race but you will come out ahead because you're on the inside and you contracted with the right people.","Vermont"
43,"Obama actually changed the law in 2012 to enable Scytl to merge with another company and move into other areas of voting and election control.","Vermont"
44,"If you're a deep State Dem you don't even have to pay them. The payment comes after they ""subtly nuance"" your election, then they are awarded government contracts and grants 👍","Vermont"
45,"Pro-Trump ""Million MAGA March"" protesters chant ""Fox News sucks"" after network calls election for Biden https://t.co/SngE3atnOF","Vermont"
46,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","Vermont"
47,"Breaking: US Army has Seized Dominion Servers Containing US Presidential Election Data in Frankfurt, Germany https://t.co/sjxl32BLIS","Vermont"
48,"YET AGAIN, when they are trying to shut things down, that is because there is something to find. @AZGOP. @dougducey, you need to make sure OUR ELECTION is VERIFIED and FRAUD FREE!!! Do not think we will allow this to not be challenged. #Trump #MAGA @realDonaldTrump","Vermont"
49,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","Vermont"
50,"The old criminal Roger Stone is behind this- a surprise? Nope…","Vermont"
51,"...I fail to understand why we should not look at these challenges and the underlying evidence to see if such human errors might have occurred. States employed many new systems and software that should be reviewed as much for future elections as for this election.","Vermont"
52,"Yes！","Vermont"
53,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Vermont"
54,"@greggutfeld They didn't win the election, Greg.","Vermont"
55,"@greggutfeld @jenny4congress Integrety? Really your network is helping incite this nonsense. Just a few months ago you passionately talked about the violence and now your making a false statement about the election outcome which will cause further violence! Unbelievable!","Vermont"
56,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Vermont"
57,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","Vermont"
58,"Way to go @tracybeanz knock em dead. Thank you for your hard work. https://t.co/qYMlJRjeW6","Vermont"
59,"More... https://t.co/GJ4Nvtv8UV","Vermont"
60,"Our election was hijacked. There is no question. Congress has a duty to #ProtectOurDemocracy &amp; #FollowTheFacts.","Vermont"
61,"So I should be able to fly without ID? Flying is not nearly as important. Solve time issues with running late. #NoIDtoFly?","Vermont"
62,"#AmericaDecides #NoFraud","Vermont"
63,"@realDonaldTrump Oh they just messed up.

https://t.co/KyzhtN5Sym https://t.co/mxwYOgFFV0","Vermont"
64,"It wasn't stolen, it was given away at the expense of +250,000 murdered Americans...","Vermont"
65,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Vermont"
66,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Vermont"
67,"Still waiting for ONE SINGLE PERSON to ask Lindsey Graham or ANY of the Republicans backing Trump’s election tampering allegations one question:

“If it’s all rigged...

Why should we believe YOU  won?”","Vermont"
68,"Dear @Twitter, stop interfering in the election.","Vermont"
69,"Word. Retweet. Keep your cool. Stay home.","Vermont"
70,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","Vermont"
71,"We are..collect(ing) evidence on the financial interests on some of the Governors and SoSs who actually bought in to the D o m i n i o n systems.. to line their own pockets by getting the voting machine in that would.. assure their election was successful. 
-@SidneyPowell1","Vermont"
72,"Our democracy at work. We will fight to the end for @realDonaldTrump and a fair and transparent election. #StopTheSteaI #FeelTheVern https://t.co/2bIlkIeUQT","Vermont"
73,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","Vermont"
74,"Way to go @tracybeanz knock em dead. Thank you for your hard work.","Vermont"
75,"""FR. PAVONE: ‘CONTRARY TO MEDIA MANIPULATION,
JOE BIDEN HAS NOT WON THE ELECTION...’""
Pavone: ""..crass ignorance of the media... 
is once again on full display as they try to fool
the American public by making them think that
the election has been decided""
https://t.co/EJjjLGlcSn","Vermont"
76,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/gWRo70m5Dx","Vermont"
77,"Is this true?? 🧐🤔👇","Vermont"
78,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Vermont"
79,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Vermont"
80,"Might be an unpopular opinion but, for 4 years the left has been attacking the right with abandon..
Physical attacks, burning, looting riots, billions in damage, now election theft..its past time to engage and decimate our enemies","Vermont"
81,"Omg ... right after the”election” someone, I forget who, predicted that people who were supporting Trump would delete their Trump tweets. I thought “no way!”...I hate to say it but it’s true. What kind of cowardice is this? I’m kinda shocked","Vermont"
82,"Exactly","Vermont"
83,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Vermont"
84,"@DamianRanger1 @zhenryaz @lovelifeMAGA Fraud will be has been found and will negate the illegal ballots and election. PRESIDENT TRUMP WILL STAY IN AS OUR PRESIDENT! 

AMERICA CAN NOT ALLOW CORRUPTION OF THIS EXTREME LEVEL AND WILL NOT! 

AMERICA WANTS FREEDOM AND NOT CHINA CONTROLLED!!!

@realDonaldTrump","Vermont"
85,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","Vermont"
86,"RIGGED! https://t.co/aoVd9HMh6v","Vermont"
87,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Vermont"
