"tweet","text","location"
1,"@DeanBrowningPA Sorry Dan and Dean...

https://t.co/YEMKNW9SII","Alabama"
2,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Alabama"
3,"🚨BREAKING: Michigan Judge REJECTS Republican lawsuit to prevent certification of Wayne County election results. 

Court rules:""Plaintiffs interpretation of events is incorrect and not credible.""

Trump and his allies are now 1-14 in court.🙃
https://t.co/PR0ZBwO61E","Alabama"
4,"Wow. Ben Hovland was appointed by Trump to run the Election Assistance Commission. He calls Trump's claims about the election laughable, baffling and insulting.","Alabama"
5,"""Their interpretation of events is incorrect and not credible."" is a better slogan for the Trump years than MAGA ever could be.","Alabama"
6,"@realDonaldTrump 2/3

Trump said the elections were uncertain
Trump said the elections would be rigged
Trump said the election would be stolen

None of this has happened or is true

Trump lies with every breath","Alabama"
7,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Alabama"
8,"This, their virus and media control is an act-of-war.
They, MIC, Dem elites may want it, but they're not getting it.
Our President isn't stupid.
However, there will be repercussions...
https://t.co/Yym262gnzZ","Alabama"
9,"WH Trade Adviser Peter Navarro today:

""We are moving forward here at the White House under the assumption that there will be a 2nd Trump term. We think he won that election, &amp; any speculation about what Joe Biden might do I think is moot at this point.""

 https://t.co/z5aGb3LSX9","Alabama"
10,"Never tell us what to do again, hypocrites. https://t.co/aNuDL6gfZk","Alabama"
11,"It seems election votes are tallied then stored as a DOUBLE in JSON.
""can include a factional [sic] component in special cases"" https://t.co/S0IXV9qSV3","Alabama"
12,"Having election voting data as an open standard makes it easy to develop programs that can input election data and output election data. 
With knowledge of these data types, you could theoretically make black box programs that could modify election data.","Alabama"
13,"In this tweet, the president argues that the election was the most secure election ever except for the fact that it was rigged. https://t.co/SfqavDUEFA","Alabama"
14,"It would be a first time in his 74 years for him to try such drastic change when so many ppl are watching. he should first practice in the bunker w/Lindsey &amp; pence flattering him like crazy, then try on captive WH staff, if they don't barf, maybe?🤣🤣🤣🤣🤣🤣","Alabama"
15,"@KevinMKruse @AuburnU @TTuberville For those who want to do more than dunk on the Sen.-elect, we're trying to build a party that creates change in Alabama like you saw in Georgia. https://t.co/e9cnBpQ5Eq","Alabama"
16,"@WhiteChinese_ @JohnBasham No it can not be since it's BS.  The DHS has said there is NO fraud or cheating in this election and it was the most secure in the history of the US.
https://t.co/ikJVwcHrWP","Alabama"
17,"@realDonaldTrump Lawsuit dropped in Maricopa County, Arizona. Most secure election in American history.  DONALD TRUMP IS A PERMANENT STAIN ON AMERICAN HISTORY!","Alabama"
18,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Alabama"
19,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Alabama"
20,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Alabama"
21,"Election corruption now includes sucessful threats against @realDonaldTrump lawyers--depriving him and his campaign of their constitutional and legal rights to counsel.","Alabama"
22,"Election officials in #Georgia’s 159 counties are undertaking a hand #Recount of the presidential race stemming from a “risk-limiting audit” that’s required by state law, when completed will be...

the LARGEST HAND RE-TALLY in the history of the US.

READ: https://t.co/aRRENPDuzv https://t.co/mXRekdG8Tg","Alabama"
23,"Wow. Ben Hovland was appointed by Trump to run the Election Assistance Commission. He calls Trump's claims about the election laughable, baffling and insulting.","Alabama"
24,"普林斯顿大学计算机科学教授、选举安全专家安德鲁-阿佩尔博士2016年在福克斯新闻上演示了多米尼克投票机如何被黑客攻击，将选票从一个候选人切换到另一个候选人。","Alabama"
25,".@KayleighMcEnany: In #Michigan there were many instances of fraud including multiple people over 120 years old who voted in this election https://t.co/c9MlRVK0ur","Alabama"
26,"Georgia stands between America and socialism.

https://t.co/CjjQxsQr3S","Alabama"
27,"I've said it before and I'll say it over and over again, I love OUR President! ♥️🇺🇸","Alabama"
28,"I believe @realDonaldTrump won the election.

Who...is...with....me...","Alabama"
29,"The election was decided by those coastal elites in Arizona and Pennsylvania.","Alabama"
30,"This is not the official position of DHS. It’s obvious just from reading the statement that it was generated by some obscure committee that includes a coalition of outside left-wing groups. This story is a mirage!","Alabama"
31,"Election corruption now includes sucessful threats against @realDonaldTrump lawyers--depriving him and his campaign of their constitutional and legal rights to counsel.","Alabama"
