"tweet","text","location"
1,"ArkansaW?","Connecticut"
2,"2/
US ARMY 
""Something gross is coming.  The Spanish software company Scytl, which sells election manipulation software worldwide that was used in the USA, is on the verge of fadenfreuz.  The server for the manipulation was in Germany.  A rogue who thinks evil.  Tonight the...","Connecticut"
3,"PETER NAVARRO: ""We are moving forward here at the White House under the assumption that there will be a second Trump term... We think he won that election, and any speculation about what Joe Biden might do, I think, is moot at this point."" - FOX BIZ NETWORK","Connecticut"
4,"It’s possible that the election may end up in the hands of the State Houses. If so, each state will cast one vote. 

Currently, here is the breakdown: 
🔴Republicans - 31 State Houses
🔵Democrats - 19 State Houses

#Election2020results","Connecticut"
5,"When mail-in voting favored Republicans, election experts, election officials, federal judges, Democratic Presidents, bi-partisan commissions, independent blue-ribbon committees &amp; even @nytimes agreed: it's ""the largest source of potential voter fraud."" https://t.co/96MpKFJrhA","Connecticut"
6,"question:
what happens if the Supreme Court declares the election invalid, 
due to extensive  F R A U D?

will another election take place, or what?","Connecticut"
7,"@AmericaNewsroom @SandraSmithFox @marcorubio You think you can win viewers back with that lame ass explanation of what happened the other day? You've been a rude ass clown for weeks leading up to the election. If indeed the video was edited in opposition of reality perhaps you can understand how the other side feels now.","Connecticut"
8,"JON VOIGHT We all know the truth TRUMP WON THE FUCKING ELECTION YOU FUCKS DEMON DEMICRATS CHINA WAS INVOLVED IN THE SCAM-RIGGING THAT WILL CALL FOR MORE SANTIONS BY THE ALLIES OF THE USA NATO, IF JAPAN GOT INTO IT CHINA BE DESTROYED TO BITS https://t.co/YOpLcgs5u0 via @YouTube","Connecticut"
9,"The election was decided by those coastal elites in Arizona and Pennsylvania.","Connecticut"
10,"Rigged Election! Thanks Ryan. https://t.co/1ObzekxH8e","Connecticut"
11,"Now 73,000,000 Votes! https://t.co/VSNfdzoFkK","Connecticut"
12,"My colleague @Perduesenate is a leader and distinct voice in Washington. He needs support in his expected runoff election in GA two short months from now. Help protect the Senate Majority and keep this seat in Republican hands by giving to his campaign. 

https://t.co/HHMFGicSUB","Connecticut"
13,"Election corruption now includes sucessful threats against @realDonaldTrump lawyers--depriving him and his campaign of their constitutional and legal rights to counsel.","Connecticut"
14,"Freedom Loving Americans in Georgia MUST increase pressure on Governor @BrianKempGA to call a special session of GA legislature to deal with fraudulent &amp; unlawful 11/3 election.

Why is Kemp just giving us lip service? Why is Kemp not fighting for the People &amp; @realDonaldTrump?","Connecticut"
15,"Yes! See you there our favorite POTUS!😎♥️🇺🇸","Connecticut"
16,"Fascinating how an inexplicable overnight pause in election results, followed by a drastic change in trend, was sufficient cause for international observers to declare the 2019 Bolivian election illegitimate — but when not it happens in Atlanta, Philadelphia, and 6 US states! https://t.co/F4RAQYKSYt","Connecticut"
17,"Thank you, Mr. President!","Connecticut"
18,"@realDonaldTrump “Trump's victimhood tweets are predictable; the election was ""rigged,"" the media is spreading ""fake news,"" all negative perceptions of him ""unfair,"" he is ""misunderstood and persecuted.""

Trump sees himself as the victim. He lives in an alternate universe of victimhood.” https://t.co/QHgkQM92wy","Connecticut"
19,"Strange...","Connecticut"
20,"ICYMI: Celebs bow down to Stacey Abrams as Georgia flips blue in Biden’s favor https://t.co/Kwy9NMXm7v","Connecticut"
21,"Detroit judge denies request to stop election certification in Wayne County https://t.co/BOuFJSDXyQ","Connecticut"
22,"Judge rejects bid for Wayne County audit, halt to election certification https://t.co/LBh7LzlHA0","Connecticut"
23,"I love following Anne Laurie's journey through her Senior Year! She was one of our students who spent the entire day translating on Election day despite not being old enough to vote! #CovidInTheClassroom https://t.co/ubYeapFxoA","Connecticut"
24,"Even with the fake numbers and the mass murdering traitor governors putting infected people into nursing homes with the most vulnerable people, the death rate is .0006% of the population! To cost millions of people their businesses, jobs, homes, life savings and HealthISRETARDED","Connecticut"
25,"""Are said"" Funny, covid was on the back burner when MSM announced a Biden win, then when ELECTION INTEGRITY &amp; valid questions abt ""glitches"" anomalies arise &amp; litigation begins to see WTH is going on, MSM AGAIN brings COVID to the forefront! We see you!","Connecticut"
26,"Trump/RNC and allies are currently 1-14 in post-election litigation.

They won a case in PA that shortened the cure deadline by 3 days for a handful of ballots. But that is it.
https://t.co/n2r3cnZ3ma","Connecticut"
27,"@GeorgePapa19 https://t.co/WW81kNzhmY","Connecticut"
28,"@GeorgePapa19 https://t.co/WW81kNzhmY","Connecticut"
29,"Hope so","Connecticut"
30,"2020 US PRESIDENTIAL ELECTION (270 electoral votes to win):

Joe Biden: 306
President Trump: 232

Total vote (97% in):

Biden: 77,965,666 (50.8%)
Trump: 72,648,762 (47.4%) https://t.co/eeJUlXemms","Connecticut"
31,"""BOOM! TRUMP TWEETS: REPORT: DOMINION DELETED 2.7 MILLION TRUMP VOTES NATIONWIDE. DATA ANALYSIS FINDS 221,000 PENNSYLVANIA VOTES SWITCHED FROM PRESIDENT TRUMP TO BIDEN""","Connecticut"
32,"The math will not be ignored.
 https://t.co/tyxz7ml5YF","Connecticut"
33,"BOOM!
             BOOM!
                          BOOM! 

FEC Chairman Makes Explosive Pronouncement: ‘This Election is Illegitimate’ https://t.co/crzwRAKA5Q","Connecticut"
34,"One party controlled the election, one party committed fraud. The same party tells us there's no evidence of fraud because they did their best to eradicate the evidence...

Why should any of the Demonrats be allowed in a position of authority⁉

https://t.co/HbCjvdjiWv","Connecticut"
35,"https://t.co/mEzZUP1Sgg

Dr. Robert Epstein has been on @TuckerCarlson talking about Google swinging an election one way, it appears they were issuing warnings to liberals but no conservatives for four days. Hmm!

Not surprised---&gt;@PAF1st","Connecticut"
36,"Will you let them steal the election? 

Do you have President @realDonaldTrump’s back? 

Then come to DC tomorrow: https://t.co/gzu5xL9oih","Connecticut"
37,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Connecticut"
38,"Minor details...

Side bet. I got $1000 that she voted for Biden. Any takers?","Connecticut"
39,"2020 election:

Arizona blue for the first time since 1996
Georgia blue for the first time since 1992 

The home states of John McCain and John Lewis—both of whom Trump attacked relentlessly.","Connecticut"
40,"im sorry for this pipay, but i think, yung mga taong namatayan at nawasak ang kabahayan ay hindi na makapagiintay ng 2022. while we recognize na importante ang election sa mga papatsi-patsing pagbabago, systemic and deliberate negligence warrants an ouster already.","Connecticut"
41,"They will boycott you. They will try to get you fired from your job. They will harass your family and threaten your safety. 

This is the angry, intolerant Left. They demand complete obedience. Or else. 

#Robespierre","Connecticut"
42,"My platform is small, so I’m asking my friends to magnify this tweet. 

The election fraud raised by @realDonaldTrump &amp; the GOP is a GRIFT. They’re in big time debt. They will raise $ on the pretense of a legal challenge to the election, but it’s all about repaying their debt.","Connecticut"
43,".@AP, which we use at @10TampaBay, called Arizona for @JoeBiden on Election Night. https://t.co/VK7avYQ6I2","Connecticut"
44,"Lawyers for the Trump campaign have dropped a lawsuit seeking a review of all ballots cast in Arizona on Election Day after realizing the result in the state couldn't be overcome

 https://t.co/MtnGloAd2d","Connecticut"
45,"Pennsylvania Secretary of State ""has determined that she will not be ordering a recount and recanvass of the election returns in the counties, as no statewide candidate was defeated by one-half of one percent or less of the votes cast.""","Connecticut"
46,"Thank you, Mr. President. Large coalition supporting you. Lots of others coming in too! 

FIND YOUR LOCAL RALLY: https://t.co/eWHk0WsPTV 🇺🇸","Connecticut"
47,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Connecticut"
48,"@MajorPatriot The 10 days of darkness started the night of the election Trump couldn't do anything for 10 days he can let Loose starting today happy Friday the 13th which is also a lucky day the cabal turned it into  evil","Connecticut"
