"tweet","text","location"
1,"@realDonaldTrump Stop whining and act like a grown-up. You LOST a simple and secure election. Own up and be a big boy, concede and congratulation the winner like a President should","Delaware"
2,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Delaware"
3,"World of difference teaching last Friday before the election was called and this one.","Delaware"
4,"Интересная история. Нормально считать голоса можно только, когда избиратели лично приходят на участок в день выборов.","Delaware"
5,"The Democrat deceit that went on is being supported by the failing media.
https://t.co/Je8NYfWFQ7","Delaware"
6,"Good question @LouDobbs, Why was Dominion Voting System used this election in 6 battleground States and 22 others?","Delaware"
7,"How do you know there was no fraud? If true then you won’t mind an investigation. 

Whenever they say; debunked, 
conspiracy theory 
threatens our democracy, 
threatens rule of law, 
Racists
Homophobic 
Xenophobic 
Misogynist 

They are guiltily of lying...","Delaware"
8,"234 pages of sworn affidavits alleging Election irregularities from just ONE county in Michigan. 

Here are the allegations:⬇️

h/t @realDonaldTrump https://t.co/vrz3svKrkM","Delaware"
9,"Donald Trump has majority approval. Six in 10 Americans feel better off today, +15% more voters pulled the lever for his re-election than in 2016. These R not the numbers of a loser candidate, yet we’re told Joe Biden managed to prevail. #TrumpWon  https://t.co/0sIA6das3f","Delaware"
10,"America is under attack. This is a coup. We all need to participate in fighting back.

Thankfully, @realDonaldTrump has an army of attorneys working to restore America’s faith in the election system by returning the proper result. @LLinWood  https://t.co/NoI6obl3ZK","Delaware"
11,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Delaware"
12,"The McStain legacy 👇🏻 https://t.co/P3bWEfRnAV","Delaware"
13,"WE HOPE TO SEE YOU THERE POTUS!!! https://t.co/8qIeCKG6IO","Delaware"
14,"@WRCSpeakish @JaneCaro Please explain how Trump is fundraising for a 2024 POTUS bid yet claims he's won this election, given there is a two term limit for the office of POTUS. THINK!! https://t.co/FAJsBDAASV","Delaware"
15,"What do you call it when a Supreme Court Justice who may decide on the legitimacy of an election remembers what the guy trying to steal the election did to him during his confirmation process ?

I call it KARMA !","Delaware"
16,"Yes I would live an extra year than my current life expectancy.","Delaware"
17,"Election software expert Steve Doocy dismisses concerns about Dominion voting machines. He looked into it. 

https://t.co/MifInhBazw","Delaware"
18,"One of the biggest stories to come out of this election is how unified Republicans now are. We refuse to yield and we simply don’t believe their b*llsh*t any more","Delaware"
19,"I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right?","Delaware"
20,"This guy has been betrayed by everyone except his voters. https://t.co/5WhVWyS8bW via @BreitbartNews","Delaware"
21,"MyMilitia, a website that has been referred to as “Tinder for militia folks,” is booming in the wake of the election results — and extremism experts are highly concerned. Commentary from @proflevin @chick_in_kiev 
https://t.co/0bhKcqQbw2","Delaware"
22,"Question. Was this fraud tried in 2016? But they miscalculated the algorithm? Is that why Hillary conceded fairly early for a not run away election? Last thing she wanted was the recount process like we have this time. Just wondering.","Delaware"
23,"The MSM have no statutory authority to ""call"" a race. Only STATE LEGISLATURES can declare and certify the winner of an election.","Delaware"
24,"This is NOT poor Sportsmanship.
This is #VoterFraud!
@realDonaldTrump Awakened a Sleeping Giant...
And #WeThePeople will NOT accept the Results...
Until we Have a FAIR &amp; UNBIASED Election!","Delaware"
25,"@realDonaldTrump We all knew the fix was in, Mr. President. Each and everyone of us said exactly that, prior to Election Day. We all certainly hope you and your team can put forward incontestable evidence to prove as such. Is the only sure-fire way to ensure the integrity of future US elections.","Delaware"
26,"Fellows Americans, stay strong! Stop w/ this ""the-sky-is-falling"" narrative. That is exactly what the usurpers want to hear -- weakness. American democratic institutions and the American people are stronger than one man &amp; a cabal who aspire to steal an election. Keep the faith.","Delaware"
27,"On October 27, PBS News Hour outlined the problems and concerns with Georgia’s election system. 

Full report here: https://t.co/bNmcQKSsCS https://t.co/25S4CV5YTK","Delaware"
28,"🚨FEC Chairman🚨

""I do believe there is voter fraud taking place in these places.

""Otherwise they would allow the observers to go in...state law allows those observers to be in there, and if they're not, the law is not being followed making this an illegitimate election."" https://t.co/AN94GXef34","Delaware"
29,"Explosive revelations emerge about Dominion, the system used to count votes in 28 states. 
Don’t miss the show.
Watch here👇🏻
https://t.co/ZjcEBYtnZx","Delaware"
30,"This is not how you conduct free and fair election. I don’t care what side you’re on, you know this is embarrassing and frankly disgusting. We need faith in our election process in order to trust the outcome. This is not restoring faith @GaSecofState @GovKemp.","Delaware"
31,"This was surprising.  PA Boards are going to be forced to argue their actions did not violate PA Election Laws -- I think  Trump campaign gets discovery rights.

https://t.co/NSTmXRKqoD","Delaware"
32,"DO NOT CONCEDE!","Delaware"
33,"2020 US PRESIDENTIAL ELECTION (270 electoral votes to win):

Joe Biden: 306
President Trump: 232

Total vote (97% in):

Biden: 77,965,666 (50.8%)
Trump: 72,648,762 (47.4%) https://t.co/eeJUlXemms","Delaware"
34,"#ItsTimeToConcede 
A moron once said..

If I am not re-elected, the stock mkt, your 401k will collapse

Mkts are up to 30k from 26k pre election.

REST ASSURED. We will survive, win big and win all over not just for your white donors or corps you gave tax breaks to.

GET OUT https://t.co/ezW97IySxr","Delaware"
35,"We’re watching in real-time the formation of a new type of “Lost Cause” mythology. Confederates did it after the Civil War to explain their defeat and romanticize their rebellion. Republicans today are making up their own myths after the election for the same purpose.","Delaware"
36,"OMG ITS LIT","Delaware"
37,"Michigan State Senators are requesting a FULL AUDIT of the State’s 2020 Election Results.

Why are the Democrats fighting so hard to stop this?
They must have something they are hiding!","Delaware"
38,"🚨FEC Chairman🚨

""I do believe there is voter fraud taking place in these places.

""Otherwise they would allow the observers to go in...state law allows those observers to be in there, and if they're not, the law is not being followed making this an illegitimate election."" https://t.co/AN94GXef34","Delaware"
39,"GEORGIA.🗳️

One week before the election.

PBS (Public Broadcasting Systems) does a deep dive on Georgia's use of Dominion Voting Systems machines.

What they found was troubling.🔽 https://t.co/RzwI3spw4Z","Delaware"
40,"P.P.S. So the final outcome looks like 306 to 232, versus 538's forecast median of 349 to 189 the night before the election. They'll say it was ""polling error"", which seems like passing the buck. Maybe, just maybe, their methods also pushed their forecast to the extreme.","Delaware"
41,"US Presidential Election, 2020.

Joe Biden

77,663,851 votes
306 electoral votes

Donald Trump

72,409,847 votes
232 electoral votes","Delaware"
42,"Even if successful — which none have been — @realDonaldTrump’s lawsuits cannot reverse the election results. 

In other words, he can’t win the election based on votes or courts. 

What, then, is @GSAEmily waiting for to ascertain Biden as the winner and begin the transition?","Delaware"
43,"“President Donald Trump lost more than an election last week. When he leaves the White House in January, he will also lose the constitutional protection from prosecution afforded to a sitting president.” About time!
https://t.co/wsWO4AQ6hk","Delaware"
44,"This is awful. Chicago should be ashamed of who they have chosen as their mayor.","Delaware"
45,"He’s Beijing @JoeBiden.","Delaware"
46,"Chris Cuomo breaking quarantine while infected, Pelosi breaking lockdown to go to the hair salon, and now this...","Delaware"
47,"Georgia! Please listen to my dear friend @StaceyAbrams and request your mail ballot today at https://t.co/mRhJavlYjz.

This runoff election will determine control of the Senate. Every Georgian's voice needs to be heard.","Delaware"
48,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Delaware"
49,"@chrislhayes And if WI, MI, PA weren't prohibited by law from counting mail-in/absentee as they arrived, and each was called election night? Perception would reflect reality--that this wasn't particularly close #election2020 by contemporary standards.  #inners","Delaware"
50,"🔴LIVE▶️ Newark vs Dickinson - Delaware High School Volleyball | 2020🏐
Watch Here 👉👉 ➡️ https://t.co/fi4aAXzuPw ✅
On Friday November 13 /2020 @ 3:45 PM","Delaware"
51,"🔴LIVE▶️ Wilmington Friends vs Wilmington Christian - Delaware High School Volleyball | 2020🏐
Watch Here 👉👉 ➡️ https://t.co/hv5uAZogux ✅
On Friday November 13 /2020 @ 4:00 PM","Delaware"
52,"The race started off close but Biden was like 2015 Golden St in the 3rd quarter","Delaware"
53,"It's the most ridiculous thing you've ever heard but I do sadistically enjoy Republicans accusing Brian Kemp and the Georgia Republicans steal an election for Democrats.","Delaware"
54,"I’ve always had a feeling that these lawsuits might be POTUS using a bait-and-switch tactic to distract from a powerful trump card lying in wait.

We’ll see. https://t.co/0sxsZLWkIc","Delaware"
55,"We’re watching in real-time the formation of a new type of “Lost Cause” mythology. Confederates did it after the Civil War to explain their defeat and romanticize their rebellion. Republicans today are making up their own myths after the election for the same purpose.","Delaware"
56,"If he's lying about losing an election, how can anyone believe anything he says? The Emperor has no clothes but everyone is afraid to tell him that","Delaware"
57,"Giuliani alleges there is enough UNLAWFUL ballots to turn election in Trump’s favor

#ELECTION2020

What happens next and what do you think are the biggest election irregularities that you want investigated?

https://t.co/nagw4VwlTF","Delaware"
58,"Election audit underway in Ga. amid tight race - https://t.co/Ak8cVCe25c #OANN https://t.co/iFrALpdtyy","Delaware"
59,"WE HOPE TO SEE YOU THERE POTUS!!!","Delaware"
60,"@greg_doucette https://t.co/BhOj7vXsNm In case you've missed it. Trump's own agencies are even saying there was no evidence of voter fraud.","Delaware"
61,"""An Electoral College landslide."" ""A pretty good shellacking."" ""(Democrats) actually got their ass kicked.""

Here's how Trump characterized the 2016 election in which he earned the same number of electoral votes Biden did in 2020: https://t.co/WVt751d63q","Delaware"
62,"This pleases my OCD 🤘","Delaware"
63,"PROOF! Someone tested the signature verification system in Clark County and it had a 89% failure rate for catching poor signature matches. We have raised concerns about the signature verification system for months. 100s of thousands of mail ballots here. 

https://t.co/zF0prCP8lk","Delaware"
64,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Delaware"
65,"@Yamiche He won't talk about the vaccine but he will whine about how the election was stolen from him.","Delaware"
66,"🚨FEC Chairman🚨

""I do believe there is voter fraud taking place in these places.

""Otherwise they would allow the observers to go in...state law allows those observers to be in there, and if they're not, the law is not being followed making this an illegitimate election."" https://t.co/AN94GXef34","Delaware"
67,"🚨🚨🚨","Delaware"
68,"It attempted to alter our election and got caught? https://t.co/J8mcH4SpxG","Delaware"
69,"Explosive revelations emerge about Dominion, the system used to count votes in 28 states. 
Don’t miss the show.
Watch here👇🏻
https://t.co/ZjcEBYtnZx","Delaware"
70,"So it still leads back to China and the CCP...

Election interference

QNAP / QSNATCH 

Meiji Chang founder of QNAP, server location Munich Germany

Headquarters Taiwan, they have some interesting partners

https://t.co/yRs5RqQbK2 https://t.co/guwiJ4ue7y","Delaware"
71,"Heartwarming to see all of the tremendous support out there, especially the organic Rallies that are springing up all over the Country, including a big one on Saturday in D.C. I may even try to stop by and say hello. This Election was Rigged, from Dominion all the way up &amp; down!","Delaware"
72,"this is nowhere near the same as Bush in 2000.","Delaware"
73,"Analysis: The Republican election officials pushing back on Trump’s baseless voter fraud claims https://t.co/4ljxgJxF32","Delaware"
74,"Let’s goooooo!!","Delaware"
75,"Oh thats Obvious now... Without COVID the ""Election Fraud"" does not exist... BC... ""Mail in ballot record does not exist"". So they killed countless to sell their fraud ballot story!","Delaware"
