"tweet","text","location"
1,"What the hell is going in here? 

I guess Stalin was right... it’s who counts the votes that matters.","Indiana"
2,"Ok","Indiana"
3,"Constitutionest President Donald J Trump thanks for your service, Keep fighting the good fight, America need you.","Indiana"
4,"HUGE victory for election integrity! 
https://t.co/VV0OX2AqkW","Indiana"
5,"This massive Dominion election fraud and the pallets of ballots mail-in fraud orchestrated by Dems must not be certified as legit!","Indiana"
6,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Indiana"
7,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Indiana"
8,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Indiana"
9,"It is very unfortunate how many people have been robbed of their right to vote😢
Will the court turn out to be fair❓
Will we have the end of democracy in a country that until now has been a model for the whole free democratic world...
God forbid justice to prevail🙏...","Indiana"
10,"Joe Scarborough Mocks Republicans Who Called Democrats ‘Crybabies’ After 2016 Election #SmartNews  https://t.co/kd7yZdEYEg","Indiana"
11,"We are heading towards to election and at the same time mourning nu, you dey come give troll contract. Toy citizen! 
Ne kwasia s3 odwan ba nanti3🥵💔","Indiana"
12,"Fact-check:
The story says that he wrote people’s names in cursive and then had those people copy it on their own ballots. It wasn’t his name or his signature. The actual voters did all of it. And there are no photos or anything so no evidence apart from one rando’s word.","Indiana"
13,"NEW: Georgia AG @ChrisCarr_Ga says that: “Any out-of-state individuals temporarily coming to Georgia for the sole purpose of voting in the January 5th run-off election with no intention of permanently staying in our state are subject to felony prosecution.”","Indiana"
14,"very alarming!","Indiana"
15,"Sidney Powell: I""'m going to release the Kraken.""","Indiana"
16,"This is a nationwide election theft conspiracy. After what we've seen the 4 years is anyone surprised??? No one knows how to attack Racketeer Influenced and Corrupt the better than @RudyGiuliani https://t.co/hz6hwYMtAA","Indiana"
17,"We are NOT letting them democrats steal this election from us!! Who’s with me? 👊🏼🇺🇸","Indiana"
18,"Michigan GOP Lawmakers Demand Fraud Audit Before Election Is Certified https://t.co/E8g7n4tz2k","Indiana"
19,"1) I've never seen anything like this. Impossible to keep up with this overwhelming outpouring of calls for post-election attacks &amp; civil war from militia groups, hardline Trump supporters, QAnon, Neo-Nazis &amp; others—not against some external enemy, but their fellow citizens. https://t.co/MOCGriikAr","Indiana"
20,"This must be investigated! We can not allow the thugs to rule our lives","Indiana"
21,".@realDonaldTrump needs to FIRE WRAY TODAY! Appoint @SidneyPowell1 NOW! Don’t let democrats destroy our country!","Indiana"
22,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Indiana"
23,"@HKrassenstein @realDonaldTrump How much money did this guy receive?  And he brings it up today, not on Election Day or any other day.","Indiana"
24,"For years the Dems have been preaching how unsafe and rigged our elections have been. Now they are saying what a wonderful job the Trump Administration did in making 2020 the most secure election ever. Actually this is true, except for what the Democrats did. Rigged Election!","Indiana"
25,"BREAKING EXCLUSIVE: Analysis of Election Night Data from All States Shows MILLIONS OF VOTES Either Switched from President Trump to Biden or Were Lost -- Using Dominion and Other Systems https://t.co/pBoCNeDL3X via @gatewaypundit","Indiana"
26,"question:
what happens if the Supreme Court declares the election invalid, 
due to extensive  F R A U D?

will another election take place, or what?","Indiana"
27,"NEW: Pennsylvania Sec. of State Boockvar ""has determined that she will not be ordering a recount and recanvass of the election returns in the counties, as no statewide candidate was defeated by one-half of one percent or less of the votes cast,"" her office says.","Indiana"
