"tweet","text","location"
1,"Biden's rallies couldn't fill a clown car!","Louisiana"
2,"Kick ass!","Louisiana"
3,"Today we defeated Trump/GOP in nine election lawsuits.

When we won 3, we called it a hat trick.
When we won 4, we called it a grand slam.

What should @DemocracyDocket call 9 wins in one day?","Louisiana"
4,"The PBS airing of Christiane Amanpour comparing the president's election challenges to KRISTALLNACHT were brought to you in part by Jewish donors. Do they watch the program? 

It sickens me that ""viewers like me"" are paying for these wicked smears. https://t.co/U2KedSN36p","Louisiana"
5,"why would democrats rig the election in a way that keeps mitch mcconnell as senate majority leader?","Louisiana"
6,"Lawyers in the Washington office of Jones Day voiced discontent as the firm held conference calls Friday to discuss its controversial role in an election-related lawsuit https://t.co/9WiS3mesmt via @business","Louisiana"
7,"RETWEET
WATCH
LISTEN
1776   2.0","Louisiana"
8,"S0Y BOYS!!!🙄

Under Pressure, President Trump Lawyers quit in Pennsylvania! https://t.co/vtpNNxAPww","Louisiana"
9,"@hoodietrades @Sephirothtx @DPWIMM @realDonaldTrump Only way Hillary won the popular vote was from all the dead people and double voters!
Fact 330,000 dead people voted for hillary!
But democrats want you to believe that voter fraud is not possible in 2020 election?????
I guess they think we have a 3rd grade education..
NOT !","Louisiana"
10,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Louisiana"
11,"Somebody needs to teach the media that hundreds of sworn affidavits in multiple states are most certainly “evidence” of widespread election fraud","Louisiana"
12,"The CDC now claims that 94% of all coronavirus deaths were supplementary, meaning, the person had co-morbidities. Less than 10,000 Americans have died from Covid-19 alone. 

#Coronavirus is and always has been a hoax. Democrats masked &amp; impoverished America to rig an election.","Louisiana"
13,"Maricopa County GOP chairman NEVER CERTIFIED DOMINION SOFTWARE to be used in Maricopa county.
He has since stepped down.
https://t.co/4C4sdKIgmK","Louisiana"
14,"Democrats have yet again won the popular vote in a presidential election https://t.co/0CuM3iwsRf","Louisiana"
15,"Rudy's a seasoned attorney. A Four Seasoned attorney. https://t.co/8UdCYkXKzf","Louisiana"
16,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Louisiana"
17,"@marklevinshow Fire Chad Wolf immediately!! Looks like  his cuber security officer screwed up or know and did nothing with the Dominion software election company. Deep state is everywhere!!!","Louisiana"
18,"How do you all feel about this? Sometimes I wonder if @realDonaldTrump’s election was so profound in exposing the corruption on both sides that another Conservative party might rise from the ashes or can it be salvaged?","Louisiana"
19,"Only one of these people haven't been set free. The other 3 tried to destroy our country. #RealityWinner &amp; loved ones are in extreme crisis at this time. Plz release her as soon as possible. Thank you🇺🇸
@JoeBiden @KamalaHarris @bjwinnerdavis @WendyMeer11
#FreeRealityWinnerNOW https://t.co/xXW8QTWrBE https://t.co/j5ABc02HTw","Louisiana"
20,"For all the MAGA assholes who don’t realize it’s over...","Louisiana"
21,"ELECTION 2020. 🗳️

The NY Times projected 27 *TOSS-UP* elections in House races nationwide.

The GOP has won *every* race called. But wait, there's more. 

If IA2 breaks GOP, that would mean something stunning: The Republicans won every single toss-up race.

EVERY. SINGLE. ONE.🔻 https://t.co/ekaHeTkQPG","Louisiana"
22,"“VICTOR JOECKS: Clark County election officials accepted my signature — on 8 ballot envelopes” https://t.co/T6vTcb4k6k","Louisiana"
23,"Why would anyone remain on Fakebook? This is such disrespect for the President of the United States. A corrupt politician, old man Biden is trying to steal this election with the help from crooks like Fakebook &amp; Twitter to name a couple of corrupt tech giants. Political Candidate https://t.co/XKOz1pvsY3","Louisiana"
24,"On Thursday, we moved to DISMISS Trump’s baseless lawsuit seeking to cancel out votes cast by eligible voters in hand-picked counties across Pennsylvania.

On Friday, Trump’s lawyers at @PorterWright withdrew from the case.

These post-election suits are a sham. #CountEveryVote https://t.co/1iIzE1i50p","Louisiana"
25,"Why did the vote counting stop simultaneously, for hours on end, in the middle of election night, in the very decisive swing states where Trump was winning by sizable margins? Why can’t we get straight answers from the officials involved?","Louisiana"
26,"@mtgreenee @realDonaldTrump So let me get this straight your election was ok but if it turns out in any way than how you like it the result is illegitimate. How about you grow up and shut up.","Louisiana"
27,"@luckedrew @BR03361413 @CBSNews Release the kraken!
https://t.co/QO8mHbYjIP","Louisiana"
28,"@thechrisbuskirk Can we stop saying election fraud is a myth now?","Louisiana"
29,"STUNNING TESTIMONY: Michigan Election Observer Shane Trejo Witnessed Drivers Bring in 50 Boxes of ""Absentee Ballots"" After Midnight Deadline into Detroit TCF Center at 3:30am via @gatewaypundit https://t.co/Nb9MofycWO","Louisiana"
30,"Narcissist in Chief. While the pandemic rages across the country, Trump spends his day plotting how he can overturn the election results. Fortunately, we will soon have a president who believes in science and who is prepared to serve the American people, not himself.","Louisiana"
31,"Remember this PBS report?
https://t.co/keTebnfFXu","Louisiana"
32,"BUSTED! Election data analyzed, producing detailed list of over 500,000 votes SWITCHED from Trump to Biden via voting machine software theft, with heavy fraud focused on swing states.

https://t.co/m5VkqbztOE","Louisiana"
33,"""Apparent""? Biden is leading ONLY because there is MASSIVE FRAUD. 
It will change SOON. Stay Tuned...
#StormIsComing 
Biden 
apparent victor in Georgia, Trump wins North Carolina, NBC News projects https://t.co/wQ1hUxzwlR via @NBCNews","Louisiana"
34,"This is ridiculous, they are ready to do ANYTHING just to cheat on the election... AGAIN😡.

I'm not surprised at all they’re all liars and cheaters!

STOP THE FRAUD!

RT!
https://t.co/6GGgy3ODzv","Louisiana"
35,"Why is the ""Clinton"" name attached to everything illegal in politics in this country still after all these years!

TRUMP had a landslide going, everyone saw it. This is why they stopped counting on election night!

THEY STOLE MILLIONS OF VOTES!!!
https://t.co/BM0qo0wAbI","Louisiana"
36,"👥Trump’s opponents are attempting to pressure his attorneys into quitting

🧐But there's nothing to hide right?

⛏Keep digging they're getting scared

@realDonaldTrump
@RudyGiuliani

🇺🇲I FOLLOW BACK
https://t.co/Z3dGIYl8cG","Louisiana"
37,".@Acosta: ""President Trump is pretending he still has a chance to still win the 2020 election, but that's not true. Just a short while ago in the Rose Garden the president took no questions and appeared to come out in front of the cameras to sooth his damaged ego."" https://t.co/UnqlSN0hMe","Louisiana"
