"tweet","text","location"
1,"Lord protect us in Washington D.C. as we rally around our President, Donald J Trump with calls for an open and fair election, an election muddied by thousands of examples of voter fraud. https://t.co/5k3k8jQ6iM","Maine"
2,"I can hardly wait to put forth all the evidence we have collected on D o m i n i o n...we know the machines were..producing altered election results...100s of 1000s of votes... President Trump won this election in a landslide. It's going to be irrefutable.
-@SidneyPowell1","Maine"
3,"#TrumpWon","Maine"
4,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Maine"
5,"Hillary has class and grace and wants what's best for our country.","Maine"
6,"The refusal of Republican leaders to acknowledge the results of the presidential election is not just an attack on Biden. It is an attack on American democracy, and shows the degree to which the Republican party is moving toward authoritarianism.","Maine"
7,"Every lie will be revealed.

I suspect @GaSecofState &amp; @BrianKempGA will not be sleeping well for many nights. 

We The People will not be defrauded &amp; let corrupt politicians steal our money &amp; our votes.

We will #FightBack https://t.co/rhMQKmuM3V","Maine"
8,"Go Trump!!","Maine"
9,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Maine"
10,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Maine"
11,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Maine"
12,"Add @GovRonDeSantis to the ticket. @TimScottSC is a serious contender as well. There is a truly diverse array of young Republicans ready to save America from the catastrophe of this stolen 2020 election.","Maine"
13,"Barack Obama was the MOST CORRUPT president in US history. 
I have absolutely zero interest in anything he has to say about elections, because he actively interfered in the 2016 election by abusing his power and weaponizing the government against Trump.","Maine"
14,"@realDonaldTrump @BrianKempGA The election has been compromised.","Maine"
15,"Só para quem sabe a diferença entre alegações, indícios e provas:

1. Até agora, a equipe de Trump identificou 1,25 milhão de problemas com dados de eleitores através do cruzamento de diferentes bancos de dados e ligações telefônicas. 

https://t.co/iII0lL4auB","Maine"
16,"NEW: How a post-election crisis was manufactured in Pennsylvania, where Republicans refused to let local officials process mail ballots before Election Day. This gave Trump a huge ""red mirage"" that he used to falsely claim victory and spread disinformation https://t.co/FzpsbsnhJS https://t.co/W5gkF56cCK","Maine"
17,"Wow. This is exactly what happened to us. Great courage by judge!","Maine"
18,"It seems to me he has more support now than ever. I’m hearing from a lot of people that regret not being more vocal before the election.","Maine"
19,"Below is what M7 said on 11May2020.

This changed on realising that delay of the election meant his current (stolen) term expiring, hence being required to vacate his office.

Moreover, he’d violently changed Uganda’s Constitution to enable him hold onto it after 35yrs in office! https://t.co/cIkillQmpC","Maine"
20,"Mr M7’s “MADNESS” may kill very many during ongoing election!

M7 declared on 11May2020: “To have elections when the virus is still there will be madness”-came to pass!

Hon Watongola died of Covid19 today, joining several others.
My sympathy &amp;prayers go to the affected families. https://t.co/nbt05BIWsw","Maine"
21,"@DonaldJTrumpJr Sooooo you’re admitting your dad’s 2016 election was rigged?","Maine"
22,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","Maine"
23,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Maine"
24,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","Maine"
25,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Maine"
26,"@TomNelson22 @JimmySmithTX

 I’m a former Democrat, was brainwashed, but am a Proud Republican now and am helping change my rural community! I also do election analysis!

Check my Profile to see my story and my analysis on this election!","Maine"
27,"Sidney Powell going to blow this whole election mess wide open. @realDonaldTrump appoint Sidney Powell as new FBI Director or Attorney General.  👇🏼👇🏼","Maine"
28,"💥BOOM💥This is getting bigger and bigger, Sidney Powell busting this wide open.  Something AG Barr and DOJ should be doing.  👇🏼👇🏼👇🏼","Maine"
29,"The spineless deep state @GOP republicans better get their priorities strait or yes it will be the end. 👇🏼","Maine"
30,"Audit Arizona Election!👇🏼","Maine"
31,"The president-elect narrative is cleverly designed to make you think past the sale. The sale is that Biden won the election fairly, and nothing remains but to inaugurated him. 

But is that really the case?

Look at this engineered persuasion from the NYT:","Maine"
32,"It seems to me he has more support now than ever. I’m hearing from a lot of people that regret not being more vocal before the election.","Maine"
33,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Maine"
34,"I'm sure he watched it in real time.","Maine"
