"tweet","text","location"
1,"We are with you President Trump. DO NOT CONCEDE! 🇺🇸🇺🇸🇺🇸🇺🇸","Missouri"
2,"Every interview I do, someone asks about that poll, among others. We polled Wisconsin roughly during the same duration, in the field right along with them.

We found a statistical tie.

Just no chance, barring total incompetence, that wasn't a suppression poll.","Missouri"
3,"Oooook. When? This is November 14. Electors are certified on Dec. 8. 

Ya got 24 days.","Missouri"
4,"Dear Twit.

The claim of election fraud is not disputed, anywhere, by anyone with a brain.","Missouri"
5,"https://t.co/VUpzpDX5Mz 

And there it is. ""Half-baked"" is now code for ""Constitutional.""","Missouri"
6,"This is some 3rd world shit right here.","Missouri"
7,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Missouri"
8,"IMPOTUS putting Rudy Giuliani in charge of his campaign lawsuits would be like the Boy Scouts of America putting Jeffrey Epstein in charge of their public relations.","Missouri"
9,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Missouri"
10,"super embarrassing election, @GOP lol 😂🤣🤣 https://t.co/ITQC5pJPPh","Missouri"
11,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Missouri"
12,"Dear Twit.

The claim of election fraud is not disputed, anywhere, by anyone with a brain.","Missouri"
13,"Oooook. When? This is November 14. Electors are certified on Dec. 8. 

Ya got 24 days. https://t.co/zQ11RNu5qn","Missouri"
14,"are you in denial? 
🔲 no.
🔲 never.
🔲 definitely not.","Missouri"
15,"Right On!
#CandaceOwens 
Speaks the
#Truth 
#RINO cowards 
Time to rally around
#TRUMP2020ToSaveAmerica 
@DevinNunes 
@SenatorRomney 
@SenRickScott 
@RandPaul","Missouri"
16,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Missouri"
17,"@realDonaldTrump This massive“ Dominion election fraud and the pallets of ballots mail-in fraud orchestrated by Dems must not be certified as legit!","Missouri"
18,"Look at this tweet from Trump.","Missouri"
19,"We love our President @realDonaldTrump 🦅❤️🙏🏻🇺🇸","Missouri"
20,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Missouri"
21,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","Missouri"
22,"Want to support an amazing organization outside of Washington that had a huge impact on the 2020 election? Check out @neazNativeDems and consider giving $5 or $10: https://t.co/2hp2BEKKdT","Missouri"
23,"Guys;all we know we're living difficult times, but our president needs our help now DONATING, ANYTHING YOU CAN will be highly appreciated &amp; will make a substantial difference to continue fighting our votes in Court. Please,make an effort. God bless you ALL
https://t.co/uxo9uw0IDH","Missouri"
24,"After the election, our cyber team uncovered a split second in the Kentucky election night video feed from Clarity Elections to CNN that actually displayed the findings of our investigation. (tbc) ⬇️ https://t.co/7q7ynNV61B","Missouri"
25,"It is SCYTL (Clarity Elections) that has the final control on vote counting and reporting (and which the CNN video shows changing votes). Both the Chicago Sun Times and Forbes say it raises troubling concerns about election cyber security. https://t.co/XvK6cpZRTn","Missouri"
26,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","Missouri"
27,"It was not baseless. GOP refused to face reality.","Missouri"
28,"Still waiting for ONE SINGLE PERSON to ask Lindsey Graham or ANY of the Republicans backing Trump’s election tampering allegations one question:

“If it’s all rigged...

Why should we believe YOU  won?”","Missouri"
29,"@realDonaldTrump That's what Americans is known for and stand for a credible election.","Missouri"
30,"The debacle of the 2000 Election was 20 years ago.
Dubya managed to win in Court but the Left has NEVER ACCEPTED THAT LOSS.
When WE win they SCREAM ""YOU CHEATED!""
When THEY cheat to win they SHOUT ""SUCK ON THAT YOU LOSERS!""
They lost again in 2016 &amp; will NEVER accept that either. https://t.co/hKtYgWZ55B","Missouri"
31,"STUNNING TESTIMONY: Michigan Election Observer Shane Trejo Witnessed Drivers Bring in 50 Boxes of “Absentee Ballots” 
THE MAN WHO SAW THE MICHIGAN STEAL
Shane Trejo witnessed the 3:30am Biden Ballot Drop that gave Michigan from Trump to Biden.
👇🏽👇🏽

 https://t.co/mfspnpWfND","Missouri"
32,"Just an observation: It would have been very beneficial leading into this election for @GenFlynn to be a part of the Trump Administration.","Missouri"
33,"@E5C4P3777 @DonaldJTrumpJr And that's how you Democ[rats] always think. Do you actually think for a second this election was fair? Yeah, you do, you and the other's just like you. Always with a hand out instead of actually working for it. And thinking you know me is also pretty stupid, like Joe Biden. https://t.co/aL6W90wWU4","Missouri"
34,"@realDonaldTrump You lost the election. This is irrelevant.","Missouri"
35,"Someone I just text banked in Georgia told me they won't be voting because they don't think the election will be counted fairly. Trump's tantrum is only depressing GOP turnout.","Missouri"
36,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","Missouri"
37,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Missouri"
38,"Look at this tweet from Trump. https://t.co/oo4H9vtrzC","Missouri"
