"tweet","text","location"
1,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","North Carolina"
2,"True dope is illegitimate. 
All he has ever done ir signed is a fraud on Canada. We demand all are money back. And all gas group and others a part of this jailed.","North Carolina"
3,"Law enforcement must look into the software immediately... @TheJusticeDept @FBI","North Carolina"
4,"@RudyGiuliani #Smartmatic Foreign Interference 

2020 Election Corrupted/Null &amp; Void 🗳 #ReVote","North Carolina"
5,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Carolina"
6,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","North Carolina"
7,"All my sleep-deprived thoughts, now in one place! https://t.co/pa1kODnloj #yxe #yxevotes #saskatoon #yxecc #skpoli","North Carolina"
8,"Election Witnesses: Kanye’s Michigan Votes Were Stolen by Joe Biden via @gatewaypundit https://t.co/hKPF59Cq5w","North Carolina"
9,"Dear @Twitter, stop interfering in the election.","North Carolina"
10,"The delusional refusal of Republicans to acknowledge the election results isn’t some quaint sideshow. It’s an assault on democracy that has lasting impact. If half the country starts to believe that elections are rigged then it’s hard to hold together a country this diverse.","North Carolina"
11,"Pennsylvania’s anti-Trump Secretary of State says “no recount”!

Meanwhile, she has been rebuked by courts for unconstitutionally interfering in the election process. 

She oversaw an election beset by equal protection violations!

Litigation continues‼️","North Carolina"
12,"The Sore LOOSERS #MitchMcConnell #LindseyGraham","North Carolina"
13,"If the NSA/CIA/FBI or other alphabet-letter agencies can verify that U.S. election data were indeed sent to servers in Germany, where's the concern about ""foreign interference"" in U.S. elections? 

Anyone? Anyone?

*Crickets*
https://t.co/CnDzRTT8I3","North Carolina"
14,"B-I-N-G-O, President Elect!!!

Georgia voters are being cheated. GA election was  unlawful &amp; present recount is a fraud.

Let the corrupt GA Republican Governor @BrianKempGA &amp; @GaSecofState know in no uncertain terms that you will not tolerate their shenanigans.

Be relentless.","North Carolina"
15,"Nigel Farage - ""You lose an election... you accept it... that's how democracy works."" @realDonaldTrump 

#MillionMoronMarch https://t.co/QbTr2LHjWP","North Carolina"
16,"#China #MillionMAGAMarch #MillionMAGAMarch2020","North Carolina"
17,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","North Carolina"
18,"@realDonaldTrump This massive“ Dominion election fraud and the pallets of ballots mail-in fraud orchestrated by Dems must not be certified as legit!","North Carolina"
19,"@ali I remember your scope the morning after the election - we we were sinking. 

You rallied us to fight and thousands of us showed up in every swing state that same night.

It kept going.

And today, HUNDREDS OF THOUSANDS of people joined STS.  You did this.

Thank you @ali 🙏🧡🧡🧡","North Carolina"
20,"In 2017 the Maricopa County Recorder issued a report saying he “believes all ballots will be counted and unofficial results reported out within 72 hours of polls closing on Election Day.”  P.19 

Except apparently when @realDonaldTrump is on the ballot. https://t.co/UPax6GVkjW","North Carolina"
21,"Very true
https://t.co/xrNOTINqvi","North Carolina"
22,"OMG ... Hundreds?

😂😂😂😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😭😭","North Carolina"
23,"Nouvelle étape franchie: le président sortant D.#Trump s'appuie sur la thèse conspirationniste de QAnon d'1 élection volée par les machines à voter de la firme Dominion et sur l'appui populaire des manifestants du jour à DC pour refuser toute défaite. Non retour?","North Carolina"
24,"The Republican Party can have a bright future in Arizona if we accept that the election was not ""stolen."" The President lost. If we move beyond conspiracy theories and debate issues again, the country will benefit - and so will our party.","North Carolina"
25,"If you think this election was rough, wait until kids who grew up on Common Core math are counting the ballots.","North Carolina"
26,"Here's a thread how the Dominion conspiracy theory went from QAnon to the president:

Q, the secret government insider they believe is taking down the Democrat child-eating cabal. didn't post for more than a week after the election.

This left a vacuum.

https://t.co/XoASWFdywM","North Carolina"
27,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","North Carolina"
28,"Georgia-the hold world looks to you.","North Carolina"
29,"As a #NeverTrump, @ProjectLincoln type, I fully expect Biden will do a lot of things I'll really dislike. But he'll do them within the framework of the law and the U.S. Constitution, and right now, that's all I ask. For me, this election was never about policy.","North Carolina"
30,"Trump Counties Make Up Just 29 Percent of U.S. Economic Output, 2020 Election Study Shows https://t.co/oElSv9kFfu","North Carolina"
31,"@antitrump_2016 Trump is not contemplating a transfer of power after the election. And he is currently justifying a decision that he has already made with fallacious accusations of fraud. A percentage of Americans would support him in this. 
https://t.co/I17v0wsxa6 https://t.co/zPTI8QSAFN","North Carolina"
32,"Dear @Twitter, stop interfering in the election.","North Carolina"
33,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Carolina"
34,"Never has the time been riper for a right of centre party in the UK. They need to get up and running now and bed themselves in to refute Tory claims that voting for them at the next election will allowing Labour to win. The Tories are no more fit to govern than Labour.","North Carolina"
35,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","North Carolina"
36,"""This claim about election fraud is disputed"" 
This kind of bull is only disputed by a bunch of socialists. 70,000+ #Patriots completely disagree with that statement be a use there was Election fraud in 6-7 states in this Union. 
I demand a recount of all disputed states. https://t.co/ON9XwUYHy2","North Carolina"
37,"It's 11 days since the election &amp; Biden/Harris are still fighting to stop an audit of all votes. Which proves their guilt.  Contact your elected officials &amp; demand the audit. They work for us not the other way around
#counteverylegalvote
#IllegitimateElection","North Carolina"
38,"Election Witnesses:#Kanye’s Michigan Votes Were Stolen by Joe #Biden

Those votes were primarily given to Biden.""Workers joked about it as they physically altered ballots 2 remove votes 4 Kanye,&amp;instead add them to #Democrat totals""

https://t.co/TmMlodi5D4

#QAnon2018 #QAnon2020 https://t.co/NOgf5BSbxw","North Carolina"
39,"Call out to all patriots. The State Legislatures will decide this election. It's all as written in the Constitution. Please call your state representatives and state senators. Tell them you demand a full and fair hand count audit of all ballots cast in this year's election.","North Carolina"
40,"@zenj8 @newsmax P.S. I referred to Fox as Fix since they fixed the election. Traitors.","North Carolina"
41,"Just overwhelmed with all these Democrat messages of “unity” and “healing” lately https://t.co/fhWStQgOZl","North Carolina"
42,"The far right who had a peaceful, god loving rally today. They did not punch anyone, burn up buildings or destroy any property. Meanwhile tonight the #BLM people are out in full force. Punching people for just walking down the street. Get your facts right. #TRUMP2020ToSaveAmerica","North Carolina"
43,"Way to go @tracybeanz knock em dead. Thank you for your hard work.","North Carolina"
44,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","North Carolina"
45,"Georgia Governor @BrianKempGA talks golf instead of dealing with fraudulent GA election.

Why?

Because Kemp was. and still is, part of the fraud. He is China-corrupt.

#FightBack for Kemp Resignation","North Carolina"
46,"The March in Washington D.C. is the American people letting @realDonaldTrump know that we're not giving up and not giving in to an obvious attempt by the Radical Left Wing Democrats to STEAL this election. Mass Voter Fraud all over!

#MakeAmericaGreatAgain
https://t.co/xQ14JqnbzY","North Carolina"
47,"Some weekend reading about what @theAGU members can expect from a Biden-Harris administration

Volume 2:

What #ClimateAction will a Biden administration be able to take?

https://t.co/2YEIaTL8b8","North Carolina"
48,"You could prove election fraud over and over again and it would still be disputed by those who committed it.","North Carolina"
49,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","North Carolina"
50,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/gWRo70m5Dx","North Carolina"
51,"""President Trump won this election in a landslide. It’s going to be irrefutable.” -- @SidneyPowell1 https://t.co/mZkRXWpb6w","North Carolina"
52,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","North Carolina"
53,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","North Carolina"
54,"What about the ballots they destroyed? How about a re-do? #StopTheSteal #Trump2020 #GreatestPresidentEver #TrumpWon","North Carolina"
55,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Carolina"
56,"We demand a Full Audit.  Legal votes only! https://t.co/Kc1rvnxykm","North Carolina"
57,"https://t.co/5AuWnin8Xm","North Carolina"
58,"https://t.co/idN4JLTJVu","North Carolina"
59,"@realDonaldTrump THIS ISTRUMPS PLAN TO STEAL THE ELECTION...PLANNED 4 YEARS AGO

https://t.co/uQC6rHlbMx","North Carolina"
60,"MAGA.","North Carolina"
61,"NEW: How a post-election crisis was manufactured in Pennsylvania, where Republicans refused to let local officials process mail ballots before Election Day. This gave Trump a huge ""red mirage"" that he used to falsely claim victory and spread disinformation https://t.co/FzpsbsnhJS https://t.co/W5gkF56cCK","North Carolina"
62,"Fixing elections is what the @DNC Does! So does Senator Warren!","North Carolina"
63,"The truth comes out and we need a #RecountTheVote","North Carolina"
64,"Call out to all patriots. The State Legislatures will decide this election. It's all as written in the Constitution. Please call your state representatives and state senators. Tell them you demand a full and fair hand count audit of all ballots cast in this year's election.","North Carolina"
65,"When news reporting is done properly. The newspapers in Georgia coordinating election coverage. The more people who get reliable information the better.","North Carolina"
66,"Dems have gotten away with Voter Fraud for decades. They own election officials &amp; the voting machines! The process has too many opportunities for manipulation &amp; they've taken full advantage of it!  

However, we've @RudyGiuliani &amp; American citizens who won't ignore it this time!","North Carolina"
67,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","North Carolina"
68,"From the pictures and video I see of Antifa and Black Lives Matter right now, it appears they don't think Joe Biden won the election.","North Carolina"
69,"I’m shocked the lady who tweeted this is refusing to do a recount &amp; audit in Pennsylvania. First election ever with mass mail in voting, Trump ballot count observers locked out, electioneering in Philly by Dems and she refuses. This is grounds for GOP legislature to intervene. https://t.co/GAPJEipGoj","North Carolina"
70,"pretty incredible that three second-term progressive women are somehow more at fault than the speaker of the house","North Carolina"
71,"Breaking: US Army has Seized Dominion Servers Containing US Presidential Election Data in Frankfurt, Germany https://t.co/sjxl32BLIS","North Carolina"
72,"@ellymelly @realDonaldTrump https://t.co/zJ6QrQlwht","North Carolina"
73,"Bears noting: @RudyGiuliani is both

(1) leading President Trump's hopeless, doomed, ridiculous effort to ""contest"" the election, and 

(2) the subject of an ongoing criminal investigation by the SDNY.","North Carolina"
74,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","North Carolina"
75,"Another sign we won this presidential election: Republicans have picked up 12 House seats. Not a single GOP incumbent lost. Trump was quite obviously more popular than these candidates. Now we just have to prove our case! #Election2020results","North Carolina"
76,"Amazing","North Carolina"
77,"Dear @Twitter, stop interfering in the election.","North Carolina"
78,"Another sign we won this presidential election: Republicans have picked up 12 House seats. Not a single GOP incumbent lost. Trump was quite obviously more popular than these candidates. Now we just have to prove our case! #Election2020results","North Carolina"
79,"@Maithedane North Carolina, is it very far ""chuckles quietly""","North Carolina"
80,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","North Carolina"
81,"Collins: Georgia Can’t Properly Certify Election Without Verifying Signatures. It’s been a shit show since the Ga Audit started. Ga is overrun with Rino’s who don’t care about having fair elections.  https://t.co/Yc5P2qBZJH via @epochtimes","North Carolina"
82,"And Sleepy Joe would have 17 nice white circles with only 50% filled!
ELECTION WAS RIGGED!","North Carolina"
83,"I wonder why Twitter isn’t fact checking this? Could it be because he’s 100% right?","North Carolina"
84,"We went from 4 years of Russia rigged the election, to elections can’t be rigged really fast didn’t we???","North Carolina"
85,"Pennsylvania’s anti-Trump Secretary of State says “no recount”!

Meanwhile, she has been rebuked by courts for unconstitutionally interfering in the election process. 

She oversaw an election beset by equal protection violations!

Litigation continues‼️","North Carolina"
