"tweet","text","location"
1,"Poverty has not only made the pandemic worse for poor ppl; it has fueled our public health crisis as many service workers have continued to show up for work, even when they suspect they may be infected w/ the virus, b/c they have no other way to survive.

https://t.co/jK2HlMg2NX","Nebraska"
2,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","Nebraska"
3,"@DailyCaller The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
4,"@Reuters The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
5,"@Independent The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
6,"@LiberatedCit The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
7,"@BloombergTV The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
8,"@JudicialWatch @mikewright1997 The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
9,"@WEWS The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
10,"@Reuters The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
11,"@CRRJA5 The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
12,"@CRRJA5 The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
13,"@Telegraph The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
14,"@mashable The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
15,"@JaySekulow @Florida_Veteran The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
16,"You could prove election fraud over and over again and it would still be disputed by those who committed it.","Nebraska"
17,"@dcexaminer The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
18,"@leach_deanna @YSuchAKerfuffle The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
19,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
20,"'Abuse of the rule of law': 1,000 ex-judges, attorneys slam Trump's false claims of voter fraud || Via USA Today https://t.co/9DLBTY2XOO","Nebraska"
21,"HOT OFF THE PRESS from Pam Bondi:
“...This is going to the Supreme Court where they will rule that the election is invalid due to fraud or mistakes on a country wide scale. https://t.co/GPNNxfJ3AI","Nebraska"
22,"@GovKemp","Nebraska"
23,"It would really be a shame if everyone retweeted this tweet for no particular reason!","Nebraska"
24,"Mr. President: 
This is a formal invitation to hold a rally in Phoenix.  Your people are here for you and will not accept fraud and theft of this election. 
⁦@realDonaldTrump⁩ ⁦@AZGOP⁩ ⁦@VP⁩ ⁦@ali⁩ ⁦@GOPChairwoman⁩ ⁦@GOPLeader⁩ #stopthesteal https://t.co/bkiJetjOP6","Nebraska"
25,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Nebraska"
26,"@DanielNewman Reword this. 

THANK YOU FOR YOUR ABSENTEE BALLOT FOR THE PRESIDENTIAL ELECTION. Biden just won our glorious state. 

You’re amazing. We did it.

A new, specific, absentee ballot is needed for the run off. Please apply for that now or make a plan to vote in person. Thank you. 🍑","Nebraska"
27,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nebraska"
28,"Amazing","Nebraska"
29,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nebraska"
30,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Nebraska"
31,"Olson has become a liberal. Also no one said Biden didn’t win but let’s stop thinking he set a record","Nebraska"
32,"@realDonaldTrump Hundreds of thousands of sheep showing their lack-of-education in D.C. They are standing for a fascist narcissist who lost a democratic election. Concede","Nebraska"
33,"Just think what all those brave men &amp; women who fought and lost their lives for the principles of this nation would think watching thousands of Americans marching to overturn an election merely because the President claims there was fraud

#MillionMoronMarch  #MarchForTrump","Nebraska"
34,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nebraska"
35,"Boies and Olson, the two lawyers on opposite sides of the Bush v. Gore case in 2000, agree that ""Biden won the election"" and that this year ""bears no resemblance"" to the Florida recount. 

https://t.co/IzVeObT12k","Nebraska"
36,"The election is not officially over so no one should be condemning the prophets. We know God can make miracles.","Nebraska"
37,"@realDonaldTrump America will not allow dominion to steal this election.","Nebraska"
38,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Nebraska"
39,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” https://t.co/gWRo70m5Dx","Nebraska"
40,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","Nebraska"
41,"Cali is red need a recount","Nebraska"
42,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Nebraska"
43,"@realDonaldTrump The election tampering was done on a massive scale.","Nebraska"
44,"Dear @Twitter, stop interfering in the election.","Nebraska"
45,"@lsferguson Abrahams will clean his sorry ass next election, too arrogant to realize.","Nebraska"
46,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
47,"Correct. A simple recount of unaudited votes does not make the process an audit.

No matter what you call it.","Nebraska"
48,"Donald Trump received more re-election votes than any incumbent president in American history and you’re telling me that the man whose rallies couldn’t fill a parking lot got more and “won?”

🤔","Nebraska"
49,"Massive election fraud exposed would mean the illusion would be broken- that we are not a near evenly divided nation- that there are way more of us than there are of them. They just had a media megaphone.","Nebraska"
50,"@DineshDSouza @RetiredNavy007 In other News https://t.co/ctNpZe4p3w","Nebraska"
51,"Pelosi on Election Day: ""Democrats are poised to further strengthen our majority.""

Pelosi today: ""I never said that we were going to pick up"" seats. https://t.co/6s14zfA3LO","Nebraska"
52,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Nebraska"
53,"We have your back. #StopTheSteal","Nebraska"
54,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nebraska"
55,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","Nebraska"
56,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
57,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
58,"Amazing","Nebraska"
59,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nebraska"
60,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Nebraska"
61,"Filed at the Supreme Court Chinese Restaurant #TrumpIsALaughingStock","Nebraska"
62,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nebraska"
63,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nebraska"
64,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","Nebraska"
65,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","Nebraska"
66,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Nebraska"
67,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nebraska"
68,"Well I don't seem to be achieving much today but on the other hand I haven't wasted a ton of money going to DC and maybe getting COVID in order to march in support of a guy who genuinely doesn't care whether I live or die, and will still have lost the election tomorrow.","Nebraska"
69,"@realDonaldTrump win what exactly, don? the election is over. you lost. time to get over it and move on.","Nebraska"
70,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nebraska"
71,"So I have to carry around proof that I took the vaccine to go to a concert but I don’t need an ID to vote in an election?","Nebraska"
72,"181,000 new cases in the US yesterday. 

181,000.

It is out of control. So many Americans will unnecessarily die because Trump is spending his time peddling debunked conspiracy theories about his election loss instead of trying to save lives during a rapidly worsening pandemic.","Nebraska"
73,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","Nebraska"
74,"#AmericanSpring","Nebraska"
75,"President Trump just drove right by us outside - thumbs up all the way. It was INCREDIBLE. Already thousands of people gathering for the event! STAND UP FOR ELECTION INTEGRITY!","Nebraska"
76,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nebraska"
