"tweet","text","location"
1,"Here's a sign from back at the rally

'riggers' is a dog whistle that refers to people who supposedly rigged the election and...well...you know

No idea what a Jannie is and when we asked we got laughed at so 🤷 https://t.co/thtlJJKIBm","New Mexico"
2,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","New Mexico"
3,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","New Mexico"
4,"They think we forgot about this. We didn’t &amp; we won’t.","New Mexico"
5,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","New Mexico"
6,"Every lie will be revealed.

I suspect @GaSecofState &amp; @BrianKempGA will not be sleeping well for many nights. 

We The People will not be defrauded &amp; let corrupt politicians steal our money &amp; our votes.

We will #FightBack","New Mexico"
7,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
8,"They think we forgot about this. We didn’t &amp; we won’t.","New Mexico"
9,"The United States is NOT a Democracy,  it is a Republic.

The Founders rejected a national popular vote election. They knew elections could be corrupted.

The Electoral College elects the President, but the President of the Senate ""counts"" the votes and each EV can be disputed.","New Mexico"
10,"DEAD MAN VOTING: Deceased caught voting in NYC, election records show https://t.co/5xBrNGgqnK","New Mexico"
11,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
12,"Where he will argue the Four Points by Sheraton.","New Mexico"
13,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","New Mexico"
14,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","New Mexico"
15,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Mexico"
16,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","New Mexico"
17,"Omg ... right after the”election” someone, I forget who, predicted that people who were supporting Trump would delete their Trump tweets. I thought “no way!”...I hate to say it but it’s true. What kind of cowardice is this? I’m kinda shocked","New Mexico"
18,"His agency declared 2020 election ‘most secure in history.’ Trump ordered him fired. DHS chief refused. https://t.co/8K4UzVcvPZ","New Mexico"
19,"RT &amp; Share","New Mexico"
20,"Georgia Governor @BrianKempGA talks golf instead of dealing with fraudulent GA election.

Why?

Because Kemp was. and still is, part of the fraud. He is China-corrupt.

#FightBack for Kemp Resignation","New Mexico"
21,"Amazing","New Mexico"
22,"Ok it is hilarious that Fox News kissed Trump’s ass for years and now the MAGAs hate them because they committed the unforgivable crime of... announcing the election results","New Mexico"
23,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","New Mexico"
24,"EXCLUSIVE: In Georgia the Difference In President-Only Ballots Between President Trump and Biden Is STATISTICALLY IMPOSSIBLE - Indicates Obvious Election Fraud https://t.co/SfwtaSH5Rv via @gatewaypundit","New Mexico"
25,"https://t.co/XzXEhMhCIz","New Mexico"
26,"am i tripping or is the timing of all these liberal politicians &amp; pundits coming out *this* hard against defunding the police post-election incredibly convenient after securing the black vote... or https://t.co/vYvgMv90ie","New Mexico"
27,"Democrats Lament Failure to Turn Texas Blue: ‘What the F*ck Is Happening?’ https://t.co/xx18DSKYsC","New Mexico"
28,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
29,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","New Mexico"
30,"Thanks Nancy. 

We will fight.","New Mexico"
31,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","New Mexico"
