"tweet","text","location"
1,"Shocker. Not even surprised. Governor Kemp needs to be exposed for his complicity in all this.","Nevada"
2,"@realDonaldTrump","Nevada"
3,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nevada"
4,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nevada"
5,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Nevada"
6,"Tens of thousands of people converged at #FreedomPlaza in #Washington on Saturday, joining other rallies around the country to show support for President Trump and ask for fairness in the #Election process. https://t.co/Kv1ONVTMEe","Nevada"
7,"We win.  The West wins.  Liberty wins.  Tradition wins.  And I'm not just talking about an election.  We win.  We won.","Nevada"
8,"People that will sucker-punch you from behind while you're surrounded, then run away...

Will cheat in an election. https://t.co/mSmWd3Lmzx","Nevada"
9,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","Nevada"
10,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","Nevada"
11,"The Democrats rigged a United States election in the middle of the night by dumping mail-in ballots. 

There would be no other reason to block audits of those ballots to confirm their legitimacy. 

The media and Big tech is suppressing this truth from the world.","Nevada"
12,"WOW. 

Democrat Raphael Warnock says Republican voters must ""repent"" for supporting Trump. 

This comes as the other Georgia Democrat Ossoff wants to cancel conservatives, yelling that they should ""never show their faces again."" 

https://t.co/kaWWBXI7hh 

https://t.co/z7PKkvdlLk","Nevada"
13,"Another pickup for a GOP woman! 

Felicidades to @YoungKimCA!

@EliseStefanik @VIEWPAC @olivia_pc @WinningForWomen","Nevada"
14,"https://t.co/D4bUhZnPw2","Nevada"
15,"@tishanncg @RudyGiuliani It has Rudy everyone knows this!!   By the SAME ""officials"" who called the election Rudy! Geez Rudy, don't you know about the Office of the United States Media Propaganda Department and its ""officials"" at the Associated Press. Get with it Rudy!!  Stop being thinking about laws!","Nevada"
16,"The president-elect narrative is cleverly designed to make you think past the sale. The sale is that Biden won the election fairly, and nothing remains but to inaugurated him. 

But is that really the case?

Look at this engineered persuasion from the NYT:","Nevada"
17,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nevada"
18,"@Jonatha19663193 @SenSchumer Because👏🏻of👏🏻what👏🏻happened👏🏻in👏🏻the👏🏻election👏🏻","Nevada"
19,"jesus christ","Nevada"
20,"If MAGA Lunatics like Kayleigh McEnazi think the thousand proud boys terrorist MAGA March is 1M people, I can see why the election results confuse them.","Nevada"
21,"BARR.  DOJ
https://t.co/QSpUQUhJhG","Nevada"
22,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff.","Nevada"
23,"The delusional refusal of Republicans to acknowledge the election results isn’t some quaint sideshow. It’s an assault on democracy that has lasting impact. If half the country starts to believe that elections are rigged then it’s hard to hold together a country this diverse.","Nevada"
24,"これも酷い https://t.co/3FIJUWTV9L","Nevada"
25,"@BoneidleBoris @realDonaldTrump Only morons like you think that the media certifies an election.  The electoral college does. Mindless Biden flunkies.","Nevada"
26,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nevada"
27,"@CREWcrew President Trump has every right to fight for the correct results in this election!! It was a fraud! 73+ million Americans voted for Trump and we deserve the truth! How do you even have ethics in your name?? Hmmm... https://t.co/UslqERZ1fp","Nevada"
28,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Nevada"
29,"Why is she wearing a space #mask? https://t.co/AiHf5lBzXO","Nevada"
30,"Release the Kraken: @SidneyPowell1 vows to expose the Silicon Valley and left-wing corporations that are using their power to help Democrats steal the election from @realDonaldTrump. #MAGA #AmericaFirst #Dobbs https://t.co/EPJSfUZqM2","Nevada"
31,"Want to support an amazing organization outside of Washington that had a huge impact on the 2020 election? Check out @neazNativeDems and consider giving $5 or $10: https://t.co/2hp2BEKKdT","Nevada"
32,"Dear @Twitter, stop interfering in the election.","Nevada"
33,"Boies and Olson, the two lawyers on opposite sides of the Bush v. Gore case in 2000, agree that ""Biden won the election"" and that this year ""bears no resemblance"" to the Florida recount. 

https://t.co/IzVeObT12k","Nevada"
34,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Nevada"
35,"Enjoy your fake coolaid!!!! Hope you wake up soon.","Nevada"
36,"Here is @BrianKempGA  GET OUT OF JAIL CARD:
1. Order special session of legislature.
2.  Void unlawful election - cast electoral vote for @realDonaldTrump.
3. Schedule all down ballot races for 1/21 election.
4. Demand @KLoeffler resign.
5. Appoint @RepDougCollins
6. Then resign.","Nevada"
37,"BOMBSHELL: The 2020 election took place under a Trump-declared “National Emergency” that set an Election Day trap for the “unauthorized accessing of election and campaign infrastructure” - DC Dirty Laundry https://t.co/gVlOispBrg","Nevada"
38,"Twitter doesn't want you to spread this so let's spread it https://t.co/XZ2eJnbdem","Nevada"
39,"Look at this tweet from Trump.","Nevada"
40,"👹One thing that 0bama successfully did was pack the lower courts with leftist judges willing to be activists from the bench. 
⚖️The Trump team faces a tremendous uphill battle with this regarding their lawsuits over the 2020 election. 
🇺🇸 #HoldTheLine

https://t.co/spn3UaUUYq","Nevada"
41,"This is not good and should be a key issue progressives mobilize on: to prioritize keeping deficits low over job creation would be a disaster -- and would set the stage for some really horrible election losses in 2022 and 2024.","Nevada"
42,"@Dknight10k No. Up until this election everything sucked...","Nevada"
43,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nevada"
44,"Amazing","Nevada"
45,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Nevada"
46,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Nevada"
47,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Nevada"
48,"Jason

Tell all your friends about this!

https://t.co/CP9afiDqCp","Nevada"
49,"Add this to this thread!

https://t.co/CP9afiDqCp","Nevada"
50,"And they will LOSE! #Trump2020Victory","Nevada"
51,"Signature-match checking is both customary &amp; required by state law in most states. Why would either political party object to it? https://t.co/sLR7nuUk8F","Nevada"
52,"If the Biden team were so sure they won this election, why are they trying to lock us down?","Nevada"
53,"Dear @Twitter, stop interfering in the election.","Nevada"
54,"REPORT: Shares of FOX News parent company Fox Corp. have dropped 6% because of the 2020 election coverage.","Nevada"
55,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Nevada"
56,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nevada"
57,"I heard Rudy’s prepared to take Trump's election cases all the way to the Supreme Courtyard by Marriott.","Nevada"
58,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Nevada"
59,"“Now is not the time to discuss this. We have to wait until after the election.”","Nevada"
60,"@realDonaldTrump This election is not over until every legal vote is counted &amp; audited.","Nevada"
61,"When @BernieSanders says shit like ""Republicans refuse to acknowledge the results of a Presidential election and concede,"" will literally ANY JOURNALIST IN THE WORLD confront him to his fucking face on this or are we just going to continue to be gaslit into eternity... ?????????","Nevada"
62,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","Nevada"
63,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Nevada"
