"tweet","text","location"
1,"@MaryRoseManuel1 Ang daming naloko ni duterte during his campaign last election... 😢😢😢","Ohio"
2,"@realDonaldTrump Grab a copy of my #1 bestseller, ""History of the Deep State 3"", now available in ebook &amp; paperback!

Half price at 4.99 - Election Day special until Trump wins! Get it now!!!
#TrumpNowMoreThanEver2020
#KAGFOREVER #StopTheSteaI
👇🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

https://t.co/aih7JqIxY5","Ohio"
3,"A whistleblower inside Dominion Voting Systems has come forward. Claims software company changed 3.8 Million votes, stealing election for Biden","Ohio"
4,"The election was not stolen. Trump's tweet is a lie. He lost fair and square.","Ohio"
5,"All these idiots in DC are screaming about how Trump will NEVER stop fighting for them and for the election. Meanwhile, he's in Virginia using their money to play a round of golf.","Ohio"
6,"Prosecutors who AG Bill Barr dispatched to investigate Trump's evidence-free claims of mass election fraud say they found no substantial irregularities https://t.co/YS1lY6VhSp via @Yahoo","Ohio"
7,"Donald Trump has sexually harassed more women than confirmed cases of voter fraud in the election.","Ohio"
8,"Right up to the present. Just one of the ways they cost Kimberly Klacik her rightful seat. This was how Elijah Cummings never lost an election. Same thing with Nancy, Maxine, Schumer, etc.","Ohio"
9,"If you're a deep State Dem you don't even have to pay them. The payment comes after they ""subtly nuance"" your election, then they are awarded government contracts and grants 👍","Ohio"
10,"Weasel.","Ohio"
11,"Gahhhh damn 8k in one day🥴","Ohio"
12,"This is the path of deranged conspiracy theory down which the outgoing President is leading his supporters and the GOP. Tinfoil hat stuff. https://t.co/UHMiUwRBCl","Ohio"
13,"@hodgetwins Great example why @realDonaldTrump won the election. #2020landslide","Ohio"
14,"@sav_says_ @yoakumgirl923 Welcome to @JoeBidens America. This is why @realDonaldTrump won the #2020landslide election","Ohio"
15,"They were setting the stage for the sting... AG Barr explained, weeks before the election, the inherent weaknesses of a huge, hastily-constructed vote-by-mail scheme...BUSTED! 
 https://t.co/8NXbkIeZIn","Ohio"
16,"@KHOU Where is that money going to come from? Did you ask Biden's task force before you reported this to the public? President Elect Biden? You mean contender, right? The election is over when the votes are certified.","Ohio"
17,"ナンシーペローシー（民主党・現下院議長）は、トランプがヒラリーを破った2016年11月選挙から半年経った後（大統領就任4ヶ月後）も「選挙はハイジャックされた。下院は民主主義を守れる義務がある」等と投稿している。

彼女は不正調査をしているトランプ陣営を支援すべき立場ではないかね？？

🤔 https://t.co/rF0xQ11Gdw","Ohio"
18,"@realDonaldTrump @ChanelRion @OANN This is one example of why I and other Republican candidates in California refuse to concede.

Conceding an election fraught with vote inconsistencies rewards @TheDemocrats for their criminal behavior and emboldens them to cheat yet again in future elections. https://t.co/Kz7W9MkjbK","Ohio"
19,"HOT OFF THE PRESS from Pam Bondi:
“...This is going to the Supreme Court where they will rule that the election is invalid due to fraud or mistakes on a country wide scale. https://t.co/GPNNxfJ3AI","Ohio"
20,"@SkyNewsAust 

Because of your poor ability to report accurately and honestly about President Trump, Election fraud and his supportors I will no longer be watching or sharing your garbage news.","Ohio"
21,"I'm so delighted.  Just like Wisconsin he realizes he is about to lose Georgia for a second time. 

womp womp.","Ohio"
22,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","Ohio"
23,"@ksorbs No wonder you guys think you won the election LOL You're so horrible at math! Only in the low thousands turned out. https://t.co/NE5zZqsZn3","Ohio"
24,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Ohio"
25,"The Dominion conspiracy theory is a QAnon conspiracy theory that made its way to the president through OAN. It’s also, obviously, not true.

https://t.co/lfhDIQ4NSZ","Ohio"
26,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","Ohio"
27,"Georgia Legislature must step in and order a real canvass. Secretary of State’s continuing failure to protect citizens of Georgia’s right to honest election requires legislature intervening as U S Constitution provides","Ohio"
28,"Georgia legislature should make clear there will be noi electors from Georgia until there is a full and clear recount that is honest and not rigged. The people of Georgia do not have to tolerate a flawed election. They are not powerless. Call your legislator and demand action.","Ohio"
29,"Open a Grand Jury.","Ohio"
30,"DOMINION.🗳️

""We began to look and realized how easy it is to change votes.""

Election security expert @RussRamsland has performed many investigations on US election machines.

The most *shocking* thing about this interview is it took place just days BEFORE the election. Watch🔻 https://t.co/53Kcxmne2e","Ohio"
31,"Huge","Ohio"
32,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","Ohio"
33,"We need to stop calling Trump’s election lies delusional and call them what they are: a deliberate attack on the process to convince his supporters he didn’t lose and boost whatever he plans post-Jan 20. It’s disinformation and it’s being enabled by some members of his party.","Ohio"
34,"Still waiting for ONE SINGLE PERSON to ask Lindsey Graham or ANY of the Republicans backing Trump’s election tampering allegations one question:

“If it’s all rigged...

Why should we believe YOU  won?”","Ohio"
35,"Lou Dobbs needs to get some help.  Even Hillary Clinton had enough integrity to concede regardless of obvious Russian influence.  If you don’t have hard evidence to provide the courts then man up and concede.","Ohio"
36,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Ohio"
37,"Thanks, FOX News, now we know there are 2 different legal categories of subverting our elections:
First is just “regular fraud”
But then there’s “serious fraud”

WOW, I feel enlightened.

Fox is DEAD to me like CNN, PMSDNC, CBS, NBC, and ABC!
https://t.co/LLgFcFHGIP","Ohio"
38,"👏👏👏❤️👇","Ohio"
39,"Follow @Raiklin a true American Patriot and #DigitalSoldier ... he is working to make sense out of this disastrous fraud of an election. https://t.co/OUYpeBASJ4","Ohio"
40,"This claim about election fraud is true. https://t.co/MHHN9N6TIB","Ohio"
41,"Democrats baselessly investigated President Trump for four years. 

But they can’t take four weeks to ensure election integrity?","Ohio"
42,"This is a FAILED ELECTION.

U.S. Supreme Court! State legislatures! Electoral College!","Ohio"
43,"If an honest, independently observed signature-match check won't change the outcome of the election, then why are all the officials, the media and the Democrats demanding no such independently observed signature-match check occur for the mass of mail-in ballots in key states?","Ohio"
44,"@HowleyReporter Patrick what do you know about Trump EO13848 of 9/12/18 that declares Election 2020 a ""National Emergency""?","Ohio"
45,"Read all about Dominion and Smartmatic voting companies and you’ll soon understand how pervasive this Democrat electoral fraud is, and why there’s no way in the world the 2020 Presidential election was either free or fair. #MAGA @realDonaldTrump #AmericaFirst #Dobbs","Ohio"
46,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Ohio"
47,"The realness.","Ohio"
48,"Twitter needs to stop censoring free spew and free thought. They need to stop spreading the false Barr that the election has been officially called; the AP does not decide who wins. It is unconstitutional to hinder free speech.","Ohio"
