"tweet","text","location"
1,"👀Election Witnesses⏬
 Kanye’s Michigan Votes Were Stolen by Joe Biden❗❗
#PrideFamily #PrideNews1 
@PrideNews1

https://t.co/DPP99AkhJy","Oregon"
2,"Dominion won Georgia's $107 million elections contract...because it was the lowest bidder - not the best, according to score sheets from 6 state evaluators

“What GA is trying to do basically blows my mind,” said an election official at the CO Sec of State
https://t.co/XAVu8kIUlt","Oregon"
3,"Election Data Team to Call 1.25 Million Voters Over Anomalies in 6 Contested States-Braynard has assembled a team to look for inconsistencies in the six contested states—PA-GA-MI-WI-AZ-NV-So far, they’ve identified 1.25 M voter issues https://t.co/sI4EFbpqLP","Oregon"
4,"@KellyannePolls 306. LANDSLIDE. BLOWOUT. HISTORIC.
https://t.co/CudXgxpTDI","Oregon"
5,"@KellyannePolls 306. LANDSLIDE. BLOWOUT. HISTORIC.
https://t.co/cYrNiLabF8","Oregon"
6,"Donald Trump on the 2016 election: “Remember 306 to 223, that’s a slaughter. That’s a slaughter.”","Oregon"
7,"This is the real damage Trump has done-creating a completely false narrative that the outcome of our elections can’t be trusted (in the absence of any evidence of fraud) But, he couldn’t be successful without the complicity of GOP officials who must share accountability &amp; blame.","Oregon"
8,"This conclusive demonstration that all Trump's ""legal"" challenges to the election are totally groundless reaffirms what most of us already suspected. 

But that leaves the big question: 

How do we prevent the ""big lie"" strategy from propagating a massive national delusion?","Oregon"
9,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Oregon"
10,"‼️","Oregon"
11,"The Left has been setting up the steal for years.....","Oregon"
12,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","Oregon"
13,"It’s hard to know where to start fact checking the election lies from Trump and other Republicans, but here’s a video breakdown of some of the nonsense: https://t.co/6LzKpBGXOn","Oregon"
14,"our cases are about to surge zzzz https://t.co/teyAi1FRWd","Oregon"
15,"@LLinWood @BrianKempGA @GaSecofState @GeoffDuncanGA @KLoeffler @ChrisCarr_Ga I'm not sure my vote counts in GA. Why should I vote in the Senate runoff. If there is fraud in that election, what will @BrianKempGA and/or @GaSecofState do about it? Pretend to count? Why should I even bother?","Oregon"
16,"How about the severs  that were taken in Germany by our military on election interference (dominion. )What do you think is going to happen now?? Totally exposed Oh no what is that corrupt Biden and the media is going to spin this, they are screwed.","Oregon"
