"tweet","text","location"
1,"⁦Finally arrived at #TheSupremeCourt! Be patient. @realDonaldTrump⁩ will win re-election after we beat the #DeepState #Marxist ⁦#Democrats @ the #SupremeCourt #SCOTUS #stopthesteal #MarchForTrump #MarchFor45 https://t.co/Mh8hJDQqTZ","South Carolina"
2,"This claim about election fraud is true. https://t.co/MHHN9N6TIB","South Carolina"
3,"@fightingdarkne1 @realDonaldTrump They voted for him without holding him accountable. There likely was election meddling (possibly most in electronic vote machines), and I agree to make an issue of that. But, you really don't understand the subtlety of the AC or of that spirit. This blind worship is indicative.","South Carolina"
4,"Trump lost the election then lost his mind. At least, whatever was left of his medicine infested brain. Needs to concede and move on, poor little 👶baby. Noticed his hair is grey now. That must have cost him a couple grand","South Carolina"
5,"#MillionMoronMarch
And Trump tapped Rudy today to take over his election legal fight since all credible lawyers are dropping like flies...this may be the best con yet pulled over on his supporters...pretending to think fraud cost him election...they just keep falling for them.","South Carolina"
6,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","South Carolina"
7,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","South Carolina"
8,"YES!!!!","South Carolina"
9,"😂 this should end well","South Carolina"
10,"Georgia Legislature must step in and order a real canvass. Secretary of State’s continuing failure to protect citizens of Georgia’s right to honest election requires legislature intervening as U S Constitution provides","South Carolina"
11,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","South Carolina"
12,"Dear @Twitter, stop interfering in the election.","South Carolina"
13,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Carolina"
14,"It’s been 7 days since MSM called the election for Biden. 

Are you still fighting for President Trump??","South Carolina"
15,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","South Carolina"
16,"NEVER!!!
🤣🤣🤣🤣🤣🤣🤣🤣","South Carolina"
17,"SCYTL.🚨

28 STATES send election results to a remote server in Frankfurt, Germany, according to election security expert Russell Ramsland. 

The servers are based on SCYTL software, exposed by MIT Tech as having the ability to switch votes, ""UNDETECTED.""

Here's how:🔻 https://t.co/1wiNaGswvB","South Carolina"
18,"I was honored to speak today at the #MarchForTrump. I’ve never experienced anything like this. God bless everyone who came out to support election integrity and to show support for our President https://t.co/tc6kIq4bT0","South Carolina"
19,"Not one vehicle, building, or historic monument was damaged in Washington, D.C. today while hundreds of thousands of Trump supporters on the ground protested the election results.. 

That’s how it’s done America!","South Carolina"
20,"To every spineless republican who is hedging their bets by not shouting the truth about the United States election being rigged, know this: in the end, truth and light always win. 
Cowardice will be your legacy.","South Carolina"
21,"Here’s some of @JoeBiden unity https://t.co/ImeLCZSIE3","South Carolina"
22,"No one believes that a guy who couldn’t fill a a room won this election! #Trump2020 https://t.co/fBRc2fND6V","South Carolina"
23,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","South Carolina"
24,"Chris Wallace during the first debate: “Will you pledge not to declare victory until the election is independently certified?”

Joe Biden: “Yes.”

Whoops. https://t.co/LNasGOyGx5","South Carolina"
25,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","South Carolina"
26,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","South Carolina"
27,"Our team is working around the clock to make sure every LEGALLY cast ballot is counted.
 
We need YOU to help us have the resources to FIGHT BACK against potential voter fraud.
 
Donate to the fight here⬇️
https://t.co/T2FisWyr2d","South Carolina"
28,"If the Biden team were so sure they won this election, why are they trying to lock us down?","South Carolina"
29,"Well to be fair, it’s hard to remember things you say when you’re drunk 🥴 https://t.co/MI3NknfmEm","South Carolina"
30,"Dear @Twitter, stop interfering in the election.","South Carolina"
31,"Dear @Twitter, stop interfering in the election.","South Carolina"
32,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","South Carolina"
33,"Y’all republicans really believe that we would rig the election and then choose JOE BIDEN!?!? 😭😭😭","South Carolina"
34,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","South Carolina"
35,"ELECTION UPDATE: @RealDonaldTrump legal battle in Pennsylvania -- under the Constitution, state legislature AND Congress can REJECT a corrupted election result!  Big show with @JesseBWatters on @WattersWorld at 8 pm! @JudicialWatch https://t.co/708aaaMjC3","South Carolina"
36,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","South Carolina"
37,"Bears noting: @RudyGiuliani is both

(1) leading President Trump's hopeless, doomed, ridiculous effort to ""contest"" the election, and 

(2) the subject of an ongoing criminal investigation by the SDNY.","South Carolina"
38,"I could care less about the maga March. Biden Harris have won the Election ..let’s celebrate. 🍾🍾🎈🎈🇺🇸✊🏿💙","South Carolina"
39,"Neither do I.","South Carolina"
40,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","South Carolina"
41,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","South Carolina"
42,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election! https://t.co/tr35WKTKM8","South Carolina"
43,"Brian Kemp's chief of staff moved on to lobby for DOMINION, who sold products to Georgia, while GA Secretary of State took campaign cash from wife of Dominion's partner's CEO.

Georgia proved itself to be a disgrace, and this is a FAILED ELECTION

https://t.co/K0UJfgkXpl","South Carolina"
44,"Top US Pollster and Statistician Richard Baris — People's Pundit — SUSPENDED from Twitter for Reporting on Disputed Election — Political 'WrongThink' Not Allowed https://t.co/uHBZnJJn1I via Said 10,000 DEAD PEOPLE VOTED IN MICHIGAN. When will this RIGGED ELECTION be overturned!","South Carolina"
45,"The guy who had Louis DeJoy cripple the USPS, told his voters to vote TWICE, and then told millions more NOT to use mail-in ballots is calling the election ""rigged"" and is wondering why he lost.

You can't make this shit up.","South Carolina"
46,"Só para quem sabe a diferença entre alegações, indícios e provas:

1. Até agora, a equipe de Trump identificou 1,25 milhão de problemas com dados de eleitores através do cruzamento de diferentes bancos de dados e ligações telefônicas. 

https://t.co/iII0lL4auB","South Carolina"
47,"Hundreds of thousands of people showing their support in D.C. They will not stand for a Rigged and Corrupt Election!","South Carolina"
48,"The people’s President is Donald J Trump. The media has done everything they can to lie, suppress, censor and now rig this truth and election from the world.

What is happening in Washington D.C today is unlike anything I’ve ever seen. 

#StopTheSteaI #MillionMAGAMarch2020","South Carolina"
49,"Is this true?? 🧐🤔👇","South Carolina"
50,"Amazing","South Carolina"
51,"""This claim about election fraud is disputed?"" By whom? By the ones who committed it? Of course, that makes more sense.","South Carolina"
52,"Today, DHEC announced 1,617 new confirmed cases and 86 new probable cases of COVID-19, 9 additional confirmed deaths and no new probable deaths. Percent positive is 15.4%.
https://t.co/RKiOskgsQ5","South Carolina"
53,"Democrats Election Fraud Criminals","South Carolina"
54,"@MajorPatriot @iloveparis__ Democrats Election Fraud Criminals Will Be In Prison","South Carolina"
55,"YEAH I VOTED FOR TRUMP. As a Black Man is bothers me to know the ELECTION was stolen from us. Its like I dont have a VOICE.... My old account was susp3nded I had 25k followers.. CAN I GET SOME RETWEETS AND FOLLOWS? I follow all back. Love ya fr fr💕💕🙏🙏🙏","South Carolina"
56,"ELECTION UPDATE: @RealDonaldTrump legal battle in Pennsylvania -- under the Constitution, state legislature AND Congress can REJECT a corrupted election result!  Big show with @JesseBWatters on @WattersWorld at 8 pm! @JudicialWatch https://t.co/708aaaMjC3","South Carolina"
57,"2020 Election Most Corrupt in American History – Martin Armstrong  The computer said it said it would be the most corrupt election in American history.  This was out at least two years ago. . . .This has gone far beyond anything I would have anticipated.  https://t.co/XoWDc7hZC9","South Carolina"
58,"Cum relief some election stress with my 350+ photos &amp; 64 videos 💫 if you DM me proof that you voted (not trump get out of here) I’ll hook you up with a free 1 MONTH subscription to https://t.co/5LTseP3I2Y 👁👅👁 🇺🇸 #BiddenHarris2020 https://t.co/rJfLxIYS3Y","South Carolina"
59,"IMO. Democrats needed universal mail in ballots to beat @realDonaldTrump and they knew it. But a strange thing happened election night. Trump was running away with the election so they panicked and made some sloppy mistakes. That’s going to be their demise. #Dominion #Trump2020","South Carolina"
60,"@kayleighmcenany @realDonaldTrump There were more than 100x as many people in DC alone the day we found out Biden won the election. This is not to mention the celebrations across the globe.","South Carolina"
61,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","South Carolina"
62,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Carolina"
63,"This is a powerful prophecy that everyone should hear. @cjtruth","South Carolina"
64,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Carolina"
65,"Milwaukee Election Chief Busted ILLEGALLY Running 169k Votes Without Any Observers https://t.co/kQO2nhDzkQ","South Carolina"
66,"ELECTION UPDATE: @RealDonaldTrump legal battle in Pennsylvania -- under the Constitution, state legislature AND Congress can REJECT a corrupted election result!  Big show with @JesseBWatters on @WattersWorld at 8 pm! @JudicialWatch https://t.co/708aaaMjC3","South Carolina"
67,"Big Jim is the greatest!","South Carolina"
68,"The President of LAW &amp; ORDER doesn’t like DEMOCRACY or OUR POWER &amp; RIGHT TO VOTE for OUR President &amp; Leaders!

If Trump tries to get SCOTUS to FLIP our VOTES for BIDEN then they will have to FLIP all the votes Republicans got in the Election &amp; then DEMOCRATS would Control Senate!","South Carolina"
69,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Carolina"
70,"Thank you to all the patriots who came out to show your support for @realDonaldTrump and election integrity! https://t.co/ke37WvxCrt","South Carolina"
71,"President Trump Has ALWAYS fought for us, and we will continue to fight for him.
 
We have seen voter irregularities throughout the country, &amp; we MUST investigate any allegations of fraud.
 
This is bigger than this election—we are fighting to SAVE our democratic process!","South Carolina"
72,"We must have complete transparency and accountability in our election systems and apparatus to ensure that the American people have full confidence in the results. https://t.co/4ZNaYZ0z8F","South Carolina"
73,"1. I wonder in how many states the legislatures‘ election laws were altered by courts or Secretaries of State or whomever?","South Carolina"
74,"Lou Dobbs demands GOP help Trump fight for 'what is rightfully his' https://t.co/6cTeSKohgI","South Carolina"
75,"BREAKING:

Those attacking families and causing issues in DC are the side that thinks they won the election!

Conservatives are the example of what a protest should look like....

The others are the problem with American society!

THUGS!!

RT!! 

#MAGAMillionMarch","South Carolina"
76,"https://t.co/vDSE53fW2K","South Carolina"
