"tweet","text","location"
1,"The hand recount taking place in Georgia is a waste of time. They are not showing the matching signatures. Call off the recount until they allow the MATCH. Don’t let the Radical Left Dems STEAL THE ELECTION!","Wisconsin"
2,"The most corrupt institutions and individuals in America have declared that the election was free of fraud, and that's good enough for me. What's wrong with the rest of you?","Wisconsin"
3,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons! https://t.co/RMOa4jKZwA","Wisconsin"
4,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Wisconsin"
5,"Isn’t it a Beautiful thought that America will soon rid itself of a Tyrant. Once Trump is indicted, he will flee.","Wisconsin"
6,"Trump will never acknowledge he lost the election. Honesty &amp; accepting reality are not in a despot’s DNA. 

Despite his tantrum, Inauguration Day will arrive, and President Biden &amp; VP Harris will immediately restore dignity, competence, &amp; honesty to the White House. 

Can’t wait.","Wisconsin"
7,"2016 election they said it was rigged , 2020 they’re saying it’s rigged, this has to wake people up  , to the fact that it’s always been rigged, they’re literally telling us","Wisconsin"
8,"Every lie will be revealed.

I suspect @GaSecofState &amp; @BrianKempGA will not be sleeping well for many nights. 

We The People will not be defrauded &amp; let corrupt politicians steal our money &amp; our votes.

We will #FightBack https://t.co/rhMQKmuM3V","Wisconsin"
9,"DEMS USED THEM PURPOSEFULLY! THEY HAVE BEEN PLANNING THIS FRAUD FOR MONTHS. ANOTHER BIG IDEA OF CLINTONS. SHE IS EVIL!","Wisconsin"
10,"A Trump campaign adviser, Corey Lewandowski, and Republican National Committee chief of staff Richard Walters have tested positive for the coronavirus, bringing the latest outbreak among President Trump’s aides and advisers to 14 people. 
https://t.co/cMuS1GxRBG https://t.co/BBoWhyRpTc","Wisconsin"
11,"Wyoming state @GOP Rep. Roy Edwards said COVID was overblown for political reasons &amp; would vanish after the election. On Oct 18, COVID swept through his church infecting many. Oct 31, he was intubated. Nov 2 he died from COVID. https://t.co/K6lTOseY53 https://t.co/5QEqZNp3Tv","Wisconsin"
12,"So The Kracken has been Released by the courageous Patriot @SidneyPowell1 ! She outs how @realDonaldTrump was Hammered in the election by a deep state directed coup to alter the Scorecard!  @RudyGiuliani  @RichardGrenell @KerriKupecDOJ @MarkMeadows","Wisconsin"
13,"@ImynUk Notice the timing. Another election 120 days from 3rd November?","Wisconsin"
14,"Pollster: It's Curious How Biden Underperformed Hillary Clinton In Every City...Except These Four

Until all the votes are counted and all the allegations of voter fraud are investigated, I think it’s too early to declare a winner.
https://t.co/TSQgt3LI79","Wisconsin"
15,"1)Dominion Voting Systems.”Used in multiple states where fraud is alleged in this U.S. election,was rejected 3 times by data communications experts from Texas..for failing to meet basic security standards.”Unlike Texas, other states certified the system... https://t.co/ygEXrDevCU","Wisconsin"
16,"Attorney Powell on election legal challenges that remain active in several states https://t.co/lbU110LW4m  @SundayFutures @FoxNews @SidneyPowell1","Wisconsin"
17,"If a foreign country hacked into our election hardware, it would be easier to accept  

As it appears, a cabal of traitors and corrupt politicians appear to have been behind it 

Enemies deserve what they get

Corrupt traitors deserve no mercy","Wisconsin"
18,"RIGGED ELECTION. WE WILL WIN!","Wisconsin"
19,"BOMBSHELL:The 2020 election took place under a Trump-declared ""National Emergency"" that set an Election Day trap for the ""unauthorized accessing of election and campaign infrastructure""The TRAP was set and they fell right in it THEY'RE SCREWED, SO SCREWED 
https://t.co/5JBxLfLr1F https://t.co/ShxrF1VlcS","Wisconsin"
20,"@BillKristol @MoondanceGiving @VP Trump isn’t lying,folks. The election was rigged in his favor. And he still lost.","Wisconsin"
21,"""...and thicken the froth of the president’s rabid adherents with conspiracy theories and outright falsehoods.""

I wrote a thing naming names of those who should be tainted for life for trying to undermine faith in NV's election or standing on the sidelines as it happened.
2/2","Wisconsin"
22,"While many analyze Trump's tweet about Biden winning, remember Trump's personal opinion here is irrelevant.

What matters is @GSAEmily ascertaining the winner of the election in line with whom the American people elected as the next President of the United States - @JoeBiden","Wisconsin"
23,"Republican minority rule is the biggest story of the 2020 election, &amp; our politics would be profoundly different if we truly operated as a representative democracy.

This has been true for the majority of my lifetime: GOP senators last represented more people than Dems in 1998! https://t.co/ck2nPknER0","Wisconsin"
24,"Trump rigged the Post Office! He is in no position to tweet about election rigging.","Wisconsin"
25,"@LLinWood @realDonaldTrump Maybe take all the networks who did this...
https://t.co/FRyxdQbdTJ","Wisconsin"
26,"@MiloForSenate @SidneyPowell1 https://t.co/FRyxdQbdTJ","Wisconsin"
27,"@Magda96401608 @JodiDoering Dear God, give it a rest, you idiot.  Biden WON a legal election.  Trump is a corrupt scumbag who doesn’t care about you, your family, or anyone but himself.","Wisconsin"
28,"""Sydney Powell today on Maria Bartiromo. 'We’re getting ready to overturn election results in several states.' 'I don’t make comments without having the evidence to back it up.'""","Wisconsin"
29,"Sidney Powell today on Maria Bartiromo. “We’re getting ready to overturn election results in several states.” “I don’t make comments without having the evidence to back it up.”","Wisconsin"
30,"Ah, the amount of times we’ve all said this about the roles we didn’t get.","Wisconsin"
31,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Wisconsin"
32,"We win by promising and delivering bold solutions that put people over corporations.

It’s that simple.
https://t.co/lGSGitW4o0","Wisconsin"
33,"RIGGED ELECTION. WE WILL WIN!","Wisconsin"
34,"RIGGED ELECTION. WE WILL WIN!","Wisconsin"
35,"RIGGED ELECTION. WE WILL WIN!","Wisconsin"
36,"Strange coincidence that former Pfizer exec led Biden cancer charity that did no cancer research and then Pfizer has a effective vaccine that they may have delayed to after election to tell @realDonaldTrump about?","Wisconsin"
37,"Barack lied 

Comey lied 

Susan Rice lied

Loretta Lynn lied

The FBI lied 

The DOJ lied

Hillary Lied &amp; her Husband was removed from Office of the President for lying.

and you honestly want me to believe this Election wasn't rigged &amp; Joe and Hunter are Innocent.

Count Me OuT https://t.co/adyaiyh8Yh","Wisconsin"
