"tweet","text","location"
1,"BREAKING REPORT: Trump Attorney Rudy Giuliani Says Election will Be Overturned: ""We Have Proof I Can't Disclose Yet""...","Wyoming"
2,"Dominion's data and other election tabulations are funneled into Scytl for use by the Media in ""real time"" reporting. This data would be important, as patterns of irregularities would help corroborate the #ElectionFraud! #StopTheSteal https://t.co/shNWFXinsl","Wyoming"
3,"They got nada..... https://t.co/zDYjuLZsYy","Wyoming"
4,"Actions have consequences. Disbar Sidney Powell.","Wyoming"
5,"He won because the Election was Rigged. NO VOTE WATCHERS OR OBSERVERS allowed, vote tabulated by a Radical Left privately owned company, Dominion, with a bad reputation &amp; bum equipment that couldn’t even qualify for Texas (which I won by a lot!), the Fake &amp; Silent Media, &amp; more! https://t.co/Exb3C1mAPg","Wyoming"
6,"“An unverified ballot is an unverified vote. Unverified votes make for unverified election results. Unverified election results undermine faith in democracy itself #Election2020results” - @DineshDSouza","Wyoming"
7,"Dear @TwitterSafety: Donald Trump has now publicly admitted that he lost the election. It’s irresponsible for you to continue to allow him to post dangerous and reckless tweets that spread false information and incite violence. It’s time to #DeactivateTrump.","Wyoming"
8,"The President’s been flagged by Twitter at least FIVE TIMES in less then TWO HOURS for dangerously misleading the public. Prior to that at least FIFTY TIMES since Election Day.

RT if you think @realDonaldTrump Twitter account should be suspended ASAP.

#DeactivateTrump","Wyoming"
9,"the head of the president's legal team to overthrow the election, folks","Wyoming"
10,"President Trump shows no signs of conceding the election to Joe Biden, but why is that such a big deal?

If you don’t know, now you know: https://t.co/v38Bs1lJ1T","Wyoming"
11,"@Rothbard1776 @RolandiaKarnak @SidneyPowell1 @JoeBiden @realDonaldTrump https://t.co/Df6J3a6eTn
This was planned and predicted long time ago.","Wyoming"
12,"Yo cuando no pasó Telemoveis","Wyoming"
13,"This is the cover of Der Spiegel, which is a popular weekly magazine from Germany.

The side-by-side shows both Donald Trump's &amp; Joe Biden's Election cover's. It says a hell of a lot about what Europe &amp; frankly the world thinks of us &amp; the leaders we chose. https://t.co/AoEf0dNK4W","Wyoming"
14,"@SestraofArchon @JoshuaPotash Agree with this, there is no reason we should have gone. Let the idiots march. We won the election.","Wyoming"
15,"Federal, state, and local officials all say the same thing. This feat couldn’t have happened without the extraordinary work of election officials from both parties.","Wyoming"
16,"https://t.co/7HVxFzZbKL","Wyoming"
17,"RIGGED ELECTION. WE WILL WIN!","Wyoming"
18,"Actions have consequences. Disbar Sidney Powell.","Wyoming"
19,"EXCLUSIVE: #Hillary Attorney Marc Elias Was Behind Not One, But Two Actions Messing In #Georgia's Election via @gatewaypundit https://t.co/oOVSgvIQQ1","Wyoming"
20,"RIGGED ELECTION. WE WILL WIN!","Wyoming"
21,"L'avocat de Trump, Rudy Giuliani, déclare que les élections seront annulées: ""Nous avons la preuve que je ne peux pas encore divulguer"" (vidéo) https://t.co/9LN7v1z4lT","Wyoming"
22,"Key difference between Dem and GOP claims of election fraud: Dem claims get amplified eagerly by every organ of mainstream establishment opinion (see 2016). Conversely, GOP claims are subject to a barrage of disclaimers and censorship declaring them authoritatively to be false","Wyoming"
23,"Joe Biden's victory in Pennsylvania has now eclipsed President Trump's winning margin from 2016. If mail ballots had been counted first -- not last -- the trajectory of the entire election would've looked different, writes Marshall Cohen
https://t.co/JEdbeTmccJ","Wyoming"
24,"America’s largest voting machine vendor, ES&amp;S, has GOP ties. Dominion has both GOP &amp; Democratic ties. Ds tried to pass election security legislation requiring robust manual election audits to confirm electronic results &amp; banning internet connectivity. Rs killed it. 1/","Wyoming"
25,"@realCCrump Stand now, there will be no election in 4 years. 
https://t.co/gsMqM5XeDI","Wyoming"
26,"RIGGED ELECTION. WE WILL WIN!","Wyoming"
27,"Trump's GSA appointee Emily Murphy is now engaged in a criminal conspiracy against the United States of America ""in coordination with and at the direction of Individual 1.""","Wyoming"
28,"""He won"" — President Trump acknowledged Joe Biden's election win for the first time on Sunday, but continued to falsely insist the former vice president's victory was the result of a ""rigged"" election.
NY Times 11/15","Wyoming"
29,"All of the mechanical “glitches” that took place on Election Night were really THEM getting caught trying to steal votes. They succeeded plenty, however, without getting caught. Mail-in elections are a sick joke!","Wyoming"
30,"@Harry1T6 @dbongino Lol - the timing of this... just before it's assets are frozen due to its complicity in election meddling that may be tied into the Dominion lawsuit due to EO 9/12/2018

https://t.co/EC5NZp9m69","Wyoming"
31,"We, the 72 million who voted for @realDonaldTrump, do not concede!","Wyoming"
32,"@clearandprezent @RRich13 @PlastiksurgeonE similar boom

👇

https://t.co/WH0JZxbMRX","Wyoming"
33,"@clearandprezent a similar boom

👇","Wyoming"
34,"America’s largest voting machine vendor, ES&amp;S, has GOP ties. Dominion has both GOP &amp; Democratic ties. Ds tried to pass election security legislation requiring robust manual election audits to confirm electronic results &amp; banning internet connectivity. Rs killed it. 1/","Wyoming"
35,"Trump admitting that President-elect Biden won strips @GSAEmily of her cover story that the outcome of the election cannot be ascertained. If she continues beyond this morning to withhold transition resources, she will be tacitly admitting she's saboteur assaulting democracy.","Wyoming"
36,"Imagine that.","Wyoming"
37,"Coronavirus infections among election poll workers are raising concerns because of how many people passed through voting sites, although the rapid spread of COVID-19 makes it difficult to pinpoint those places as the source. By @_aizaguirre. https://t.co/6nrLmhtrJP","Wyoming"
38,"Its 7 days later, Trump and allies are now 1-20 in court.","Wyoming"
39,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Wyoming"
40,"Trump to NY Post: This election was the 'greatest theft in the history of America' https://t.co/akfXl08rrX https://t.co/mgtQA1eR7K","Wyoming"
41,".@Jim_Jordan says, “The Democrats spent four years investigating the Russia hoax, but they don’t want to take four weeks to investigate the integrity of this election…We need to investigate.” https://t.co/2ZbxRimUgq","Wyoming"
42,"There’s something that just doesn’t feel right about this. Joe Biden didn’t earn it, he didn’t really even campaign. He thought was going to lose, you could see it. He ran a losing campaign. So 10 days after the election, how’s he ahead? #WattersWords https://t.co/NeZhWrObax","Wyoming"
43,"Concede? Nah. You do NOT concede after winning all 50 states in a Presidential Election. That’s right. 50!

Also, FYI, not one vote has been certified yet. Welcome to the real world, libbies. 

🐙🐙🐙

#ReleaseTheKracken #TrumpAll50 #4MoreYears #29Days #ChessNotCheckers","Wyoming"
44,"If you have not watched this it is a must! The biggest sting operation in the history of the world! https://t.co/yAbgbfb6Fz","Wyoming"
45,"Three whistle blowers from Dominion Software (used to count votes) are willing to take the stand and testify in Federal Court that the election was rigged, up to 38 million votes could have been changed.

-Source Epoch Times","Wyoming"
46,"@realDonaldTrump You lost! The election was not rigged. Time for you to concede.#TrumpIsPathetic #PresidentElectBiden","Wyoming"
47,"@TeamTrump Maybe start in NC where @realDonaldTrump told people to vote 2x in the election, once by mail and once in-person: “So let them send it in and let them go vote” It is illegal to vote more than once in an election.  So it’s likely Biden won NC too https://t.co/otT5GlbQg2","Wyoming"
48,"Every one of us deplorable chumps, are gonna be on the right side of history when this fraud election is overturned and @realDonaldTrump leads us another four years.","Wyoming"
49,"Trump attorney Rudy Giuliani claims presidential election will be 'overturned' https://t.co/DhGJWpt7Sw https://t.co/vCRFOG1jaA","Wyoming"
50,"Watch the voting machine used in US swing states get hacked to rig an election. @Jhalderm, @UMich, and @nytimes demonstrate why every voting district needs an auditable paper ballot. Voting machines are *known* to be insecure. https://t.co/juvU7K3Qdl https://t.co/prsrOGK17z","Wyoming"
51,"People have been suspended for far less! He should be held accountable for spreading propaganda https://t.co/85ZtZdoWq8","Wyoming"
52,"Sorry haters, this is AMERICA, and we  don’t negotiate with morons or terrorists and we will advocate for election integrity and to preserve our country.l!!

I’m PROUD to represent @realDonaldTrump and be on his legal team.","Wyoming"
53,"Who cares. When people in twin city are under siege,PTI Ministers are busy in celebrating victory in GB on twitter sitting at Home while people suffering on roads. 
People of Islamabad and Pindi may wait till Election jubilations are over or if they cant wait,then they may go to— https://t.co/SIXxkjBCUn","Wyoming"
54,"Because he knows their dark will come to light. He's scared. He knew and he was in on it. ACTIONS SPEAK LOUDER THAN WORDS.","Wyoming"
55,"@KellyO Trump golfs, Biden goes to church on Sundays
https://t.co/wH6SEu2Nb1","Wyoming"
56,"In 2012, Obama set an all-time record low for the number of counties won in a presidential election with 689.
Biden won only 477 counties, but supposedly had 9 million more votes.
Republicans didn't lose a House seat this year and picked up 12.
Blue mirage?","Wyoming"
57,"Concede? Nah. You do NOT concede after winning all 50 states in a Presidential Election. That’s right. 50!

Also, FYI, not one vote has been certified yet. Welcome to the real world, libbies. 

🐙🐙🐙

#ReleaseTheKracken #TrumpAll50 #4MoreYears #29Days #ChessNotCheckers","Wyoming"
58,"Trump is AWOL at a moment of escalating national crisis &amp; not a single R has raised an alarm: ""Since Election Day &amp; for weeks prior, Trump has all but ceased to actively manage the deadly pandemic, which so far has killed at least 244k Americans, infected at least 10.9 million.."" https://t.co/qYXbITkECP","Wyoming"
59,"How is Trump's behavior different from a commander abandoning his troops under fire? And why is not a single Republican raising an alarm as cases rise to levels previously unimaginable &amp; health care workers buckle under strain in communities around the country? https://t.co/2PGlo1qRo4","Wyoming"
60,"People are not going to stand for having this Election stolen from them by a privately owned Radical Left company, Dominion, and many other reasons!","Wyoming"
61,"He only won in the eyes of the FAKE NEWS MEDIA. I concede NOTHING! We have a long way to go. This was a RIGGED ELECTION!","Wyoming"
62,"RIGGED ELECTION. WE WILL WIN!","Wyoming"
63,"America’s largest voting machine vendor, ES&amp;S, has GOP ties. Dominion has both GOP &amp; Democratic ties. Ds tried to pass election security legislation requiring robust manual election audits to confirm electronic results &amp; banning internet connectivity. Rs killed it. 1/","Wyoming"
64,"Nancy is so silly","Wyoming"
65,"Trump Lawyer Sidney Powell: ‘We’re Getting Ready to Overturn Election Results in Multiple States’...saying enough evidence of election fraud to launch a widespread criminal investigation. “I don’t make comments without having the evidence to back it up,” 

https://t.co/iLyylWbFSP","Wyoming"
66,"“I concede NOTHING” may very well go down as the three most dangerous words ever spoken by this President. https://t.co/M86tRoxATy","Wyoming"
67,"America divided 😟😞😥😢","Wyoming"
68,"One of Trump's lawyers, Sidney Powell, is on Fox News lying that Trump actually won the election by ""millions of votes."" These people are out of their minds. https://t.co/xu8hBK24j2","Wyoming"
